place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
4213,2011,9,536,Bangkok,13.76334534691845,100.5235571244393,QKQ1Vdq9y_N2mQHwoKmn0Q,0,0,0,7,6264,False,1JI3SAcMEZHA98vx7dmhLA
2014,2017,5,610,Bangkok,13.73847836438754,100.4982615713379,m8wCJkVpRtM_FVn26Vl9yA,1,0,1,11,14370,False,o9Pwn6DHRSiKL3jUTv6n5Q
3776,2018,8,420,Bangkok,13.75858823777775,100.5189429622168,uYbCbiXZYC5I6GlUvKQ80Q,2,0,2,10,17082,False,wnrqb6lo6HLkXAohB03vdA
2644,2011,9,428,Bangkok,13.74513525561438,100.5197533324133,CgWBI1vML3xSoCjRn9GIng,3,0,3,6,19471,False,PPQPzoVk11fvLfGZa2cxUQ
3542,2011,12,551,Bangkok,13.75571366592568,100.5435834630665,D5SljekWYMwngMKVOAvXgg,4,0,4,10,2350,False,aqKbHU8Azi-zRODX8VVWZw
1378,2020,3,413,Bangkok,13.72970835876863,100.5522592933803,VrpSgTNDiyVhU-Drzus-hA,5,0,5,5,20964,False,20Wxxl84Wyu4ssfCWyEdlQ
1472,2018,10,305,Bangkok,13.73155565889595,100.568033536214,V3w6_ATWQolG0DgJV9DZlA,6,0,6,13,9468,False,AlbbSfuK-ZfLGH3X1h26mA
3159,2019,5,401,Bangkok,13.7515480701215,100.5098596026291,wDfRHKfsdT1pF7QTLMmEJw,7,0,7,8,11407,False,Mhcl3Da7Gc4oZRkOoYfCWg
970,2020,9,118,Bangkok,13.72622608629299,100.4957094280744,0kR5MQr20EWiRglYMqjsuA,8,0,8,4,12371,False,kGRhG4WayuKQGW4lWY6zTw
2316,2017,9,626,Bangkok,13.7414445337185,100.5352840858745,KbDwgnKWaBy4uQ1Wll8YZg,9,0,9,9,2439,False,Nxj-Fh0eadfYHz4niuHO0g
2936,2020,8,488,Bangkok,13.74785074876692,100.5456513196104,SWOB90Nh8lpQzyeNxfhNoA,10,0,10,6,22167,False,dJAsnx-fl0jbyfV0asvZcA
2790,2011,9,85,Bangkok,13.74747195607928,100.4903441860707,TCDmOax7ZNzyu5_-t9tnRQ,11,0,11,5,14588,False,aAKY6ex5vhve2fVuNeDcQQ
391,2018,9,367,Bangkok,13.71915144316833,100.5265784136003,wGvuectY0r4JHYM8K1DMzQ,12,0,12,5,20368,False,c7pO_K65C5OfoeJ41YtSjg
1473,2017,6,448,Bangkok,13.73118202889586,100.5627367104286,KJlfWPiFQJVM_7pnYJMJzA,13,0,13,8,20863,False,TMKtbeR9VypL5pk4yK352Q
1131,2011,9,117,Bangkok,13.72806297650911,100.4875701442349,ifuiBWBaQ6lJaAwoJWj9ug,14,0,14,8,13104,False,cjYkg_yrno5OIZ5Rp9ezEg
1547,2017,11,335,Bangkok,13.73248751686634,100.5497705007933,G6DFUCxaJ_djC0CCI7L1yA,15,0,15,7,15,True,G6DFUCxaJ_djC0CCI7L1yA
3798,2011,9,369,Bangkok,13.75824495245245,100.5396931032034,o850SQspxtkj4rSmrMUp0Q,16,0,16,3,7711,False,bnAtawloEXkeqHFEQx6ggA
53,2018,10,393,Bangkok,13.71513905001517,100.53659868081,E2vArkZ5IBFNhDFv2YevpQ,17,0,17,4,17,True,E2vArkZ5IBFNhDFv2YevpQ
3056,2018,2,85,Bangkok,13.75007266860678,100.4896549782554,q-w5LMJQs3TJ-Vo4eiXgWg,18,0,18,6,2683,False,4Zn70-WXCDbEaOlV_fqRxw
3878,2017,6,383,Bangkok,13.75931500326503,100.5364144583322,HWaSfvFXpIwbqhvAMu1X8g,19,0,19,6,14776,False,slmj5oxUqvqd7S0VuVWfUA
969,2012,1,239,Bangkok,13.72620770055564,100.4923497161048,cH-9L4-1m-hnYGQlV8ss9A,20,0,20,5,817,False,85iO-8ndJxqqU9QUR-mNqQ
1573,2018,10,600,Bangkok,13.73342431101979,100.490697662972,sXYtLcUk5qai4KoOe5RRpg,21,0,21,7,20040,False,ifjWC3SSpqgYUfPqDXP6kw
1345,2016,10,437,Bangkok,13.730315685078,100.5246674049835,YWDWXeHTsrjKu4EPyc4I4w,22,0,22,7,15344,False,1XAJX08iw1eKaMC1Rh4a9A
1911,2018,10,289,Bangkok,13.73737966498053,100.4858244013283,UPyv7J9BDowRKe85g1C6Jg,23,0,23,8,3145,False,pYY1m_JV4aP88pi9UUvd-A
1211,2017,6,379,Bangkok,13.72890280649163,100.5639671985016,OZXAb8dNytOAtqFk7fUXtg,24,0,24,3,18167,False,_AHijsvW8m7HboncV2b64Q
2075,2019,9,442,Bangkok,13.73804937428024,100.5572712114318,-8QSxtEL8t2l1qEXEaPgRA,25,0,25,5,14377,False,K9n6dnbkfCBjkIxYxt-owA
614,2019,5,265,Bangkok,13.72238011560403,100.4894538190531,ehrO640TpWKtujDcDTCeFg,26,0,26,2,26,True,ehrO640TpWKtujDcDTCeFg
3648,2020,8,241,Bangkok,13.75618636463914,100.56473761182,MZrrTFMULSdntZOkJz9aPw,27,0,27,7,18628,False,-apE-FOyixVei26dfgQJKw
4571,2016,9,441,Bangkok,13.76734231915488,100.5327591338645,_QnSHFP6OUs5m_D0rVUaKg,28,0,28,13,28,True,_QnSHFP6OUs5m_D0rVUaKg
2896,2020,8,442,Bangkok,13.74820076156278,100.5078355560728,zRS8KHIkE4bRAStWnmmg3w,29,0,29,5,29,True,zRS8KHIkE4bRAStWnmmg3w
