place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
2347,2007,9,125,Boston,42.34186494177831,-71.12892960321308,bSonXm0Hp-yRWDOts7z3nw,0,0,0,4,0,True,bSonXm0Hp-yRWDOts7z3nw
4124,2013,9,1,Boston,42.35682798215063,-71.10703415974736,Zxuoiy3guMK0UdVPtqRYxg,1,0,1,6,22636,False,DzstHjmZ16PHI1v-CUDRdQ
1343,2018,10,181,Boston,42.33301944932865,-71.07795842590642,v1EwNwkTe9-5VRlosThn1g,2,0,2,7,13417,False,XSPvtkHys9UTZlE6GqF5Mg
5419,2018,7,159,Boston,42.36772532164435,-71.10008409716664,0zY_VbpxEgbXr6CWUDkDXQ,3,0,3,12,3670,False,u1h_VWCVGWZBBxYmatcu6g
4408,2018,6,305,Boston,42.35900833499326,-71.0628972065992,_JuHzoi8eiTb6pjZNw4DmA,4,0,4,10,14634,False,lmC6yKhZgNXEWIM7K4MPbQ
1681,2019,8,193,Boston,42.33591518451005,-71.09303727241061,k57oQvvwWgl-B-doktZMZQ,5,0,5,8,32119,False,Uvv7M-cCIgQXW1LnF5c03A
6418,2007,9,14,Boston,42.37599810519445,-71.03598856081851,bFfchCTyGOLzz72xqR0X2g,6,0,6,3,6,True,bFfchCTyGOLzz72xqR0X2g
7383,2018,7,34,Boston,42.38477162821528,-71.11978366525443,cK9Zh7r5he5I_UmeOqTJXQ,7,0,7,6,4067,False,kb4BGUNC4qfTEU6r-xL27A
3425,2011,7,27,Boston,42.3511206298485,-71.10388185646143,GNak_Guk3gD-p9SNh2pyAQ,8,0,8,12,6308,False,vvXVDssX-md5Ve8Ww4hSjA
2150,2009,8,242,Boston,42.33993366909289,-71.09178658891273,tOD_OIm-nTjIIgsbAs1pCQ,9,0,9,2,9,True,tOD_OIm-nTjIIgsbAs1pCQ
6202,2007,7,188,Boston,42.37500579214833,-71.13311192599721,qgCFy4oWi55KnuaDesL3YA,10,0,10,5,10,True,qgCFy4oWi55KnuaDesL3YA
7051,2009,10,323,Boston,42.38195427067207,-71.10554304441615,Nd1towZbINjmKDomIgZWFA,11,0,11,7,7961,False,v6HUx4X-cJoPMxxaKcAYrg
8242,2016,11,216,Boston,42.39205888682399,-71.08397232813405,PdH_QB-f3TaAii5pbf0e0g,12,0,12,16,13408,False,U7nNku6DBOFQDVcveov9DQ
7657,2017,10,162,Boston,42.38705310569093,-71.08180459033035,_ceS6iBalW4u8MtZYLV98Q,13,0,13,9,13,True,_ceS6iBalW4u8MtZYLV98Q
3235,2017,7,71,Boston,42.3490528145687,-71.0598958890636,tAYNBBIGeoO8VXERP2-dsA,14,0,14,13,19662,False,DLIligTDiBt_qvWjHHjfjQ
5756,2018,6,1,Boston,42.3709781378894,-71.11090455833656,N7DOEO0aDYaGUJNHRzKCCg,15,0,15,9,29157,False,BrYpJHwufjDso1OBh-Q27Q
5328,2013,7,214,Boston,42.36703194883029,-71.06782124937864,plQYd5ZS3hrPwYiDLt6bqA,16,0,16,10,4872,False,pRWsMcLkYzCD1xmrd4ln7A
551,2017,8,171,Boston,42.32601360609605,-71.05249272315676,OQRagfQpFEDho1tqRlQoNw,17,0,17,10,28780,False,afBXE5BdZ53wCpwwxDaCaA
7379,2018,6,180,Boston,42.38519367357816,-71.13170176298625,nqY1R8FzAnlA40j8tRKdDA,18,0,18,8,2805,False,PxpfA1jXig6TaqA85Mowhg
