place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
2347,2007,9,125,Boston,42.34186494177831,-71.12892960321308,bSonXm0Hp-yRWDOts7z3nw,0,0,0,4,0,True,bSonXm0Hp-yRWDOts7z3nw
6418,2007,9,14,Boston,42.37599810519445,-71.03598856081851,bFfchCTyGOLzz72xqR0X2g,6,0,6,3,6,True,bFfchCTyGOLzz72xqR0X2g
2150,2009,8,242,Boston,42.33993366909289,-71.09178658891273,tOD_OIm-nTjIIgsbAs1pCQ,9,0,9,2,9,True,tOD_OIm-nTjIIgsbAs1pCQ
6202,2007,7,188,Boston,42.37500579214833,-71.13311192599721,qgCFy4oWi55KnuaDesL3YA,10,0,10,5,10,True,qgCFy4oWi55KnuaDesL3YA
7657,2017,10,162,Boston,42.38705310569093,-71.08180459033035,_ceS6iBalW4u8MtZYLV98Q,13,0,13,9,13,True,_ceS6iBalW4u8MtZYLV98Q
2892,2013,8,42,Boston,42.3459875319332,-71.05189526379083,N_q5n7oMNqxzFtFM_4VMIg,29,0,29,2,29,True,N_q5n7oMNqxzFtFM_4VMIg
1000,2020,11,109,Boston,42.32985026669905,-71.07209561035519,szNryiExL63VInXMR6VuYg,39,0,39,8,39,True,szNryiExL63VInXMR6VuYg
1503,2011,7,265,Boston,42.3339272349686,-71.03695398743282,Mp67T27XREcRgohkh1dnbA,40,0,40,2,40,True,Mp67T27XREcRgohkh1dnbA
3597,2009,8,146,Boston,42.35212880769551,-71.04917501568458,JbonnDxtDQ6Id9Vqm64Qdg,46,0,46,1,46,True,JbonnDxtDQ6Id9Vqm64Qdg
42,2009,9,137,Boston,42.32194898376297,-71.09396381137473,xGz2FANCeJYnX-Q6SiALng,49,0,49,6,49,True,xGz2FANCeJYnX-Q6SiALng
6200,2014,9,96,Boston,42.37502631372961,-71.13593825500087,zctNj7wkDaKXZ2gHqsDtJg,61,0,61,2,61,True,zctNj7wkDaKXZ2gHqsDtJg
299,2018,8,30,Boston,42.32407569072139,-71.07097561340728,4nxJUHTFKwUef4B4WQYEwA,70,0,70,7,70,True,4nxJUHTFKwUef4B4WQYEwA
7739,2007,7,93,Boston,42.38801148939859,-71.12088914920179,1K9JcOhMfspXTv1sYfKUXw,71,0,71,2,71,True,1K9JcOhMfspXTv1sYfKUXw
5685,2020,12,110,Boston,42.37006053494903,-71.06786412619736,pbMiKAFASEaHlvQT62NI_g,81,0,81,8,82,True,pbMiKAFASEaHlvQT62NI_g
2276,2016,10,327,Boston,42.34117642839897,-71.08268051144923,4_ioZCEi5SStlbWIvVs0qQ,94,0,95,13,96,True,4_ioZCEi5SStlbWIvVs0qQ
5062,2020,11,261,Boston,42.36499406855231,-71.10088737892404,FQCMxyLckfbjULasek_huA,96,0,97,4,98,True,FQCMxyLckfbjULasek_huA
6133,2014,7,222,Boston,42.37419709552107,-71.0888026342099,mEsvdK8-UDS1WNUkrLKbyQ,108,0,109,11,110,True,mEsvdK8-UDS1WNUkrLKbyQ
5862,2011,11,62,Boston,42.37250297753449,-71.12251126490727,OZdC_sKkKL94Gj8CN_2_Cw,111,0,112,5,113,True,OZdC_sKkKL94Gj8CN_2_Cw
7421,2016,5,355,Boston,42.3850985804791,-71.08590846012406,Wlwj-_G_DnvWsA5wXe5OSQ,118,0,119,8,120,True,Wlwj-_G_DnvWsA5wXe5OSQ
3064,2014,7,327,Boston,42.34807458832957,-71.1143860214132,hY27Pa47uBPM3q8sE7GjFw,125,0,126,2,127,True,hY27Pa47uBPM3q8sE7GjFw
2858,2011,7,192,Boston,42.34577380717516,-71.08594482804266,qiM3vo__hf2CpRYNm9c8sQ,132,0,133,9,134,True,qiM3vo__hf2CpRYNm9c8sQ
3885,2018,7,183,Boston,42.35505729691844,-71.11193289500224,18jwvLejfkhyTg8QFCwjhw,141,0,142,9,143,True,18jwvLejfkhyTg8QFCwjhw
1683,2018,7,115,Boston,42.33592476667493,-71.09103501958914,sEfskfAmZ4xikXt8MzT6ZQ,144,0,145,2,146,True,sEfskfAmZ4xikXt8MzT6ZQ
3337,2016,5,11,Boston,42.35000604563805,-71.07486371883266,BhT08nIhF1nNSyIVi2ZGfQ,146,0,147,1,148,True,BhT08nIhF1nNSyIVi2ZGfQ
5863,2007,7,14,Boston,42.37191725235498,-71.11997778430768,XNjCnoKy4DuvhoGlijKY4w,153,0,154,9,155,True,XNjCnoKy4DuvhoGlijKY4w
6281,2013,7,261,Boston,42.37503816218469,-71.06104083802434,q367wTrnJabTtMKU6vOHIA,159,0,160,9,161,True,q367wTrnJabTtMKU6vOHIA
5662,2014,7,80,Boston,42.37001226490359,-71.08737725125631,h65huYdqZJhCRwRwgagBcQ,165,0,166,8,167,True,h65huYdqZJhCRwRwgagBcQ
3317,2017,7,314,Boston,42.34994135700498,-71.09487590740768,qUxs0CQFZoQ3S2xBoayzCQ,169,0,170,9,172,True,qUxs0CQFZoQ3S2xBoayzCQ
3994,2016,3,2,Boston,42.356174734148,-71.11972562897539,NmQFCLAYLB8h0bINSRmEaA,174,0,175,9,177,True,NmQFCLAYLB8h0bINSRmEaA
4281,2017,10,346,Boston,42.358225348235,-71.06690022149084,pTwk1mDriGET4fYZpB2icQ,178,0,179,1,181,True,pTwk1mDriGET4fYZpB2icQ
7989,2019,7,172,Boston,42.39009315417801,-71.10224458316918,1ZcZxOcYlN0NIUPEuN-Jow,186,0,187,5,189,True,1ZcZxOcYlN0NIUPEuN-Jow
5062,2007,7,83,Boston,42.36501674115976,-71.10089423900708,g38UGrJ1tFLEXgRjE9mm0w,96,1,189,5,191,True,g38UGrJ1tFLEXgRjE9mm0w
6693,2013,9,146,Boston,42.37901275755784,-71.11214274562354,T1GwSg8PB79v4X33cDzJyA,191,0,193,11,196,True,T1GwSg8PB79v4X33cDzJyA
1204,2019,8,181,Boston,42.33200243427643,-71.10192412425937,TNA_82Tdb44bum64B5Zl5A,193,0,195,5,198,True,TNA_82Tdb44bum64B5Zl5A
5427,2016,9,147,Boston,42.36808482617777,-71.09076658105776,GdpdS4CLvQ9bsGSRtlpIHQ,203,0,205,1,209,True,GdpdS4CLvQ9bsGSRtlpIHQ
