place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
1443,2020,7,122,Brussels,50.84700958856036,4.345165020081683,V09MmbI7mQDtuVG9L4hSNw,0,0,0,7,0,True,V09MmbI7mQDtuVG9L4hSNw
2841,2020,7,247,Brussels,50.86479202622439,4.341965253717561,m7MsbavY5yPxWA6QmV4jEQ,1,0,1,7,1,True,m7MsbavY5yPxWA6QmV4jEQ
534,2014,7,221,Brussels,50.83476015242981,4.373445903660107,eeAkP-hIgG1WyjaAHEBBJg,2,0,2,5,273,False,1tsg0LsJ8vwXuuR9pnYbBw
43,2010,10,229,Brussels,50.82906373395627,4.351651516616106,Dm1Mm0LDSvve0F_aVnkApg,3,0,3,5,13831,False,S_GytNkd0LzLJHH2JIR-mg
1216,2019,3,314,Brussels,50.84398520589503,4.352147067154446,Ts4WLg2Xhrr61R6YBbF3dw,4,0,4,3,8840,False,8FU1jxzCo2ryyaqxwQpQkA
2368,2019,3,65,Brussels,50.85904515133373,4.337095592114729,ZQAdYmJwUTOHp-wg-aLk1w,5,0,5,5,5538,False,g9bxWFThkMDykpdvrMn1XQ
59,2017,5,333,Brussels,50.8288365689356,4.366301860969536,onrban4A5cTRknwx3-O77A,6,0,6,4,7583,False,DYg_tg3kIxCLeTJvI2kQzQ
789,2014,9,273,Brussels,50.83893981573313,4.316123358063339,GqP_6tt1STXl8WkD2Ilung,7,0,7,3,10321,False,Adz0qDCzrx4x9sP5EYWaPQ
764,2014,7,46,Brussels,50.83785869104199,4.368962048690674,pg7EWD-YekGoZt6vsTm_Tg,8,0,8,1,8,True,pg7EWD-YekGoZt6vsTm_Tg
1699,2014,7,216,Brussels,50.85002253234909,4.364110182751911,GR-FoosetH7V7OVrRFvRVQ,9,0,9,7,11872,False,7rsX18l5XVmq7aH9SCXSBQ
1552,2019,5,301,Brussels,50.84789126202939,4.375418701909517,wrsPl51hu__iIrvITHlMTQ,10,0,10,4,3896,False,e4nNhX8f04jaLgAIeRTK-Q
2253,2017,6,124,Brussels,50.85678140557054,4.371076822791728,WWu-sa5ArgUcG0GsbadpFA,11,0,11,6,1813,False,jx2SA5pN6S3hUobUdSo6Qw
1387,2020,7,224,Brussels,50.84628522572882,4.365333112806643,pITSNDbyKGYPPWrcq8s4_Q,12,0,12,6,13589,False,13r3aHFZc_MqJ23MxADwLg
843,2014,10,196,Brussels,50.83871621047086,4.370372670205118,6waYIOpvlVHA6Uo_f4jD-Q,13,0,13,7,816,False,6SITfL6nwGxcdXJhJvJtdg
2738,2009,3,86,Brussels,50.86397084165208,4.316629245880148,U8YqpA5u2XppRGLkUg9_WA,14,0,14,2,14,True,U8YqpA5u2XppRGLkUg9_WA
2942,2014,7,83,Brussels,50.86603418646039,4.36509882288725,LRIKZSyJpOJ7Lw4WiHy-Pw,15,0,15,3,13953,False,AQ5CiXP_UbpEYcj9md21lA
2171,2014,7,139,Brussels,50.85585959614072,4.373706609982523,3xevgwTU3jxLX4iLezF8xQ,16,0,16,6,16,True,3xevgwTU3jxLX4iLezF8xQ
1243,2020,6,77,Brussels,50.84408402750309,4.380250953150549,xtXMVGgEM6Mo2TWz9kKNKA,17,0,17,7,6259,False,Cts2zeH6577BYppl2TLCHQ
2373,2020,7,205,Brussels,50.85888560673836,4.34044920647912,WlZR-aoypN1f9xDRXHUBsA,18,0,18,7,4305,False,PpylVhnbNwgA-AWr-zdGQg
1191,2009,4,17,Brussels,50.84431356834652,4.326250071195993,KT6EI1XTLysurvyA_Uw2_g,19,0,19,4,756,False,w-dK2__IhQ2FO4a4U1MZiw
45,2019,3,126,Brussels,50.82900935064411,4.352227706128411,oveRC6aCTpDQprvUe5U2Fg,20,0,20,6,7033,False,fe0P4KdbZEZYJwxCaT9nYg
2024,2019,5,227,Brussels,50.85345629665228,4.379521901814877,7q8sCdgT5nrsa2sOTfUwqA,21,0,21,2,21,True,7q8sCdgT5nrsa2sOTfUwqA
190,2014,7,9,Brussels,50.83087878061337,4.341392686652762,eL-anYv5eXUakAOdDpD_gA,22,0,22,6,3689,False,7Xj2xfRM_aRyJtkAu3wLPQ
2069,2014,7,118,Brussels,50.85470226963727,4.351068223709264,46jM1duoEgCmY7TzNYwjGg,23,0,23,4,23,True,46jM1duoEgCmY7TzNYwjGg
341,2019,3,350,Brussels,50.83288729889917,4.336096864168041,6dwQqazL8_RcqOTPuqnmkQ,24,0,24,5,7289,False,CE2u71QN-XL3cOgYaIncVg
2776,2020,6,21,Brussels,50.86395155868293,4.353294415719267,qKLDCLoVQ7PpAVj4hQZUHw,25,0,25,6,9582,False,csyfMnJbG0X6Y1yGHiwNbg
634,2014,9,244,Brussels,50.83690610037652,4.317184581068659,l1m5iRFpjLIW4-219hLgYQ,26,0,26,7,26,True,l1m5iRFpjLIW4-219hLgYQ
338,2009,4,127,Brussels,50.8325405112316,4.333831122984408,PiJK6tI0xiIg71dg1XuMTA,27,0,27,8,2516,False,oZF3OWsvugsatlqVyJ0nWA
1713,2014,7,84,Brussels,50.84987789534544,4.378225938391346,EB6m4iG3eN3xvLWWaOKO9g,28,0,28,10,10098,False,pbfhuB9r2H7NAEiuYOrFWQ
32,2013,7,354,Brussels,50.82898832796388,4.33915519847441,YDiby0gReiOXATgBPkLQgQ,29,0,29,2,29,True,YDiby0gReiOXATgBPkLQgQ
841,2020,6,179,Brussels,50.83910557187178,4.367917202131304,arhGSUZ4iZBmrZ05QceJAg,30,0,30,8,30,True,arhGSUZ4iZBmrZ05QceJAg
1651,2020,11,74,Brussels,50.84971236041724,4.318916179608977,O-k04ko0zUxriEvUlSS1Zw,31,0,31,5,31,True,O-k04ko0zUxriEvUlSS1Zw
2724,2009,4,194,Brussels,50.86293249920669,4.38105793288926,Fo6FhLtR4KnYdZJ40XvEoA,32,0,32,8,1909,False,ru2c0yICqmzmePOjI94yFw
2774,2014,7,231,Brussels,50.86397478341131,4.357331981753141,b5oRA2I-WgisEQxeMj0Gbw,33,0,33,2,33,True,b5oRA2I-WgisEQxeMj0Gbw
686,2020,7,98,Brussels,50.83723935044218,4.369685176820591,XLfyKQiR1nOsgBMVnIpCVQ,34,0,34,6,12200,False,HDXwFqG4ODYqegvWcDY-Lw
340,2009,4,281,Brussels,50.83316879268016,4.33553796001663,Jaengk_JCmb41Ac5PFVH-w,35,0,35,5,2416,False,mJ3R6l8pIhDhodb1sktNVQ
2443,2014,9,144,Brussels,50.86027268886694,4.333973272578695,ALSqcd06CGI9sMQYUiXX5Q,36,0,36,4,4869,False,R5xZ9NuSdl1y0YZYbWFHQw
1738,2017,6,154,Brussels,50.85113366077959,4.325421894222603,b-2iiuGg5UoqnnipoLduNg,37,0,37,5,37,True,b-2iiuGg5UoqnnipoLduNg
1002,2019,10,138,Brussels,50.84098654843716,4.374251647232214,S8itgjSHn_LGmUQKDQZkUQ,38,0,38,5,3763,False,pR2eG6DVEzD4MNQnSr7NDw
1676,2017,5,343,Brussels,50.84980463306301,4.349319240325897,QMo-IJklo4fl_aZg4qwv4Q,39,0,39,8,680,False,jt2P5w6ANdvZouzKZJwTSA
974,2013,7,353,Brussels,50.84102889229142,4.346108388941153,wUvziyayQaL6lGya9qjtHg,40,0,40,6,11060,False,dwyquaKmQ2NXzg7MJ28xAA
1929,2009,8,20,Brussels,50.85316068874064,4.365242559266291,nTam5SyMKO-CeUoRnzEO0A,41,0,41,8,41,True,nTam5SyMKO-CeUoRnzEO0A
