place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
1443,2020,7,122,Brussels,50.84700958856036,4.345165020081683,V09MmbI7mQDtuVG9L4hSNw,0,0,0,7,0,True,V09MmbI7mQDtuVG9L4hSNw
2841,2020,7,247,Brussels,50.86479202622439,4.341965253717561,m7MsbavY5yPxWA6QmV4jEQ,1,0,1,7,1,True,m7MsbavY5yPxWA6QmV4jEQ
764,2014,7,46,Brussels,50.83785869104199,4.368962048690674,pg7EWD-YekGoZt6vsTm_Tg,8,0,8,1,8,True,pg7EWD-YekGoZt6vsTm_Tg
2738,2009,3,86,Brussels,50.86397084165208,4.316629245880148,U8YqpA5u2XppRGLkUg9_WA,14,0,14,2,14,True,U8YqpA5u2XppRGLkUg9_WA
2171,2014,7,139,Brussels,50.85585959614072,4.373706609982523,3xevgwTU3jxLX4iLezF8xQ,16,0,16,6,16,True,3xevgwTU3jxLX4iLezF8xQ
2024,2019,5,227,Brussels,50.85345629665228,4.379521901814877,7q8sCdgT5nrsa2sOTfUwqA,21,0,21,2,21,True,7q8sCdgT5nrsa2sOTfUwqA
2069,2014,7,118,Brussels,50.85470226963727,4.351068223709264,46jM1duoEgCmY7TzNYwjGg,23,0,23,4,23,True,46jM1duoEgCmY7TzNYwjGg
634,2014,9,244,Brussels,50.83690610037652,4.317184581068659,l1m5iRFpjLIW4-219hLgYQ,26,0,26,7,26,True,l1m5iRFpjLIW4-219hLgYQ
32,2013,7,354,Brussels,50.82898832796388,4.33915519847441,YDiby0gReiOXATgBPkLQgQ,29,0,29,2,29,True,YDiby0gReiOXATgBPkLQgQ
841,2020,6,179,Brussels,50.83910557187178,4.367917202131304,arhGSUZ4iZBmrZ05QceJAg,30,0,30,8,30,True,arhGSUZ4iZBmrZ05QceJAg
1651,2020,11,74,Brussels,50.84971236041724,4.318916179608977,O-k04ko0zUxriEvUlSS1Zw,31,0,31,5,31,True,O-k04ko0zUxriEvUlSS1Zw
2774,2014,7,231,Brussels,50.86397478341131,4.357331981753141,b5oRA2I-WgisEQxeMj0Gbw,33,0,33,2,33,True,b5oRA2I-WgisEQxeMj0Gbw
1738,2017,6,154,Brussels,50.85113366077959,4.325421894222603,b-2iiuGg5UoqnnipoLduNg,37,0,37,5,37,True,b-2iiuGg5UoqnnipoLduNg
1929,2009,8,20,Brussels,50.85316068874064,4.365242559266291,nTam5SyMKO-CeUoRnzEO0A,41,0,41,8,41,True,nTam5SyMKO-CeUoRnzEO0A
64,2009,9,162,Brussels,50.82914348955403,4.371298539015199,vdGNLiAAuyfyQMt43oQuSQ,42,0,42,6,42,True,vdGNLiAAuyfyQMt43oQuSQ
1984,2019,3,66,Brussels,50.85408517559235,4.338765650343082,JQLexXrDL3QUv6lQCOneOQ,45,0,45,1,45,True,JQLexXrDL3QUv6lQCOneOQ
2551,2013,7,331,Brussels,50.86075220147715,4.359013759247065,3Zue7rE7xx7bIel3qJRMgw,50,0,50,6,50,True,3Zue7rE7xx7bIel3qJRMgw
77,2014,7,246,Brussels,50.82905546914062,4.384103897936794,Rf7Me6ZfrwnIuDgCeiijvA,53,0,53,2,53,True,Rf7Me6ZfrwnIuDgCeiijvA
284,2009,4,352,Brussels,50.83207268412229,4.35664786714567,JHep1d6Sht67psePx1JFEg,61,0,61,1,61,True,JHep1d6Sht67psePx1JFEg
2289,2019,4,1,Brussels,50.85811006083404,4.333961667283757,vI9HaiBvWl6aiWzZOpoTgw,62,0,62,3,62,True,vI9HaiBvWl6aiWzZOpoTgw
1463,2018,5,161,Brussels,50.84714181796371,4.370160515776396,jxjfOZfyu5M65RkI3uYFKQ,65,0,65,7,65,True,jxjfOZfyu5M65RkI3uYFKQ
591,2019,3,255,Brussels,50.83595687000896,4.352365994590471,W9B3e3DzraWFdhFt-uRrkw,68,0,68,1,68,True,W9B3e3DzraWFdhFt-uRrkw
1800,2014,9,335,Brussels,50.85197837195661,4.307206060946278,NDjb9O4KjcyCAAHTO3PYaA,73,0,73,4,73,True,NDjb9O4KjcyCAAHTO3PYaA
1470,2014,7,204,Brussels,50.8470083968858,4.372076783080483,S99CAPJpdXf0ewUCcDgDdg,75,0,75,5,75,True,S99CAPJpdXf0ewUCcDgDdg
240,2009,3,359,Brussels,50.83241438315461,4.313715010138921,fZFyib7Z6oIqeWtZh1PhBQ,79,0,79,4,79,True,fZFyib7Z6oIqeWtZh1PhBQ
2167,2009,4,31,Brussels,50.85598921201639,4.363187909472265,SwwebUuMdrdtyO-1xbw09A,81,0,81,1,81,True,SwwebUuMdrdtyO-1xbw09A
2078,2013,7,90,Brussels,50.85487432706246,4.35726567309957,hxdwDw8FLzS77ZzoY5h5gw,82,0,82,6,82,True,hxdwDw8FLzS77ZzoY5h5gw
2893,2019,5,135,Brussels,50.86601720977839,4.308094755819457,R7jflbiOT4oWUVXwCdSnLg,87,0,87,3,87,True,R7jflbiOT4oWUVXwCdSnLg
2216,2013,10,39,Brussels,50.85713255520018,4.338257427376487,Lz_Py8AJVci8mmosFpi9_g,89,0,89,4,89,True,Lz_Py8AJVci8mmosFpi9_g
185,2013,6,264,Brussels,50.83098234758955,4.336119848841323,VV1KRD4h5rodgRi7XGWUQA,93,0,93,2,93,True,VV1KRD4h5rodgRi7XGWUQA
609,2017,5,226,Brussels,50.8356168765399,4.370269981615198,-1V8CDssPDl6lcXb_lBLAA,95,0,95,4,95,True,-1V8CDssPDl6lcXb_lBLAA
2010,2014,7,223,Brussels,50.85406263418079,4.36621577523347,Fwc6xLzvTR0fAq5AW8lS1Q,100,0,100,8,102,True,Fwc6xLzvTR0fAq5AW8lS1Q
3,2013,6,49,Brussels,50.82953691323041,4.309566509959927,C7WHNHFj-LaCS_ApJFd2-w,102,0,102,2,104,True,C7WHNHFj-LaCS_ApJFd2-w
1161,2020,7,45,Brussels,50.84289629733755,4.38200788210751,nbRbKh3UPQox1vxIfxzZ8w,108,0,108,11,110,True,nbRbKh3UPQox1vxIfxzZ8w
2696,2013,7,190,Brussels,50.86295946071625,4.352391164986425,Rom1pAK4mTiRyS8paFWg0A,109,0,109,10,111,True,Rom1pAK4mTiRyS8paFWg0A
1596,2013,7,314,Brussels,50.84908158422675,4.342229491228226,S1mlW0cIwEWbhzL3ogKHTw,111,0,111,1,113,True,S1mlW0cIwEWbhzL3ogKHTw
1517,2020,6,67,Brussels,50.84780465086641,4.343246137000872,PgRmuT5qXH9DtndK8fB4hQ,113,0,113,4,115,True,PgRmuT5qXH9DtndK8fB4hQ
41,2013,7,165,Brussels,50.82868786809048,4.348932012242213,rzl2Xo4LfIwePLxyhfHudQ,122,0,122,1,124,True,rzl2Xo4LfIwePLxyhfHudQ
335,2009,4,123,Brussels,50.8329348487403,4.330109363726807,8IL4Qo1kKRhOXI06jPb0Aw,123,0,123,2,125,True,8IL4Qo1kKRhOXI06jPb0Aw
2675,2020,7,250,Brussels,50.8633215367756,4.329043748911837,2r8QPy8gNTiWF6UHQJMpQA,128,0,128,6,130,True,2r8QPy8gNTiWF6UHQJMpQA
1275,2020,6,31,Brussels,50.84501001038833,4.339146482136122,TEZoO6vmYsRVTr1T3X1RVA,130,0,130,7,132,True,TEZoO6vmYsRVTr1T3X1RVA
1709,2019,9,90,Brussels,50.84985922372166,4.381196011426295,au4Y1aBxCRfFv7RD2LFLjQ,134,0,134,4,136,True,au4Y1aBxCRfFv7RD2LFLjQ
