place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
591,2017,6,457,BuenosAires,-34.60621137234885,-58.39795659247841,xepMV92vHNbnEax0ZDULFw,0,0,0,10,3204,False,m6VQLpfMDVeg2eIun540uw
251,2013,10,302,BuenosAires,-34.618440550758,-58.41593596592475,maNtyrtOCQn7rcgoOHQxlg,1,0,1,7,4151,False,xMc6wg_NDMdn6iLle7nI3Q
587,2014,2,594,BuenosAires,-34.60643012871684,-58.40399113964677,DWL0fJ1krbLIXNwJkYeYgg,2,0,2,8,7610,False,-O3HTBe-2qy3IFQ5TtQf9Q
591,2013,10,431,BuenosAires,-34.60623100770906,-58.39796507664973,089Sq_0ITOJNVYVHEHBM4g,0,0,0,10,3204,False,m6VQLpfMDVeg2eIun540uw
630,2013,10,193,BuenosAires,-34.60466849742384,-58.40110036683914,NPo_kaOnsfzDnFk1vCs6hg,3,0,3,9,8186,False,YHEAA4Uctze7Tqx6lqS_gw
907,2014,5,315,BuenosAires,-34.5940650310906,-58.41606346480891,hIPNZ-aPUqOsPG1gTvfS1Q,4,0,4,8,6381,False,EK5dmOoNuYp2CrS8zMLmqg
669,2017,6,497,BuenosAires,-34.60337687367577,-58.40405201079784,ylxUhaMc7iaPCi32FOJnpw,5,0,5,3,5265,False,QYcRgTljNIFW_7T7htawoQ
21,2015,9,458,BuenosAires,-34.62717669090006,-58.39200730062686,I8x5tpLwuMmmDliqaZZYMw,6,0,6,6,2809,False,TrZ6c2R8aO9wNLOh7Bu4jA
795,2016,12,273,BuenosAires,-34.59872316396063,-58.39899579686991,g3Rs4JUTNIOiCOArqGvLMQ,7,0,7,3,5106,False,vVL_9O-d0gP_IxjJErZd7g
1313,2017,7,470,BuenosAires,-34.57945995105508,-58.42370220911572,oHghh7ZeLosWhJh1e563TA,8,0,8,5,5007,False,y-stSZf3ph7KvUUSLZOxFA
229,2017,6,523,BuenosAires,-34.61970989982255,-58.38734362833382,ERZn2EYYOEMX5Q8meKbncg,9,0,9,9,1840,False,ks7FkBiWhjp80Sy_UK8AqA
1300,2015,8,116,BuenosAires,-34.58017048577024,-58.37978876998287,4Qb2lE-AqR22GfA8ct5MsQ,10,0,10,8,1066,False,t0RycJOBkn5_AhKXj3RJMg
223,2015,6,353,BuenosAires,-34.61954701668667,-58.39659691262747,vxz1_1IvYcfDRRpjeD_dSw,11,0,11,7,5731,False,_vpigwdiIPD4UhxLPjfRvA
433,2014,5,495,BuenosAires,-34.61226411476409,-58.38893399132466,jP3wZUkwJ4EhIfi1MQ8kHA,12,0,12,9,4433,False,F-17pPeIJs6R6sgKQmQGcw
287,2014,7,479,BuenosAires,-34.61686753535862,-58.42354231221698,HPW_hTzO17N1tPSgyrCAdw,13,0,13,8,644,False,DMogv3CjD7396ZLP55RniQ
194,2015,6,292,BuenosAires,-34.62114122171381,-58.37863566404991,l9FP9sndo1ooO20t95m5TA,14,0,14,9,7143,False,ZiB9f3B2ND70RjZOIrSa-g
785,2017,7,239,BuenosAires,-34.59865486141387,-58.41475757135299,M8TMRIygqOBEAL9fqKFhrA,15,0,15,7,7685,False,M0Zkvb03HqXAsKwvtGqVkw
686,2019,5,376,BuenosAires,-34.60353648058886,-58.37849150937945,pwodtJrpgu_-vnRYVlpWKQ,16,0,16,8,17,True,pwodtJrpgu_-vnRYVlpWKQ
581,2019,5,310,BuenosAires,-34.60624601757478,-58.41311205639192,HZUxYnfpLxXXZdrzJB0nkw,17,0,17,8,5133,False,dbfAzDpklYqO3KW2d9A8JA
1264,2017,8,102,BuenosAires,-34.58214370526898,-58.37256313373395,9XM1CZyHiZfDgguVmWiDDg,18,0,18,8,3224,False,JGaSq61a2aadTBPelHUAMA
968,2017,6,471,BuenosAires,-34.59280863574327,-58.38601378108388,eg15deys7P7EUwQjDcs8vA,19,0,19,5,2645,False,vgecdkotHql-1PqmKRa_5Q
798,2015,6,117,BuenosAires,-34.59868186525789,-58.39501273489921,OYbsUxjG6U_R9Y_4Ojn3ww,20,0,20,9,855,False,8Ac2yFptsDazOLuywRlbXA
312,2014,5,249,BuenosAires,-34.61667885288686,-58.3860358949958,HHkkXPa8DROGb4kvSl7S-w,21,0,21,7,1506,False,XUuQd41fgM4R0sElG3oGiQ
903,2014,5,526,BuenosAires,-34.59416278279738,-58.42204181509634,rRAhBqAwVTbllvt6EGD-xg,22,0,22,9,23,True,rRAhBqAwVTbllvt6EGD-xg
702,2019,4,444,BuenosAires,-34.60152522943825,-58.41600201628874,sz8SwK-MEegdaxEwhC_eug,23,0,23,8,1019,False,rvmnGnR8niwlc3Mc7e5i8w
515,2019,6,565,BuenosAires,-34.60914900402996,-58.38905037803934,HDe9kBJOMhjNBfWPvi_clA,24,0,24,6,7300,False,y1i7hVRe53Pcf6DFM1JJAg
1239,2019,5,686,BuenosAires,-34.58200521689759,-58.40896007026495,-XlhIFwhzjAQJjMnBu_tYg,25,0,25,4,26,True,-XlhIFwhzjAQJjMnBu_tYg
519,2015,1,360,BuenosAires,-34.60911645800392,-58.38311997001831,LdNX8gIYd8z1RARGd9QS3g,26,0,26,6,7338,False,5pdHci7zrhDdrxekKVTTWg
453,2017,6,108,BuenosAires,-34.61074080131966,-58.42111998694111,pYmbV5c361WxYitPIPnzLA,27,0,27,7,3029,False,GPrY_HbBWLIZMVLS16lsXw
1106,2013,10,313,BuenosAires,-34.58637195107011,-58.36702896508687,UNBThXA82VvIZBvtTib9kA,28,0,28,10,29,True,UNBThXA82VvIZBvtTib9kA
1096,2013,10,308,BuenosAires,-34.58770066045203,-58.37817580234413,d-3bKf68DNd4u4whCbsDsQ,29,0,29,5,4000,False,h99VH-0B9SjUZe58_XRCLQ
881,2014,5,415,BuenosAires,-34.59573372377464,-58.39329056829501,3bjREVeBLWF-h5i4xMkQTw,30,0,30,8,2442,False,_lqL2PhGXd-SUn2IDBokYw
462,2017,6,210,BuenosAires,-34.61077245700049,-58.40751804438618,mtyZrZ3YDsOOIuenW-9Ftw,31,0,31,6,6799,False,sHlR4rV_6KMa-LPR37DcCg
1111,2014,5,570,BuenosAires,-34.58629927793845,-58.4178529404178,1iWGaKlQw7PbgaKK_JF-zQ,32,0,32,7,3943,False,XZ9ywZhw1-38YhM0DOY3kw
555,2013,10,92,BuenosAires,-34.60764902934373,-58.39066079322512,KEHJBg8tyNFyiOFVYb9ZaA,33,0,33,6,812,False,M78FJc508q69KWK5gMxGvg
217,2017,6,327,BuenosAires,-34.61931991110151,-58.4056748561157,upxU3ijCf1yDVc2vaXET7g,34,0,34,11,7518,False,jS7hotloIQ1zEs5J4rwxQQ
170,2017,6,543,BuenosAires,-34.6207957856318,-58.41461819985405,C0JWLTmwbctNZY4ha3y1pA,35,0,35,12,8319,False,Q9W2y5-Ik8WwxECPSky-vg
387,2016,12,702,BuenosAires,-34.61369449858822,-58.39614633663385,7MiIB9RTAbtH3eM5S13YqA,36,0,36,8,5687,False,eFBMO9V4t8kTFEFxZdw_6Q
1195,2019,5,517,BuenosAires,-34.58379671862143,-58.41469945311707,u7Uvlq_0UtOnrxyntublVw,37,0,37,7,4169,False,c9WC7bKjo2cUXByxC-KJdA
904,2017,8,322,BuenosAires,-34.59413705806597,-58.42066124778433,cP552uS-8NrIsBVkmGH9tQ,38,0,38,8,3865,False,Z5JmOAsqX6ZK41JnOTA5IA
375,2014,10,322,BuenosAires,-34.6136958050485,-58.41464243586664,HtDtCjFNZff_PVnkI4DN7Q,39,0,39,9,7076,False,tNlsy7NzIp1IvcMZ14i53g
871,2013,10,456,BuenosAires,-34.59577137873264,-58.40824803565806,2i4iPcUMd0R31uwI7aR8yw,40,0,40,6,7108,False,PtyJi6uiZVR-Qh6epANChA
507,2017,9,577,BuenosAires,-34.60918273690957,-58.400508737127,wtQSg8mzp9Z0GOEuD_lfQw,41,0,41,7,681,False,fQOJIn8anelKvOOXD2pDQQ
203,2016,10,145,BuenosAires,-34.62123284128895,-58.36544331134118,kehUGp6mslWg22rjthCjNQ,42,0,42,4,43,True,kehUGp6mslWg22rjthCjNQ
