place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
686,2019,5,376,BuenosAires,-34.60353648058886,-58.37849150937945,pwodtJrpgu_-vnRYVlpWKQ,16,0,16,8,17,True,pwodtJrpgu_-vnRYVlpWKQ
903,2014,5,526,BuenosAires,-34.59416278279738,-58.42204181509634,rRAhBqAwVTbllvt6EGD-xg,22,0,22,9,23,True,rRAhBqAwVTbllvt6EGD-xg
1239,2019,5,686,BuenosAires,-34.58200521689759,-58.40896007026495,-XlhIFwhzjAQJjMnBu_tYg,25,0,25,4,26,True,-XlhIFwhzjAQJjMnBu_tYg
1106,2013,10,313,BuenosAires,-34.58637195107011,-58.36702896508687,UNBThXA82VvIZBvtTib9kA,28,0,28,10,29,True,UNBThXA82VvIZBvtTib9kA
203,2016,10,145,BuenosAires,-34.62123284128895,-58.36544331134118,kehUGp6mslWg22rjthCjNQ,42,0,42,4,43,True,kehUGp6mslWg22rjthCjNQ
1238,2016,10,398,BuenosAires,-34.58225437672805,-58.41151191490257,HWNooGU8KB6zMpseGNLGqA,43,0,43,5,44,True,HWNooGU8KB6zMpseGNLGqA
697,2016,12,177,BuenosAires,-34.6016254983053,-58.42353852180549,f_Z_Q_6k0FWb8i2AogBYHw,47,0,47,8,49,True,f_Z_Q_6k0FWb8i2AogBYHw
977,2019,10,422,BuenosAires,-34.59251198518452,-58.3702125754357,jMYsdkvldcTWhf6le5kJRQ,52,0,52,1,54,True,jMYsdkvldcTWhf6le5kJRQ
1218,2015,10,235,BuenosAires,-34.5837157139524,-58.38006138301846,pYHCLkEDZzhglcLF6qqzJA,57,0,57,10,59,True,pYHCLkEDZzhglcLF6qqzJA
271,2015,4,431,BuenosAires,-34.61824570184697,-58.38584995447266,uIAn5JTQxrEXrsnVjwaHmA,65,0,65,9,67,True,uIAn5JTQxrEXrsnVjwaHmA
693,2014,7,88,BuenosAires,-34.60296397346832,-58.36963296718331,1braupPstlnvGl20B4YdGA,68,0,68,6,70,True,1braupPstlnvGl20B4YdGA
1222,2019,5,405,BuenosAires,-34.5837424839784,-58.37408041865386,0N1AUVCva4349N-mfV6IWA,69,0,69,1,71,True,0N1AUVCva4349N-mfV6IWA
1379,2013,10,384,BuenosAires,-34.57808557423539,-58.38467696322443,sqV7j38X08fmN4Gc7CcdCQ,75,0,75,4,78,True,sqV7j38X08fmN4Gc7CcdCQ
325,2014,1,31,BuenosAires,-34.61673026357723,-58.36670514452388,UJJ6FSEj-k3BPZ2Wwe9fRg,76,0,76,10,79,True,UJJ6FSEj-k3BPZ2Wwe9fRg
1286,2019,5,463,BuenosAires,-34.58056155491352,-58.40112710238209,f3B9Q7GRRzweDXG6ohtHCw,77,0,77,4,80,True,f3B9Q7GRRzweDXG6ohtHCw
1058,2017,9,326,BuenosAires,-34.58967160071013,-58.37405061943456,afr7kf7D5iXMzOK3lsgDsw,78,0,78,2,81,True,afr7kf7D5iXMzOK3lsgDsw
2,2016,12,546,BuenosAires,-34.62747894254923,-58.42054692469008,XmQgVknKSXEQqQNoAwZgZA,88,0,88,8,91,True,XmQgVknKSXEQqQNoAwZgZA
246,2013,11,233,BuenosAires,-34.61783598135241,-58.42360920177672,4bmHDJdijMWNe6W5TrGaJQ,91,0,91,9,94,True,4bmHDJdijMWNe6W5TrGaJQ
75,2013,10,271,BuenosAires,-34.62570765200731,-58.3726060938752,KqOAAs7l8o1SehARNblsIg,93,0,93,9,96,True,KqOAAs7l8o1SehARNblsIg
732,2015,8,362,BuenosAires,-34.6018222199198,-58.36954558288635,WswABaXvGmJlid5OJjeimg,106,0,107,7,112,True,WswABaXvGmJlid5OJjeimg
118,2013,10,589,BuenosAires,-34.62413281554139,-58.36962378080293,ip45AGizHfMHgz85PgfCtQ,111,0,112,8,117,True,ip45AGizHfMHgz85PgfCtQ
1041,2014,7,300,BuenosAires,-34.58940908625635,-58.39937632383957,cvmJ6U17ANLQSUY8uiyISg,112,0,113,8,118,True,cvmJ6U17ANLQSUY8uiyISg
361,2017,6,384,BuenosAires,-34.61489233371807,-58.37407184805524,si7SYqKAmtHowiUg5cuHZg,122,0,123,9,129,True,si7SYqKAmtHowiUg5cuHZg
690,2014,6,133,BuenosAires,-34.6031395927012,-58.37251437005848,Zj_pvlLV6G4YKQ0XgaRycw,125,0,126,11,132,True,Zj_pvlLV6G4YKQ0XgaRycw
1146,2019,7,306,BuenosAires,-34.58588097484272,-58.36664588951022,aEdmYO2pZSwZzUw71UVDjw,133,0,134,5,140,True,aEdmYO2pZSwZzUw71UVDjw
908,2014,5,380,BuenosAires,-34.5941343321941,-58.41307727403459,LYyOFGeZDhd5sKpHU_xFUA,134,0,135,7,141,True,LYyOFGeZDhd5sKpHU_xFUA
807,2014,10,249,BuenosAires,-34.59869794877876,-58.38164145687813,1n3_HaEfgRUiDNZL2rmFQA,142,0,143,8,150,True,1n3_HaEfgRUiDNZL2rmFQA
476,2013,10,161,BuenosAires,-34.61063673253464,-58.38616651285778,XkOvECqtkd31qhztDjfN-Q,148,0,149,7,156,True,XkOvECqtkd31qhztDjfN-Q
137,2015,1,109,BuenosAires,-34.6226635777366,-58.40245247544315,X9J04Gh03qYMNKAq_aegvA,156,0,157,9,167,True,X9J04Gh03qYMNKAq_aegvA
337,2015,6,259,BuenosAires,-34.61530087207093,-58.41000154895464,RbKGFckEd9nWkBI5rRCG_g,162,0,163,5,173,True,RbKGFckEd9nWkBI5rRCG_g
289,2014,7,329,BuenosAires,-34.61668884319796,-58.42054042368861,Ptgp0dlaf1tGUdUo4B8ttQ,164,0,165,7,175,True,Ptgp0dlaf1tGUdUo4B8ttQ
733,2019,2,266,BuenosAires,-34.60171711991756,-58.37116908732125,oOHlZUzKvjgK59srts3Krw,172,0,173,5,183,True,oOHlZUzKvjgK59srts3Krw
436,2014,7,601,BuenosAires,-34.61212858118387,-58.38445517165402,z5eHtCt0UmUSnORmJQOuBQ,175,0,176,8,186,True,z5eHtCt0UmUSnORmJQOuBQ
1247,2019,5,481,BuenosAires,-34.5818161060394,-58.39881139615797,a3EWPvFQRW3QwdR_8tfCGA,186,0,187,5,201,True,a3EWPvFQRW3QwdR_8tfCGA
461,2016,10,507,BuenosAires,-34.61068765386934,-58.40888793574145,s0wUC1LRkbezKG2F2dEj_w,189,0,190,8,204,True,s0wUC1LRkbezKG2F2dEj_w
410,2019,5,225,BuenosAires,-34.61226411529191,-58.4238119639932,ZTqTOOsaqiosbMBNhxuOiQ,196,0,197,7,215,True,ZTqTOOsaqiosbMBNhxuOiQ
296,2014,5,333,BuenosAires,-34.61662158538332,-58.41001492754475,FJ38iM-epnMmA0EKmdKp7g,197,0,198,9,216,True,FJ38iM-epnMmA0EKmdKp7g
841,2015,6,501,BuenosAires,-34.59722444441797,-58.39210620705481,f2_XGdMEeZllxEvpitcqxA,198,0,199,8,219,True,f2_XGdMEeZllxEvpitcqxA
635,2014,7,200,BuenosAires,-34.60443637681905,-58.39353571409806,ABSl80EpkCRKoiBdf2RglQ,199,0,200,10,220,True,ABSl80EpkCRKoiBdf2RglQ
950,2019,6,628,BuenosAires,-34.59259864211547,-58.4131286445369,iM2FjItJYFDJkKzRE-U0dQ,208,0,209,9,231,True,iM2FjItJYFDJkKzRE-U0dQ
782,2019,5,339,BuenosAires,-34.59873146533552,-58.41901699847271,M81IXUzTs8TKPthPcnamgA,211,0,212,4,234,True,M81IXUzTs8TKPthPcnamgA
129,2020,3,356,BuenosAires,-34.62268021990671,-58.41639075256334,9KEI4d74SCjqemK_77ZltQ,218,0,219,9,242,True,9KEI4d74SCjqemK_77ZltQ
489,2019,10,383,BuenosAires,-34.61065245089031,-58.36639045579937,zBAlwZ0_Aq0CGwC3O06OTg,219,0,220,1,243,True,zBAlwZ0_Aq0CGwC3O06OTg
1087,2013,10,395,BuenosAires,-34.58832187138791,-58.39209198817047,iUSJLsC7B_FWOfN0GgndJw,223,0,224,6,249,True,iUSJLsC7B_FWOfN0GgndJw
184,2017,9,520,BuenosAires,-34.62114928767583,-58.39313127167269,wiICaN310LRTVHUX-nBasg,226,0,227,10,252,True,wiICaN310LRTVHUX-nBasg
911,2016,10,361,BuenosAires,-34.59394354943569,-58.41216974612287,0vn0tRddpGywMbqE5xtSCw,228,0,229,7,254,True,0vn0tRddpGywMbqE5xtSCw
1053,2019,7,420,BuenosAires,-34.58962702489811,-58.38167649781018,vrKL2sdGeYLYRnYA8XR0JA,234,0,235,9,260,True,vrKL2sdGeYLYRnYA8XR0JA
733,2018,5,471,BuenosAires,-34.60172352933447,-58.37118741462815,n6YNMlSgEjrnFodkJ6fW2A,172,1,246,1,272,True,n6YNMlSgEjrnFodkJ6fW2A
1189,2017,6,394,BuenosAires,-34.58352226468224,-58.42333713559201,wHIY8wxul6XVrDaYi8i-_w,249,0,251,1,277,True,wHIY8wxul6XVrDaYi8i-_w
611,2015,4,423,BuenosAires,-34.60617221993469,-58.36772283669033,P_ilr2mAF6SoFvYKONW2mA,251,0,253,2,279,True,P_ilr2mAF6SoFvYKONW2mA
495,2015,6,256,BuenosAires,-34.6091408881018,-58.41868473093003,BnM3VK070dJc3rvbYok9XQ,255,0,257,7,286,True,BnM3VK070dJc3rvbYok9XQ
898,2019,5,448,BuenosAires,-34.59555247922005,-58.36920910575708,sDVebiKW_J4QD9If_pVilQ,221,1,258,2,287,True,sDVebiKW_J4QD9If_pVilQ
420,2016,12,221,BuenosAires,-34.6121694245531,-58.40877984120426,9SUODtD1A7Hft0ULj-SAhw,260,0,263,8,292,True,9SUODtD1A7Hft0ULj-SAhw
1073,2017,6,404,BuenosAires,-34.58823061559627,-58.41304912055737,UQWMhJ52fgouutFO1jDU6A,267,0,270,4,301,True,UQWMhJ52fgouutFO1jDU6A
270,2016,12,391,BuenosAires,-34.61818716798432,-58.38748065335924,O1vZbRZg5qvRunpovtDUSQ,268,0,271,8,302,True,O1vZbRZg5qvRunpovtDUSQ
691,2015,6,283,BuenosAires,-34.60325112600217,-58.37106861796484,bmHHHzV11PFWmS7BPqPfGw,270,0,273,3,304,True,bmHHHzV11PFWmS7BPqPfGw
607,2015,6,375,BuenosAires,-34.60611137255511,-58.37369127314852,cMwj8HuN-6yeGHggTrRABg,272,0,275,5,307,True,cMwj8HuN-6yeGHggTrRABg
528,2015,10,309,BuenosAires,-34.60914755954261,-58.36741699354926,6vXghSPVmLjv-ZIFOgq4IQ,275,0,278,2,310,True,6vXghSPVmLjv-ZIFOgq4IQ
573,2018,5,253,BuenosAires,-34.60767063210925,-58.36385556165719,1E2OC8KqyH08x1wkma8pJw,276,0,279,2,311,True,1E2OC8KqyH08x1wkma8pJw
1223,2014,7,463,BuenosAires,-34.58388678498245,-58.37064240679,hKiF6tpVJzHBuPXGKbdCng,282,0,285,5,319,True,hKiF6tpVJzHBuPXGKbdCng
1129,2019,4,592,BuenosAires,-34.58660205743281,-58.38909332735152,NEWhJKii-TCIkTAui6xdMw,284,0,287,4,321,True,NEWhJKii-TCIkTAui6xdMw
307,2017,9,479,BuenosAires,-34.61671617081002,-58.39320268029952,Pps1Q-q3pH4tqubZirI1eA,286,0,289,7,324,True,Pps1Q-q3pH4tqubZirI1eA
1052,2015,3,282,BuenosAires,-34.58980758378771,-58.3832416659522,Ro1q2EJBVfWxRfxzHaZYtQ,290,0,293,6,328,True,Ro1q2EJBVfWxRfxzHaZYtQ
886,2015,2,419,BuenosAires,-34.59564779864903,-58.3860409662579,tt5n1M3ElOL4OBQWH06ozA,292,0,295,1,331,True,tt5n1M3ElOL4OBQWH06ozA
457,2015,6,165,BuenosAires,-34.61067236333469,-58.41446268115116,b7WxX7Bi-dWHQ8JrXAF4cQ,190,1,296,1,332,True,b7WxX7Bi-dWHQ8JrXAF4cQ
1068,2014,2,142,BuenosAires,-34.58810559815508,-58.42066355434205,6uCI2ffsSF5-Gk1fMG4EJw,297,0,301,2,337,True,6uCI2ffsSF5-Gk1fMG4EJw
