place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
5807,2017,10,38,Chicago,41.91180533403458,-87.64832488045386,n1AA64m-n7UNQbtMltj3Ew,0,0,0,8,0,True,n1AA64m-n7UNQbtMltj3Ew
4452,2013,9,103,Chicago,41.8948100461303,-87.66040451127714,Yu1c9Zlvl2Bg62xW-hkNPA,1,0,1,8,27526,False,h37UIB_4UW1rAR_31GxWXA
4609,2019,8,14,Chicago,41.89615207638813,-87.66153972979134,0Bw_EKBAmkyUIsvtkOl_TQ,2,0,2,4,7584,False,jeIXpB-fHiu6ZNyF44o7LA
5534,2016,9,221,Chicago,41.90886221583104,-87.6847432908338,mELHvCyro3nplj1wcxBewg,3,0,3,9,6568,False,1QeIU_GbaXFjPxtOdxm_0w
3585,2013,9,51,Chicago,41.88379015520466,-87.65880249944723,_5bgVLH1wAEIYTNPSon3MA,4,0,4,5,3179,False,7keGpY-d2Gczrr0iO4zWIg
3505,2017,9,159,Chicago,41.88293920940378,-87.6595018377811,IIShYzs0OPBxp6QOVhSagQ,5,0,5,9,29218,False,hGNF25s0_Ts6ibombvLT2Q
1145,2015,6,52,Chicago,41.85260500700328,-87.64750775188874,M4tHLVPL_RNj_AJp2tA0HQ,6,0,6,9,8650,False,bjO7ot4ryKP5IgWDJP1ssA
3031,2011,6,313,Chicago,41.87680994300081,-87.6594119346832,f2Ml6Vm2hadSfrMwZl2AOA,7,0,7,8,32814,False,MDor6k3PyI6S2Z_rBOvJnw
2164,2019,7,212,Chicago,41.86608840823715,-87.66053751822028,Ko_hnffxl5iW390_SrId-g,8,0,8,3,29882,False,nTuCxMP0vMJ_IWwfqNIM6Q
1434,2011,6,51,Chicago,41.8567214407964,-87.67956485042409,uWjJCU607FURQZOwgQiuDw,9,0,9,3,18976,False,_5l-sK8XFjuN_MqIecuIiQ
2563,2017,7,345,Chicago,41.87068295689819,-87.65417884396493,Cl3Ix3dZ8SA2t9XTT7Qmvw,10,0,10,9,32924,False,jKo498J0gQCRx62j27RAEw
4875,2019,8,328,Chicago,41.89989381817632,-87.63273591218848,-Xf8Q5Vay2RMmq16Gz9-mw,11,0,11,11,3441,False,3zAQM15SIdG2q1bQra8FZg
6758,2018,7,186,Chicago,41.92367969260125,-87.6454046586576,gnhT0JRbvOGlIzhpITa38Q,12,0,12,11,5648,False,40-dhfaXAFqzpdiBn2FkuQ
684,2015,11,243,Chicago,41.84680348440972,-87.63952594889668,KduHTJP6hDgV6yp6_Saw9w,13,0,13,15,4043,False,qhXMLDE78Oi8lyz6_-SxLQ
5925,2014,9,349,Chicago,41.91384951947787,-87.68852041658054,R0rYJmEtFvvtechhW2nARg,14,0,14,7,31767,False,oXe1vN1sslKBCqPEQh4Dsw
5179,2009,3,44,Chicago,41.90371691203571,-87.64443976446915,TV0AvDOpJZYMhYU0Ao-zMQ,15,0,15,8,22951,False,3AmlGLWMaAdvAGEH_1Ni0g
1764,2014,5,274,Chicago,41.86146548403998,-87.66751915754476,WF6GG7oVE5W95uF9ibXx5Q,16,0,16,11,2917,False,-XyZp3dnJ7Q6WWV9xCFytA
5745,2015,9,225,Chicago,41.91085182534683,-87.63170226249419,jmrFkHvV15HS-sSLzdJvCg,17,0,17,8,33492,False,TaRqxE_fidQM4JJPHM9FRw
2235,2007,8,256,Chicago,41.86679692805712,-87.66850801096497,MUH0h9YNM9Ao92eLh6ZkUA,18,0,18,16,17322,False,93AI2clykvJqJaqMPs8Jqw
2301,2017,7,186,Chicago,41.86810860150505,-87.68191398831364,VsmOwhYr4vYQDjeXZwy7Ww,19,0,19,10,19,True,VsmOwhYr4vYQDjeXZwy7Ww
4401,2009,3,347,Chicago,41.89387455579453,-87.63258110819865,rJAXzMwDbrQx6xVehHcEBA,20,0,20,7,6856,False,9acNCZlxZ5xnKi_8KB7n8A
3167,2019,8,184,Chicago,41.87885349967103,-87.68150718498265,FG4hvrSAGdfrA5TGf-gWaw,21,0,21,2,21,True,FG4hvrSAGdfrA5TGf-gWaw
131,2013,10,48,Chicago,41.83984132230915,-87.63145351809845,4fKZij_NIGe8VhHLej2XNA,22,0,22,9,33351,False,ZDmqdaRueWbzXSuYvqqCfw
