place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
5604,2018,9,219,Lisbon,38.74838389624318,-9.224147567543676,nCgszbJ1SAj83ZNaBNU3uA,0,0,0,5,8606,False,tt6xsTXg_eGuIAvP5wt54w
4963,2018,5,107,Lisbon,38.74309116212751,-9.229928469104854,PFF6BwVnrHkmoDJ_croJYQ,1,0,1,3,1,True,PFF6BwVnrHkmoDJ_croJYQ
6408,2019,10,341,Lisbon,38.75410665183092,-9.1811774174731,py-WjANMfVXI3I6-lnYaoA,2,0,2,3,12376,False,OydQGELnFFmf7uGr2OYz0A
825,2018,7,129,Lisbon,38.71019104138551,-9.177949085347166,wsd5Zhio3pksBgKjORwmOA,3,0,3,7,13622,False,MlGeJSN_XgxHG1P5PVI2mA
6967,2019,10,289,Lisbon,38.75818405103651,-9.127091533775248,5r026hIwURlGAe5yqckrFw,4,0,4,3,15459,False,mGy67jPKuPuFvpG23cMg3A
3297,2019,11,144,Lisbon,38.72792979271584,-9.12019289040546,wieXuf04c4HWLKJ3nON2DA,5,0,5,5,16227,False,XnfA9QGxfCr93vn_u_xkug
2023,2019,11,293,Lisbon,38.71923360625841,-9.123034723960844,HoZMws7a-3ZxI6vedbdf_g,6,0,6,3,3259,False,xpOFpsJHx9maAwpMZYs3cw
6649,2014,7,85,Lisbon,38.75617353425746,-9.194703516108351,rEBpMQnoXQkrFrMUQ5kmuQ,7,0,7,6,12524,False,bzHpUbjaAlshMDmVNHSTYA
6609,2014,11,93,Lisbon,38.75616776253266,-9.236921335228736,CYa9WQ2wnS51G1LL0XkKpw,8,0,8,1,8,True,CYa9WQ2wnS51G1LL0XkKpw
2594,2018,6,123,Lisbon,38.72375943553224,-9.187574855179534,obNsIbQbp7TbYI9YAjBeAA,9,0,9,4,15695,False,ym9E84ehSqtfe4S6_t64gg
1610,2009,7,357,Lisbon,38.7162189613273,-9.154892839423868,wgWVZfu6EDHgDCZ9ClV2_g,10,0,10,7,26840,False,z6SGoWAbOKCDZTy0esdeCQ
5551,2019,9,15,Lisbon,38.74754616898026,-9.153090182608649,CKWOOCeWVWTiRUs6-lED6g,11,0,11,6,17456,False,FVdnUEeEqSAKXovBpvDVhQ
