place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
4963,2018,5,107,Lisbon,38.74309116212751,-9.229928469104854,PFF6BwVnrHkmoDJ_croJYQ,1,0,1,3,1,True,PFF6BwVnrHkmoDJ_croJYQ
6609,2014,11,93,Lisbon,38.75616776253266,-9.236921335228736,CYa9WQ2wnS51G1LL0XkKpw,8,0,8,1,8,True,CYa9WQ2wnS51G1LL0XkKpw
662,2018,6,303,Lisbon,38.70902612868174,-9.213999733113717,DQT9fJgN-uf5r2403MYHjg,18,0,18,6,18,True,DQT9fJgN-uf5r2403MYHjg
9101,2020,11,353,Lisbon,38.77516444197033,-9.151974795415482,orDQbhhvuAmPHPr_L5cd1Q,19,0,19,4,19,True,orDQbhhvuAmPHPr_L5cd1Q
2844,2020,12,178,Lisbon,38.72618180559137,-9.195027553468938,z1eKzwrapBtnLkC7cnIRwA,20,0,20,3,20,True,z1eKzwrapBtnLkC7cnIRwA
8082,2014,7,95,Lisbon,38.7672620988879,-9.159883303972212,KTQILnVTFRG-_NypDdBuUA,21,0,21,2,21,True,KTQILnVTFRG-_NypDdBuUA
865,2020,11,301,Lisbon,38.71026561854687,-9.13794800482575,ji5xS40j8LtZMC8M3zznwQ,32,0,32,2,32,True,ji5xS40j8LtZMC8M3zznwQ
7222,2018,7,50,Lisbon,38.76072493576329,-9.133235080771207,p0zerfHKqb1N7dXe7Yhq5Q,33,0,33,3,33,True,p0zerfHKqb1N7dXe7Yhq5Q
7917,2014,7,338,Lisbon,38.76693392066234,-9.197572639145392,0g901-rJyxbNORaFFnNyHA,36,0,36,1,36,True,0g901-rJyxbNORaFFnNyHA
405,2018,6,168,Lisbon,38.70708172199074,-9.216025079674024,hNh54J__ABJgp6YuIoyUhg,40,0,40,7,40,True,hNh54J__ABJgp6YuIoyUhg
6993,2014,8,136,Lisbon,38.75925367016918,-9.23299674926326,uIxWuCIlT7Vv4lDmoPfyAw,41,0,41,2,41,True,uIxWuCIlT7Vv4lDmoPfyAw
8045,2019,9,351,Lisbon,38.76772838983928,-9.197036062351716,sL0IE3PATXwwT7lHnO6Apg,43,0,43,4,43,True,sL0IE3PATXwwT7lHnO6Apg
165,2020,12,220,Lisbon,38.70541543574042,-9.20297489792833,Dt8oeRMMW76ezY7y2y8YlA,44,0,44,4,44,True,Dt8oeRMMW76ezY7y2y8YlA
8949,2014,7,7,Lisbon,38.77420322222264,-9.177962155857088,IuyLqoyHCYiOwUyvTZQl-g,47,0,47,1,47,True,IuyLqoyHCYiOwUyvTZQl-g
2638,2009,6,337,Lisbon,38.72407037721414,-9.143269945024938,D8yU0GIru6kel0rzvZ8voQ,50,0,50,2,50,True,D8yU0GIru6kel0rzvZ8voQ
3931,2020,11,139,Lisbon,38.73430354669121,-9.11860850214069,zuSW4imBiqhPBGunrzDbqw,51,0,51,1,51,True,zuSW4imBiqhPBGunrzDbqw
4829,2019,10,152,Lisbon,38.74240034996316,-9.23811076735142,lDK_l5JfElsSzQ6Ws5Jm5w,54,0,54,2,54,True,lDK_l5JfElsSzQ6Ws5Jm5w
8033,2009,8,124,Lisbon,38.76711397710456,-9.214139828108124,jGbxcyjlwpyA7S03yhh1vA,56,0,56,1,56,True,jGbxcyjlwpyA7S03yhh1vA
600,2015,2,191,Lisbon,38.70829015153981,-9.14907635702983,A2qV_GnRxaOKX6P8hEjaBQ,57,0,57,2,57,True,A2qV_GnRxaOKX6P8hEjaBQ
1760,2009,7,249,Lisbon,38.7170102341571,-9.132612351376356,7Tt9GHooqaVMHwhiPkySWQ,61,0,61,3,61,True,7Tt9GHooqaVMHwhiPkySWQ
1681,2014,8,248,Lisbon,38.71709305964465,-9.210974030827408,WAFl0OuFBGGIIB8R5W9hUA,64,0,64,1,64,True,WAFl0OuFBGGIIB8R5W9hUA
6848,2009,5,86,Lisbon,38.75722553806901,-9.125803672240146,GUmw6IfS3nIFtfpQo7LiHw,65,0,65,2,65,True,GUmw6IfS3nIFtfpQo7LiHw
6681,2019,10,341,Lisbon,38.75746798423585,-9.163530902768102,Bd-H2vVumlg7cetO1KpPKg,66,0,66,6,66,True,Bd-H2vVumlg7cetO1KpPKg
7752,2009,8,301,Lisbon,38.76521492463,-9.23703555453975,h8bkSL8DT11nLuz_PKG3zA,69,0,69,2,69,True,h8bkSL8DT11nLuz_PKG3zA
7704,2014,7,280,Lisbon,38.76400064641432,-9.160901020979477,_Wq4PRGSa-OOLCDTcBQLoA,70,0,70,1,70,True,_Wq4PRGSa-OOLCDTcBQLoA
5022,2018,5,272,Lisbon,38.74367474513803,-9.167440705221384,x6BoR1isOst36zFzuLJKTg,79,0,79,2,79,True,x6BoR1isOst36zFzuLJKTg
2784,2020,11,327,Lisbon,38.72535911665889,-9.128026283643448,1CSlmis2LyzSuc7zwXgE-A,60,0,60,4,80,True,1CSlmis2LyzSuc7zwXgE-A
1414,2018,9,87,Lisbon,38.71513048901959,-9.224115146442914,50L7ch9zJWg4fFatrviOjQ,80,0,80,2,81,True,50L7ch9zJWg4fFatrviOjQ
704,2019,10,124,Lisbon,38.70917505412228,-9.172010687425017,mJ44yDZ1NHVq869ZnRduNA,83,0,83,1,84,True,mJ44yDZ1NHVq869ZnRduNA
3210,2018,4,257,Lisbon,38.72927924654158,-9.208947648996736,8YN6JD6KiLjBggp9IgRjIA,89,0,89,4,90,True,8YN6JD6KiLjBggp9IgRjIA
1438,2019,9,320,Lisbon,38.71513914759576,-9.20122840771579,FSocZ0-BiBb8WI7MG6vZRQ,91,0,91,5,92,True,FSocZ0-BiBb8WI7MG6vZRQ
7930,2009,5,159,Lisbon,38.76619309064851,-9.186972724879997,alFO80iHNwRdb2lu6zX7IA,95,0,95,6,96,True,alFO80iHNwRdb2lu6zX7IA
4215,2019,10,178,Lisbon,38.73709359758721,-9.214989014441466,yMWsCgS2sgifr6x17XBXEQ,97,0,97,2,98,True,yMWsCgS2sgifr6x17XBXEQ
8582,2019,9,42,Lisbon,38.77123143277667,-9.168969539352354,pMiKiSma_3NJh0Yy_mF8iQ,98,0,98,4,99,True,pMiKiSma_3NJh0Yy_mF8iQ
8571,2019,9,37,Lisbon,38.77161017202489,-9.180979620666871,SUv1XbKZ4yOuOHRrL-FIaA,99,0,99,2,100,True,SUv1XbKZ4yOuOHRrL-FIaA
