place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
5419,2018,1,128,London,51.51206037880199,-0.116797721318452,EMZTM4_GiqSm0g-dHFZ-dQ,0,0,0,10,9497,False,4-0ogd4NWXTOlR5jaQsSvw
2974,2014,5,202,London,51.50037892133613,-0.1150729241821959,7-0Bl--2CEhSedOHRDsqsA,1,0,1,9,46417,False,yUtYH5Z6tjOvlXPkRgrJDg
2635,2019,7,330,London,51.49890662902133,-0.1484656809231056,efZzdOFwFegpirLMsZlfVA,2,0,2,6,56913,False,FMNnP7UqWOwgsjKhHtwkNQ
2342,2015,10,111,London,51.49729853624433,-0.1540593650351064,DI93cUvb6E01AqC623xS7w,3,0,3,11,56609,False,1SGc1NVbyBH3RUNjljjc6w
46,2020,8,215,London,51.48576779812721,-0.1482589689863398,PR2eYfQ06sL_7wIz-f6nPg,4,0,4,10,30792,False,bpogmoCStAHLorvYSK8WmA
2914,2014,7,246,London,51.50015957627347,-0.1559171699093414,Q88IcW8j-styjBbaQgRGqw,5,0,5,9,30682,False,64D74_F6eQKuNEgHjyID_w
3990,2014,6,312,London,51.50502592531971,-0.1085398074042444,uo3H4OOu1jsRzqOvE_RIww,6,0,6,11,391,False,KzT85ke4Ugh_uo4giCBNuw
3154,2018,2,1,London,51.50097269092332,-0.0902061471195805,F0XlEcPUhHoSY2DnvGV4eQ,7,0,7,14,57597,False,M-PHTt3b0EkmMMLTm9LaSA
8051,2012,6,305,London,51.52450412159262,-0.0908041721926399,1NYy6h3WGaG-C64Iet7jrg,8,0,8,11,49204,False,uSdu3FX81WhEFKjk5qugCw
6762,2008,7,307,London,51.51831965651969,-0.0845916127930317,HUFuot53AbrH4_ZwihemRQ,9,0,9,12,49574,False,d_0s8gGoLVBLIsE6G3qLHw
1359,2015,5,26,London,51.49262566136621,-0.1366551757631865,eNluEH3B-J3lrFakPlBkSg,10,0,10,9,22674,False,2LROD4ZcSGFMRYEZC8vNfA
2697,2018,3,263,London,51.49884309000265,-0.1100558936209708,fZYMSLSkqOSDjCNyvy5j-A,11,0,11,1,11,True,fZYMSLSkqOSDjCNyvy5j-A
4945,2014,5,80,London,51.51013956003386,-0.14723009388313,l7NM2mXUY8nprMt_iSJncw,12,0,12,10,6462,False,-Fqmjy-m79MJnfZDWZ9tfw
3716,2012,6,240,London,51.50369743104933,-0.0980820018222217,JHXOqXz1gqDgx7AsSdkLJQ,13,0,13,2,13,True,JHXOqXz1gqDgx7AsSdkLJQ
797,2018,4,69,London,51.48986262145392,-0.1270158667647463,1rTaY4MDEHc7rNwGfRIjTw,14,0,14,16,26296,False,1L_zSZmaCqJJ4tXpjHoi9w
2524,2016,5,138,London,51.49785597406837,-0.1280915792494657,xn7J-xUk32o_3z8mBJkXdQ,15,0,15,9,15,True,xn7J-xUk32o_3z8mBJkXdQ
7704,2018,1,167,London,51.5228403900955,-0.1316706719239192,1NzdukbHnuz4spP42AHiSg,16,0,16,10,55316,False,icPk48uT4fsri1xDBPcF3A
2148,2018,1,233,London,51.49607079093064,-0.0879490254925267,_c2cEYYDAFQ5Nqaxln6iJg,17,0,17,12,50019,False,QZwk_n3goWTQ3ntpvu-hMQ
1630,2014,5,11,London,51.49365210187112,-0.1478221081505879,uSD_XNh8L01tQwbppWLZXw,18,0,18,14,14596,False,nghCDaBzm2gjcyI1ySPy1Q
7737,2014,7,256,London,51.52302438425208,-0.1072555667456077,ejM7-jJe65aMDXdchkkkJQ,19,0,19,2,19,True,ejM7-jJe65aMDXdchkkkJQ
2624,2012,9,318,London,51.49877629889028,-0.1574984754151004,iGYJKGP1rNyliFVubeJklA,20,0,20,15,19302,False,Es4MD4V2TLmsPox60IMcPg
764,2014,6,108,London,51.4896521571298,-0.1501731565023842,zuMQdioWN-TIIQQaXiJdLA,21,0,21,9,29197,False,bbegrCdcSXFi-YDRaweQLw
6676,2018,1,217,London,51.51827130920489,-0.1449659324823349,aHPc2pGGQQ_E1y8ZlZDGWg,22,0,22,9,32883,False,zQ3Dycsh26v1D7_B50aVgA
2990,2008,10,281,London,51.50011387071789,-0.1029346567313535,_foWtKKlprqCqQoXzFF84Q,23,0,23,6,23,True,_foWtKKlprqCqQoXzFF84Q
7514,2019,4,200,London,51.5226107583967,-0.1608440966462053,2vo1AABHCsTBc3N8Kpx-xw,24,0,24,7,52025,False,OqqM5cnLFBcwUZoGkBbO7Q
7298,2008,10,164,London,51.52114419387892,-0.1147637142161527,iFZOiPTyk_wHkQpWhwOOXQ,25,0,25,1,25,True,iFZOiPTyk_wHkQpWhwOOXQ
267,2017,6,310,London,51.48685151228002,-0.0941365518643123,IkeghbeKAEvGg0Orr2Is9w,26,0,26,6,15786,False,GR8oXxqFtS9EXQ3VVfiLYA
8295,2008,6,312,London,51.52667759721417,-0.1213440240570522,yQDfTtqAXxgyNzuzEaTHSQ,27,0,27,28,16747,False,RGL6nieUnJToPPL4HDnixw
