place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
2697,2018,3,263,London,51.49884309000265,-0.1100558936209708,fZYMSLSkqOSDjCNyvy5j-A,11,0,11,1,11,True,fZYMSLSkqOSDjCNyvy5j-A
3716,2012,6,240,London,51.50369743104933,-0.0980820018222217,JHXOqXz1gqDgx7AsSdkLJQ,13,0,13,2,13,True,JHXOqXz1gqDgx7AsSdkLJQ
2524,2016,5,138,London,51.49785597406837,-0.1280915792494657,xn7J-xUk32o_3z8mBJkXdQ,15,0,15,9,15,True,xn7J-xUk32o_3z8mBJkXdQ
7737,2014,7,256,London,51.52302438425208,-0.1072555667456077,ejM7-jJe65aMDXdchkkkJQ,19,0,19,2,19,True,ejM7-jJe65aMDXdchkkkJQ
2990,2008,10,281,London,51.50011387071789,-0.1029346567313535,_foWtKKlprqCqQoXzFF84Q,23,0,23,6,23,True,_foWtKKlprqCqQoXzFF84Q
7298,2008,10,164,London,51.52114419387892,-0.1147637142161527,iFZOiPTyk_wHkQpWhwOOXQ,25,0,25,1,25,True,iFZOiPTyk_wHkQpWhwOOXQ
661,2018,1,206,London,51.48892606292921,-0.1206160326228278,hfz1AQY7lSZnEgeRlFS_pQ,30,0,30,9,30,True,hfz1AQY7lSZnEgeRlFS_pQ
885,2008,7,156,London,51.49033067097042,-0.1657022120683209,swcaucugipomtMgTyUH0FA,41,0,41,2,41,True,swcaucugipomtMgTyUH0FA
8269,2012,4,309,London,51.52625348739961,-0.1400051047549179,sjpumL490aU0ATa-nU8CSA,46,0,46,2,46,True,sjpumL490aU0ATa-nU8CSA
7687,2019,7,169,London,51.52318906601376,-0.1420659671003401,ZKpLwdlhQIfC_G61OnKOEA,48,0,48,2,48,True,ZKpLwdlhQIfC_G61OnKOEA
293,2015,10,57,London,51.48730116978651,-0.177501078471326,W3Lc8rxgaTFFe90rXc-avg,51,0,51,3,51,True,W3Lc8rxgaTFFe90rXc-avg
5241,2019,8,191,London,51.51131134555229,-0.140865121850889,nSDcIq6Nn6vU3KbTOlbiLg,69,0,69,1,69,True,nSDcIq6Nn6vU3KbTOlbiLg
1542,2014,7,187,London,51.4931324395483,-0.1090578290200648,uEAYJcCUkoW5Ld3exjhEkw,70,0,70,1,70,True,uEAYJcCUkoW5Ld3exjhEkw
7074,2014,5,35,London,51.5205666985089,-0.1664941186802541,UgSKCVvjuzdt-zZLKIx1dw,71,0,71,11,71,True,UgSKCVvjuzdt-zZLKIx1dw
3208,2020,8,91,London,51.50173364156274,-0.1529076286726454,LXQIVbctb0ls4cdjTMA0xQ,77,0,77,4,77,True,LXQIVbctb0ls4cdjTMA0xQ
286,2014,6,195,London,51.48682149927605,-0.0811316384198868,XjHo8cWkpdFY0tOdsiTAMg,80,0,80,2,80,True,XjHo8cWkpdFY0tOdsiTAMg
7571,2014,5,274,London,51.52262545379671,-0.1244096440458499,QdzSSDb5alnBOa9VzpV0bw,81,0,81,7,81,True,QdzSSDb5alnBOa9VzpV0bw
5934,2017,4,177,London,51.5148524676614,-0.1606656902493607,lOTWTtfsRyASQcCcrjRK4A,88,0,88,2,89,True,lOTWTtfsRyASQcCcrjRK4A
409,2018,5,357,London,51.48771850646822,-0.0954440112900014,bJ75ubzFj7tTJpsrZuvxsw,90,0,90,4,91,True,bJ75ubzFj7tTJpsrZuvxsw
137,2020,8,317,London,51.48604732890973,-0.0847187495699886,kGbVTkXqUhywCRxQRwi0yw,95,0,95,3,96,True,kGbVTkXqUhywCRxQRwi0yw
7237,2019,7,239,London,51.52126873801505,-0.1539514574089321,YDmbbWi1ADjtC5DaigJl7g,97,0,97,1,98,True,YDmbbWi1ADjtC5DaigJl7g
