place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
629,2016,8,509,LosAngeles,34.04905142914309,-118.2522473141441,LA8AgQDG506cjnIDj2_oyA,0,0,0,20,2228,False,onKl1BGV51Uow34vrh_aUA
121,2020,3,364,LosAngeles,34.03533516985691,-118.255919706159,YPuoK3fDcDGFnW57piSXQg,1,0,1,19,3655,False,Q0JX_VPz3GkEKiFE-vNgiQ
766,2014,7,565,LosAngeles,34.05317299971709,-118.2590929705886,5YPBwIoWPZOu5bsJ2f4gxw,2,0,2,8,3719,False,VKk8UXz_59yjjVnJCQ9dWw
848,2019,4,391,LosAngeles,34.05520573679347,-118.249133915636,MTQghcM9IdrEzCseH7rnDA,3,0,3,5,4200,False,_wDp-X-TYoQfEFvmoSL_hA
636,2014,7,248,LosAngeles,34.04882884810413,-118.2453441003459,3xq9UBfqKesCJy9v-4uyGQ,4,0,4,17,6057,False,GEmZLYXtEHtZA-CAaI5MAQ
731,2011,5,534,LosAngeles,34.05240585840942,-118.2583658172507,5bbN65sV39xGUIWkIAE6zg,5,0,5,7,7097,False,xDmFqUxvQCglGILNRNXdfA
32,2014,10,190,LosAngeles,34.03157369805066,-118.2370470783171,xxuWB045Bcj4GprEF9AeQw,6,0,6,10,6,True,xxuWB045Bcj4GprEF9AeQw
166,2017,10,373,LosAngeles,34.03616805420231,-118.2470533200317,hsKVfcJoOvhkAczy4VXSag,7,0,7,9,7390,False,mUN7_uHMS0KmDerN-EkhuQ
740,2014,7,375,LosAngeles,34.05206471822162,-118.2486964039927,vOA0kjWi94yZ4Ze8UIYCOg,8,0,8,3,3698,False,2LvYB3se8AzA9Y5KRSZSPw
187,2008,6,237,LosAngeles,34.03750365237308,-118.2618451333099,bMwJmLiiWPKZraAnYpCBpQ,9,0,9,10,5446,False,vK2qLE8iHDZrAiR5xf0mnQ
349,2019,3,384,LosAngeles,34.0409756387289,-118.2438119181295,UB-V01WqDBR9oYKcxUiy3Q,10,0,10,9,3741,False,8UoNpQKMm1fIzahNwsBA-w
266,2017,1,406,LosAngeles,34.0390666058387,-118.2551593364657,D_RN618QHLrqq3CGhSfa2A,11,0,11,10,2169,False,NJm6piMBn4yOwUt5F9rUVg
532,2015,1,349,LosAngeles,34.04634072157815,-118.2414120030396,VVMsPY1Mc-3gxmACx9iMZw,12,0,12,7,6610,False,Q_d_TMvxBrx9IDN6xrO9mQ
285,2017,1,173,LosAngeles,34.03916674803678,-118.23609550131,uztjS73M46wrd3hkt2G9cQ,13,0,13,14,1111,False,7fBne77iDrC3My6_AE-k9Q
173,2009,4,532,LosAngeles,34.03612344058308,-118.2402312151823,uVF1UX5gY4VQQENU4nol9A,14,0,14,11,6537,False,Kt3hkn6y5TKd_1SGfHjU8Q
632,2015,11,334,LosAngeles,34.04927666939513,-118.2490226852262,tbWWfSURDeZakvRDwpzRoQ,15,0,15,19,7041,False,-gxb7ZtPkAQwiJV7ROzcrQ
374,2015,1,537,LosAngeles,34.04198838027454,-118.2546963901843,vdX2C5t8_PM0xI69h9jb1w,16,0,16,9,2007,False,-tswa6Y1fsSO2scoEHXXzg
741,2019,4,407,LosAngeles,34.0524402271677,-118.2483700357002,YDie8-X6FJ4GMWGT5s0ZdA,17,0,17,14,4783,False,IX2I-Pv4FHJRjnPyyEAcoQ
852,2019,4,347,LosAngeles,34.05552948488584,-118.2455497874251,grmUpfEaOAn5lO4YXMUudg,18,0,18,15,18,True,grmUpfEaOAn5lO4YXMUudg
829,2009,2,407,LosAngeles,34.05524277979026,-118.2679807595759,P0yTIiAGjL9zvk74Ya1sXA,19,0,19,10,2906,False,fFaN-eRNwTRsBu6RUOHLmA
9,2020,3,287,LosAngeles,34.03216022678895,-118.2599835906165,8wQTIDo8zHHB0sjI4Kex5g,20,0,20,15,3129,False,IfcDmUmaris94qd0kngjiQ
