place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
1746,2014,2,140,Madrid,40.42433229530147,-3.70837168149858,oWCkDzuaXRAzU2HpwHRxpA,0,0,0,9,12726,False,HaEvNh9pGmbuGz8EfY2BqQ
1667,2011,4,278,Madrid,40.42229839861123,-3.67131307742138,Fe3LcKMItNG8Iq6ybpIH-A,1,0,1,15,13201,False,bqn6wq2tnoLCQQeaaVq3nA
1937,2014,4,25,Madrid,40.42722810806634,-3.69128147562853,moHqqGVRoB9hb0L4qZ-FuA,2,0,2,8,7282,False,KnRjelNWRLkjwriPSZgvrw
2127,2011,4,328,Madrid,40.43023058035911,-3.67522264462541,UbAd6zgFnw8lCfiyevQW4g,3,0,3,5,10792,False,1QNpLCA-Dqg96w9akCb_2w
2109,2018,7,347,Madrid,40.43012682167523,-3.691861904466168,iCCwr7uBgLpQIe63YbvmsA,4,0,4,9,389,False,DTxIc-jVai8suodDMe56eg
916,2012,5,296,Madrid,40.4091933254677,-3.668758443967135,M2J81KtMuxuIcXWhE25uhw,5,0,5,10,5,True,M2J81KtMuxuIcXWhE25uhw
1882,2015,5,50,Madrid,40.42653547473986,-3.688222770279752,jkVRg-_eNZZiayZ4x_IqnA,6,0,6,7,7828,False,KCf9Kk_iebxXQIBMGp_phQ
718,2008,6,226,Madrid,40.40616860846082,-3.692327414450813,QUkGVHO-Tw2-oC4kEwkrJA,7,0,7,9,10623,False,aT30C_fbl7ogbTWoKJ7JBQ
1344,2018,8,172,Madrid,40.41728637367792,-3.704453228073822,MWSZzhn8cNDOD0Qv6YTY7A,8,0,8,4,8,True,MWSZzhn8cNDOD0Qv6YTY7A
1468,2008,7,127,Madrid,40.41904191201683,-3.697353869671433,M0eonx5byifkN31jpydOtw,9,0,9,7,7055,False,QGPcDcOEADlk43UkI4v6yQ
