place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
725,2014,2,415,Medellin,6.243724677128454,-75.57193428575087,tckfQtrnZaGbPOTohBwRlA,0,0,0,4,0,True,tckfQtrnZaGbPOTohBwRlA
383,2017,8,116,Medellin,6.237882968984666,-75.59646692843155,SsmpfJiMBRiQzeu9QR93cw,1,0,1,1,1,True,SsmpfJiMBRiQzeu9QR93cw
1197,2017,6,295,Medellin,6.252994117781181,-75.57745586724951,8-8rSyUtPPb_IOsle5qVsQ,2,0,2,11,5954,False,it0HTMj-KfACyaiRor9IZA
1246,2018,12,452,Medellin,6.253820960389884,-75.58115756699554,Bx8j08TYpNrXXiWfSv1sUA,3,0,3,4,1246,False,Yf9HMRaU_TEnFXyBsY02KQ
476,2013,7,158,Medellin,6.239090948031001,-75.55642971503063,Cp5IchCglvQPSgElIQGR8Q,4,0,4,8,4648,False,Ch8yuEAZnRROXU9wCoDiVQ
170,2019,1,334,Medellin,6.233982818355915,-75.59748668140409,j2ZwmmLJG7_cEQ8MO2knGw,5,0,5,7,3625,False,5BbFzmDyb7wTxG0g5OOU5Q
726,2016,3,639,Medellin,6.244141413092481,-75.57180874014591,fEOMvkm7EFAXWyWDsW0M3A,6,0,6,6,2362,False,X2ARoIL0jciK9CmMi3LDmw
608,2013,5,471,Medellin,6.242069421163564,-75.58352303735988,EgCuwIW_QxKppWmu3ts-Zw,7,0,7,12,1562,False,wEcgeZivBFib9e3k8O2Avg
704,2013,6,686,Medellin,6.244005808238424,-75.59354711360572,LHRvxHcAdRHT0PH42pwcBg,8,0,8,7,2655,False,CYi2eJ7oDGUIJm2I6ii_fw
960,2013,5,377,Medellin,6.248984049525568,-75.60244799779932,dwwkTLOHu8bCsxt43cG9uw,9,0,9,8,5041,False,EAHP9dd2pJICQgwIPF5Yjg
567,2017,6,152,Medellin,6.240957814789342,-75.57126606019095,CAPmWGMFSmu4AlTlQnzYwA,10,0,10,4,805,False,KmzNP5uElgZJ6v80PsbeiA
86,2015,1,371,Medellin,6.231910698776264,-75.57519763403036,E2bvK4_Gxk5dm--Ljy-oGQ,11,0,11,14,4420,False,bL45m9e1tyLBzdIXVmnYhg
599,2013,8,283,Medellin,6.24183935778921,-75.59184002413005,F50JJxEUw2BpPvX_90H_7w,12,0,12,7,2329,False,yzijo4FUDshx80aYXki5eg
32,2017,8,42,Medellin,6.231017314535094,-75.57620754877995,TrfdqJ0ynPlMND-L-B-pUg,13,0,13,4,13,True,TrfdqJ0ynPlMND-L-B-pUg
564,2016,3,295,Medellin,6.240923350319957,-75.57416337195552,8G7jk5ah6G_6avJj4ZvsOA,14,0,14,5,4448,False,zr595kxjhg_CgE6prD1cUA
878,2014,6,413,Medellin,6.246958555094479,-75.57845694097715,eRFnSXUotTVCWo8uITQx6g,15,0,15,5,509,False,k8ZDnpBqmQr7pxIC_FDiQw
77,2013,5,498,Medellin,6.231911205551141,-75.58444365504467,5UCCGvO8I8E8-aLlAw-gVQ,16,0,16,9,16,True,5UCCGvO8I8E8-aLlAw-gVQ
1133,2013,6,487,Medellin,6.252006222847069,-75.58870126030344,MxghuGk5WMYtppIbuHmpMQ,17,0,17,3,17,True,MxghuGk5WMYtppIbuHmpMQ
793,2018,12,434,Medellin,6.245061523528586,-75.55756134391713,UDCXmA30_s6oxyVEelsFHw,18,0,18,4,342,False,iif2MmBbGU3PVT4CmQKtLQ
822,2015,9,293,Medellin,6.24591458168489,-75.58139635284138,hW3tnxqUauYz4761Mm5gVw,19,0,19,9,47,False,IJVe9zp88DJ3BzL7iKB2zQ
610,2013,5,294,Medellin,6.242025564586413,-75.58170115159385,LIiA-Q7mtpn4smgWs9hC3g,20,0,20,4,5521,False,DDipjtX55FxcBc4wU33PaQ
553,2019,6,327,Medellin,6.241090129516212,-75.58542454941716,bwYxi2u54FcECxCxSK93rw,21,0,21,1,21,True,bwYxi2u54FcECxCxSK93rw
971,2013,5,342,Medellin,6.248800034658451,-75.59149198654137,l0SGE1MR1NnjIvM_6B__Ag,22,0,22,6,337,False,b-P5i6Im3XgQSKZOYofKjw
507,2014,1,278,Medellin,6.239995724749166,-75.57844280930152,O9QhOfErjZheGlAlLMZdYQ,23,0,23,11,23,True,O9QhOfErjZheGlAlLMZdYQ
794,2017,6,204,Medellin,6.245108384751098,-75.55635958471694,f50JRMwuP61govSB-CZlNA,24,0,24,3,1228,False,b0oZ5HPzPvFDcGm_cdBO2Q
