place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
725,2014,2,415,Medellin,6.243724677128454,-75.57193428575087,tckfQtrnZaGbPOTohBwRlA,0,0,0,4,0,True,tckfQtrnZaGbPOTohBwRlA
383,2017,8,116,Medellin,6.237882968984666,-75.59646692843155,SsmpfJiMBRiQzeu9QR93cw,1,0,1,1,1,True,SsmpfJiMBRiQzeu9QR93cw
32,2017,8,42,Medellin,6.231017314535094,-75.57620754877995,TrfdqJ0ynPlMND-L-B-pUg,13,0,13,4,13,True,TrfdqJ0ynPlMND-L-B-pUg
77,2013,5,498,Medellin,6.231911205551141,-75.58444365504467,5UCCGvO8I8E8-aLlAw-gVQ,16,0,16,9,16,True,5UCCGvO8I8E8-aLlAw-gVQ
1133,2013,6,487,Medellin,6.252006222847069,-75.58870126030344,MxghuGk5WMYtppIbuHmpMQ,17,0,17,3,17,True,MxghuGk5WMYtppIbuHmpMQ
553,2019,6,327,Medellin,6.241090129516212,-75.58542454941716,bwYxi2u54FcECxCxSK93rw,21,0,21,1,21,True,bwYxi2u54FcECxCxSK93rw
507,2014,1,278,Medellin,6.239995724749166,-75.57844280930152,O9QhOfErjZheGlAlLMZdYQ,23,0,23,11,23,True,O9QhOfErjZheGlAlLMZdYQ
89,2014,1,522,Medellin,6.23202447852186,-75.57244235600028,cUOrKWLZdwGmF1S_yyYBlA,25,0,25,6,25,True,cUOrKWLZdwGmF1S_yyYBlA
911,2019,3,610,Medellin,6.248155108217884,-75.59855050852721,BcI37edSt2UUMAOn-JG4Gw,26,0,26,4,26,True,BcI37edSt2UUMAOn-JG4Gw
131,2013,8,247,Medellin,6.233316767619383,-75.58344690878819,7UdxwBG9fAFXwbXFXlcRTw,27,0,27,2,27,True,7UdxwBG9fAFXwbXFXlcRTw
512,2013,11,274,Medellin,6.240110506386243,-75.57352062344425,PiVvfRcWiNn7VA8iZ5IeZw,28,0,28,3,28,True,PiVvfRcWiNn7VA8iZ5IeZw
1175,2019,3,254,Medellin,6.252757614796413,-75.59907413525977,Oz9T_qvMqYDJeSGpyz3WFw,29,0,29,1,29,True,Oz9T_qvMqYDJeSGpyz3WFw
521,2015,9,254,Medellin,6.239957061409505,-75.5644319108729,pUB5JJuqKEOTFklYBAqMRw,40,0,40,1,40,True,pUB5JJuqKEOTFklYBAqMRw
822,2019,6,275,Medellin,6.245935682824806,-75.58140874791269,IJVe9zp88DJ3BzL7iKB2zQ,19,0,19,9,47,True,IJVe9zp88DJ3BzL7iKB2zQ
663,2016,3,251,Medellin,6.243052232964129,-75.58122170224836,mMRS0STlQ_gdx8gxTt6DLA,48,0,48,5,49,True,mMRS0STlQ_gdx8gxTt6DLA
1257,2018,11,423,Medellin,6.253864487893532,-75.57017995444964,lYFgNMyNVYxIhfnNduYebQ,54,0,54,4,56,True,lYFgNMyNVYxIhfnNduYebQ
83,2016,3,596,Medellin,6.231975593110916,-75.57851669243236,5Ff5Umrp5en3zdlnxIJwdw,56,0,56,12,58,True,5Ff5Umrp5en3zdlnxIJwdw
595,2013,6,606,Medellin,6.242002288516253,-75.5964155751901,x_lVhvGFfte6x6G8jS0zBg,57,0,57,2,59,True,x_lVhvGFfte6x6G8jS0zBg
751,2013,12,421,Medellin,6.244973076461652,-75.59937666651929,kCavKNkyh3-t1oe6KMk5yQ,59,0,59,1,61,True,kCavKNkyh3-t1oe6KMk5yQ
65,2013,11,581,Medellin,6.232151106091627,-75.59644851157312,5MIhPDFNueOn7Pn3K6OutQ,64,0,64,3,66,True,5MIhPDFNueOn7Pn3K6OutQ
158,2019,6,614,Medellin,6.233035601795303,-75.55644297141556,yUz6vmcAaAbnoofcj0IREA,75,0,75,2,78,True,yUz6vmcAaAbnoofcj0IREA
653,2015,1,281,Medellin,6.242980842624647,-75.59176055648061,QuwkUMxa2ojpHuU9hV16bg,77,0,77,6,80,True,QuwkUMxa2ojpHuU9hV16bg
442,2013,10,163,Medellin,6.239082568008435,-75.5905172813351,pjESDVgFo5ca0NgCPtFeJA,78,0,78,1,82,True,pjESDVgFo5ca0NgCPtFeJA
97,2014,1,56,Medellin,6.232092122714317,-75.56429313769539,nG87bkcfJNDpHRltCRqDUg,82,0,82,2,86,True,nG87bkcfJNDpHRltCRqDUg
800,2019,3,436,Medellin,6.246154683533299,-75.60345867424799,zYVNlBGVGY3yT4QwtB1k2g,90,0,90,1,94,True,zYVNlBGVGY3yT4QwtB1k2g
