place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
4827,2018,11,262,Melbourne,-37.80581268459607,144.9490823607033,da2cAZiDtdQ-4yLdZxe0wA,0,0,0,13,8114,False,FgcIwcunRJp9ngxkISxEGQ
4400,2010,1,247,Melbourne,-37.81166891681994,145.0128576927344,TXZJdjG6Dcz4jygzxLq0CQ,1,0,1,14,20090,False,doDGUlvMinP_AHjPwJ2gUQ
3272,2018,12,4,Melbourne,-37.82180187773098,144.9658399039191,c2NPtssyY3QS0gU2CWiA2g,2,0,2,4,2,True,c2NPtssyY3QS0gU2CWiA2g
4669,2008,9,62,Melbourne,-37.80764006939407,144.9930068462462,VN8EGXm5OeONTKH5f8lcLQ,3,0,3,3,25882,False,Oy3Ijr0IIkMl9vj-5r-ZkQ
3896,2016,10,196,Melbourne,-37.81570811462032,145.0029878749085,w93YHtl0omcJEu47wZOdQw,4,0,4,3,25143,False,WakUbL3l2ubakJSsIREERw
2234,2015,4,178,Melbourne,-37.83253886936607,145.0016901143695,jF7Ki1RLVAKyGTRn-IKzFQ,5,0,5,16,9437,False,bSrKnwCyl4PGLH02uj_EmA
3394,2007,12,64,Melbourne,-37.82082940609153,144.991901082689,N3EFfAOw7oum9Q8EpWlMFw,6,0,6,4,18369,False,aDiAqt5iquwEofYkw32Xug
5743,2018,12,251,Melbourne,-37.79680236782132,144.9909286772314,wZohIdSmVArLDVh0H_ed9Q,7,0,7,4,19889,False,RII-iqXLdUv-VitM4ovHOA
3796,2020,12,183,Melbourne,-37.81681242026576,145.0030006186563,r1uTzl04sP1P0mTej9iqKw,8,0,8,5,8,True,r1uTzl04sP1P0mTej9iqKw
5254,2016,10,20,Melbourne,-37.80222950796718,144.9899094585108,ak5GYo_ODR5HOd5em_DJmg,9,0,9,5,20158,False,bjY35eYAXw2XTKtkZseYsA
264,2014,8,183,Melbourne,-37.85277634037205,144.996027135606,Wfm4t0z37_9p0j8obzFG8g,10,0,10,8,3303,False,BKoHG-NAcx3nlk7CYAR8Sg
2191,2018,12,251,Melbourne,-37.83286141735823,144.9611089154319,XrEXkN4ZAerGMCygaeijOA,11,0,11,4,3985,False,2D98UOV3QfrEJ1AaSaSO3Q
1102,2007,11,241,Melbourne,-37.8437970862331,144.9541191243898,Uzuec-tBtSfX1ikydai_xA,12,0,12,4,13368,False,vnqrSDgTSO-W_F3DD1Vjsw
3548,2014,5,4,Melbourne,-37.81930639411098,144.9531261639576,h9RtgfnUadrbwaieNwgIzg,13,0,13,10,14200,False,szp0HQX94obD-ci-czJXdg
2002,2009,12,267,Melbourne,-37.83499607412277,144.9691812566503,g-t2Kme0IlrNO9X_hGO2Pg,14,0,14,6,20117,False,Z5yHsgPKE2Koi7FrcDFjcw
3959,2014,10,125,Melbourne,-37.81480868379012,144.9649979984334,CPdN_OItC6kMjSHuDBxrVQ,15,0,15,11,15,True,CPdN_OItC6kMjSHuDBxrVQ
1637,2018,12,74,Melbourne,-37.83882895256312,144.9996316622978,3A0b7gOlQJYa8x9HC0I4og,16,0,16,8,13390,False,zTlLAb1NTMfVKz4E3Ih08Q
1120,2014,4,213,Melbourne,-37.84394544034916,144.9706808986215,F73iJu7t_QQU_qDQqUVegA,17,0,17,8,21649,False,tCy-j8FgDpG4Wb5LJvnCHQ
4803,2018,11,82,Melbourne,-37.80628981922901,144.9333943109968,UJjqvBvIFjKed8qvffzMEw,18,0,18,9,17463,False,SCKIY_4aDHhWek521Pn06w
1502,2017,11,317,Melbourne,-37.83935157034165,144.9644715817987,2ye0VDCCi6i6WOkj4hbcRw,19,0,19,5,20652,False,hQEzHnaTdJ2gyxnbPD_f4g
4659,2016,10,315,Melbourne,-37.80779490442372,144.975777238533,MNj95rcJZQkOx-W9ZSWbuw,20,0,20,11,8586,False,JAI-QH_42uNPNPJcesG3xQ
2729,2010,1,197,Melbourne,-37.82790945654698,145.0130036120795,jIi4ONP4Kwwb7_bqixVpLA,21,0,21,7,17911,False,MHaJJTcm8AIJ_JwQ_AGbkw
4424,2009,12,31,Melbourne,-37.81098210017569,144.9401282723184,rj13xOBqW0prv55zQ17EbA,22,0,22,11,3324,False,3RZemATZfZ8MQU7ljbr9NQ
1816,2009,12,304,Melbourne,-37.83676484189084,144.9838487829788,ON6WoZQ27HGvAZuor5JXmQ,23,0,23,8,11480,False,LWw2rh-WaHlHPLQj4S2bRQ
3022,2020,12,312,Melbourne,-37.82488029855286,145.0092130217666,foXYiehk3sSxTnwb9p-mZw,24,0,24,6,7416,False,X5zDJPBp20_uVgMmaSb5iw
2586,2014,7,353,Melbourne,-37.8290618597435,144.9610512127747,DKKufED2qXZB0Gv2w7ssjg,25,0,25,11,12825,False,PEzMIe80ovN4eV26AF-Kjg
432,2014,3,358,Melbourne,-37.85145110717352,144.9673686244063,l-aGlhePO3knuuf_6TjMSg,26,0,26,7,19950,False,jskXpNBh06pM4NJsWEKB6A
4642,2019,7,134,Melbourne,-37.80771350781549,144.9656976971074,lzQz1-cdEp_-Mbw6PyqtaQ,27,0,27,12,11067,False,NTxrXJG9jaMRjzgb4o6CmQ
1897,2009,12,44,Melbourne,-37.83575952791931,144.9619742433322,eDq6AOTSER-PiA3ngqmXyg,28,0,28,8,6161,False,NFly5DXCcjIOFtf8yaG9Hg
612,2019,9,179,Melbourne,-37.8481877595507,144.9493807172333,7d01CN-1BrO1xuYv8jzHyg,29,0,29,6,3546,False,4tGy97k9Wn2UljZR0sYOKQ
1576,2014,4,279,Melbourne,-37.83877103514757,144.9386971459329,MyrQQdz7wltXE-Frw8r64w,30,0,30,8,10956,False,mEmkyOQejbvv7Jf4Q9PNOA
1509,2014,4,157,Melbourne,-37.83980596373073,144.9665190581202,m--6TuuvbvzXF-_UdxXiXQ,31,0,31,2,31,True,m--6TuuvbvzXF-_UdxXiXQ
2134,2014,3,165,Melbourne,-37.83372435763488,145.0049249587056,LAg9c8GriTwk2s3RGjqXyw,32,0,32,6,32,True,LAg9c8GriTwk2s3RGjqXyw
1494,2013,3,107,Melbourne,-37.83979953766589,144.9509765723589,GBQmEeNbci6b7pKW1DrX_Q,33,0,33,7,21640,False,3K4B1hW3aaKH7dWoBZfeVg
4479,2013,5,349,Melbourne,-37.8099403140679,144.9949364852334,ENHVrMW2adRFWAC2EO7nGQ,34,0,34,6,34,True,ENHVrMW2adRFWAC2EO7nGQ
6005,2014,4,252,Melbourne,-37.79372644462241,144.9548471804092,pr9nn1mlF53bS832T6Y4uA,35,0,35,4,23063,False,UAxqT-PCTGsF6KLMvbY6wA
