place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
54,2011,7,495,MexicoCity,19.40018951698216,-99.15612872373416,UTwvhL2hdls9GEMB5I1V5A,0,0,0,12,8769,False,HIow4mnuVCcz0EvqskCc_w
898,2015,4,658,MexicoCity,19.43801167196228,-99.16500940365508,kwnU8iiYXQR3N9iW4-jYAg,1,0,1,17,4721,False,ysY2FL_V0Jx1vD7b-FiRbg
886,2015,11,279,MexicoCity,19.43801607588788,-99.1829847276196,z4HRjhhPeCQwjv7Be2EUTg,2,0,2,14,1352,False,svdbRHac72MplqdLHUQyUQ
223,2014,3,256,MexicoCity,19.40805855166528,-99.15723973488598,wk77FqEViPeUGbvQnRc0Ug,3,0,3,12,6682,False,RAxDNNPBxxpsNxmPL0eyQQ
535,2014,7,357,MexicoCity,19.42137587975221,-99.14858827502896,wW0sUkSO1JOn-lytndhsVg,4,0,4,16,5809,False,CmB2eDscfV28vBy5zXPVWA
902,2008,10,364,MexicoCity,19.4379359621656,-99.15912729440052,Pxg5fzYfEF_hWf-_m1ivSg,5,0,5,17,9254,False,Mu69akwIll9p0BPJ6iWTiA
680,2015,7,173,MexicoCity,19.42905165377764,-99.1858183657626,fPFYDhXwZEaWoK0bym3sRw,6,0,6,16,10565,False,UyFyF2eEj1GQyJWzUF1MOg
768,2015,7,392,MexicoCity,19.43223692277421,-99.15621285567582,vxsJocEJeMxZzY-9X3Sepw,7,0,7,16,2514,False,yAiboeVRp6UZOE0sgXvu2Q
158,2009,7,525,MexicoCity,19.40415413312848,-99.15312923229148,3rewqRK9yinsLPHlnZ3_qg,8,0,8,26,7859,False,AvW_BtFR8kYOyI504Of2lQ
863,2011,10,440,MexicoCity,19.43641632240047,-99.16663564855796,5CwGD28ZmB4VXRRLD9BPhg,9,0,9,18,6184,False,oaQX5y5r_PYP6bua-t9hhg
462,2015,4,282,MexicoCity,19.41821433080481,-99.15605339596333,a3ejmNfA-rIuuTb5MvmtFA,10,0,10,12,1538,False,IlRF6ZLsADdohntZg8cQmQ
43,2011,7,381,MexicoCity,19.40059045183967,-99.17255489555777,4dKYCai0XlRsazEK6SKprw,11,0,11,15,3511,False,8vHr-M-rBJ6OzGX9-b4NQQ
258,2014,7,451,MexicoCity,19.40934902005642,-99.15505308610774,2btrohB90pEpyQasajIV0w,12,0,12,36,1984,False,ycQhl9M_GWop029eXPm3GQ
141,2014,9,381,MexicoCity,19.40496907991688,-99.17729649857704,xYI_J8DrbCNoS8uspKd0tQ,13,0,13,16,725,False,TF2SVVpkMEz3N8dymprhXQ
491,2014,10,378,MexicoCity,19.42008377050973,-99.16393844902478,ytW5g-6w5Ywau7m-Vk49Dw,14,0,14,16,7034,False,HRFsKZElz-FjZRHpnUGbIw
86,2011,3,527,MexicoCity,19.40197272715903,-99.15912524281138,cyJ27DCg4dLiN0W8EIMtuQ,15,0,15,13,11881,False,zK9mgGSYQRB1EcNoFP_Wmw
880,2008,11,562,MexicoCity,19.43622034678554,-99.14118047638934,SFnWPHkJhESVD5OgrR7CSA,16,0,16,24,9642,False,HDdqAkzywDKHBY3rbQoqbg
83,2017,1,388,MexicoCity,19.40188270894368,-99.16354218141863,fZdZiinNIGRk3_2-tJk2Kw,17,0,17,31,17,True,fZdZiinNIGRk3_2-tJk2Kw
840,2019,10,488,MexicoCity,19.43484718090462,-99.1499949171019,0RMwI1uMh9apOcLI0TAcEg,18,0,18,26,18,True,0RMwI1uMh9apOcLI0TAcEg
262,2009,4,253,MexicoCity,19.40941990926569,-99.14868186845324,AhRvFk_QCv8qRYpVAwJ2cw,19,0,19,5,3157,False,MRutR1PkC36XGFhyi8qL2w
148,2016,2,135,MexicoCity,19.40489344955396,-99.16806107833072,NL5PpZEZF6Ry2OcSe0qZKA,20,0,20,11,6399,False,4l35jLaaECixGhgDhSNRVg
182,2015,7,238,MexicoCity,19.40652039871011,-99.16824374012678,sE0vzXAgAWIZp9G_MnloCg,21,0,21,23,6504,False,XcaCSsOc3Khyi2Hw2LFdQw
781,2019,4,266,MexicoCity,19.43191696807004,-99.13647992023796,hHeCAL1pH-gBIX3w0ONSmQ,22,0,22,14,10935,False,guykg-ETWx4RimnUW4BAzQ
671,2014,5,464,MexicoCity,19.4272967944707,-99.14863405364314,5mWw_qC5jkipa9wG-us2NQ,23,0,23,18,225,False,wbiqt8EnrKxzBZ-mdg5HOw
371,2014,3,344,MexicoCity,19.41396807689745,-99.13962413325665,vfJOl6S70SUkr7tg3VsPow,24,0,24,17,10435,False,dkfDKhlJEJ-3zgJXbsxN8w
120,2019,9,418,MexicoCity,19.40346582238735,-99.15908584130948,X2uVgR9DV3uS6yCtbZgJXw,25,0,25,27,5422,False,1Dx5jP65mhGRWXQN-F_6-A
55,2014,10,697,MexicoCity,19.40043595597621,-99.15487450888348,SsifiibXzOkJPnIHfWJV6g,26,0,26,12,26,True,SsifiibXzOkJPnIHfWJV6g
828,2015,4,197,MexicoCity,19.43487726591312,-99.16787212598337,04FHZwCrlNS5NAk-3BBKXA,27,0,27,15,6067,False,cu2LKk1EA__qGrxZ4QhX-Q
297,2015,1,403,MexicoCity,19.41115354770367,-99.14849441776909,uLD_HVhCnTxmVZAaciVt7w,28,0,28,12,9388,False,dmks9ijybVsrStdMU1e8Sw
741,2017,9,335,MexicoCity,19.43048409349646,-99.14554057986985,erIp0B8o6jtSAQ6ph6YimA,29,0,29,16,4313,False,zH9fE-65u8d73clUOFxvyA
