place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
4528,2019,2,120,Miami,25.76678162055698,-80.28007325450142,y4cVCUUvXDlV_jZqBw3V6g,0,0,0,6,37554,False,9ltr6EstmRe4krp8RJPO5Q
5733,2014,1,69,Miami,25.77559173621972,-80.19534794806249,ka1u1RJsMYigXGE2NQuCTQ,1,0,1,8,2917,False,ZjgMybH6nGoHFbFaDhmhww
1208,2011,3,287,Miami,25.73987876027585,-80.22086752869407,zQTkACKrV9t2i1sOla42dg,2,0,2,7,2,True,zQTkACKrV9t2i1sOla42dg
4868,2017,1,200,Miami,25.76879139396684,-80.18995313769791,2XNUAEW9IU62FuDB96BUrQ,3,0,3,9,43084,False,oPAwWk8lj1mPEU-KtP8_Pg
3946,2014,3,104,Miami,25.76160626169979,-80.23496171387572,FGdE4Da0lWEqTm0VX5mqzg,4,0,4,4,7616,False,M_tg_68Kkneg-AGsn2Jq8Q
5842,2015,4,244,Miami,25.77683067441757,-80.2164263322404,LgdmgjNRX20vzKIFvQZDmA,5,0,5,4,5,True,LgdmgjNRX20vzKIFvQZDmA
4512,2007,11,282,Miami,25.76685503544887,-80.2930674798599,iloL3ntpw0zaLlSDHYO9RQ,6,0,6,3,17048,False,N9zgT0PcBbqjhTDLPDuWDw
7563,2011,3,242,Miami,25.79093299510374,-80.24118034443224,ybJvcBzvI0TVAUSAzy3E-A,7,0,7,4,37397,False,rvem7wJ2E-uQ5pH1_vaYRg
2063,2019,2,356,Miami,25.74679356477415,-80.23803879117477,C9yVyRM96eeXu7RuwPTvIQ,8,0,8,12,11888,False,Kpq5owUexChJcVW-5Ag-rg
7277,2019,1,55,Miami,25.78578681987678,-80.27873678172222,O0Q4c_n9gXDg_xE02GvnzA,9,0,9,6,19000,False,mea3cenjl0VBK7KvReR9vw
6677,2015,10,14,Miami,25.7838136456362,-80.252252397529,5ijBiuP-T2Kjvm3BcZqoUw,10,0,10,5,28523,False,X-rw9pkwhY5teskwTV8bWA
4232,2014,4,13,Miami,25.76385806223234,-80.20003537498874,mgVDSh5q2Z6FDp6ITHMGzQ,11,0,11,16,22118,False,JOqQEDYzEuM8gZSKZHISyw
4177,2011,3,68,Miami,25.76377151000996,-80.24992603676465,nKT7LBNpp4HiMuAwnwzgyw,12,0,12,8,26877,False,HsawfeoQ08WFU_8damfb6w
4753,2011,3,148,Miami,25.76886068541821,-80.30010197221486,MdQaMRpFL_qNRxF59sNkZA,13,0,13,5,5988,False,i1hocq1mR1xzynMfbUYvjw
5302,2018,3,28,Miami,25.77256193123888,-80.25500894149036,2IxoJ2SEU5sFdqdggA4ejg,14,0,14,5,6603,False,EdACTCjKYOQp8Zdswqn0LA
4951,2007,11,350,Miami,25.76966147656665,-80.22703211428804,DwNKhQQBZoElagdRb7rEhQ,15,0,15,8,370,False,xcPhamEcZ01gGVh8sjguuA
4381,2015,10,108,Miami,25.76584626802089,-80.30101713005791,Xla9giNDcoFDig7RqdyhZg,16,0,16,6,30935,False,OQwWWkpbgHaiAu-CnF5MwA
6074,2018,5,316,Miami,25.77887173274218,-80.2300038805138,RBOURXHFWRq2nIFob_cHww,17,0,17,1,17,True,RBOURXHFWRq2nIFob_cHww
1711,2014,3,55,Miami,25.74365814814348,-80.21786164974944,DTwLhG-XuAqGdvNpQU-R-Q,18,0,18,7,11927,False,imBfgT4akxOxVUCfCxmV4Q
8197,2019,4,185,Miami,25.79581763806853,-80.23160574025027,CRINZgcM16jxp6VBKc8QFw,19,0,19,7,37578,False,XCONJMKGs8AaMBEM_HpXcQ
4978,2015,5,140,Miami,25.76981168845389,-80.20001472630462,ReOXJH9ovtr_lKXJ2RfYyQ,20,0,20,11,12046,False,WU3n6ICwWZSVqo-O54yMQg
5352,2014,4,86,Miami,25.77285007179871,-80.20406097050738,oxU-zLqQcYmIjGqBhsDUpg,21,0,21,13,35362,False,35m90_w3NQMUja0qw2VTaQ
2277,2019,2,306,Miami,25.74888784146889,-80.27199677411747,HRzo71MhvLO9YePY4AZshw,22,0,22,6,22,True,HRzo71MhvLO9YePY4AZshw
6360,2020,3,230,Miami,25.78087567326805,-80.19388638786816,GStM2qxdLPAlQ-Hbg5DXVQ,23,0,23,12,41112,False,CtQ3xIxUkwDMxlGsHZQEKQ
3366,2014,4,296,Miami,25.75695413712871,-80.19012083934159,wg4ZBNBiyEQPoL05I6tIqQ,24,0,24,36,10885,False,76wDqovbM97onuPE7rX5UA
571,2019,3,323,Miami,25.73492475475944,-80.23311107375258,fweMRZPJ1CFEqBZ2JXhsdg,25,0,25,9,15315,False,T91t5CxtIppMVNn2-6_G0w
2541,2009,6,50,Miami,25.75091338767607,-80.26600888358709,6BIdBxQ1jpik8uGPRCU4nA,26,0,26,7,26,True,6BIdBxQ1jpik8uGPRCU4nA
3828,2009,5,113,Miami,25.76044768338873,-80.23100714363187,sTEGhdWqIfAyesTnRy_leQ,27,0,27,5,14930,False,wf7c7dei20Xe5r3Ics_9Dw
2303,2018,3,158,Miami,25.74885479360947,-80.2463324998995,rSGa6CR0c4Oj0zG80O90xQ,28,0,28,7,37830,False,DHwqIcgNsQAkfUPbaicqFQ
6844,2011,4,133,Miami,25.78467337273734,-80.21015954334571,guoGMVI9AGgFM7QQHILYSg,29,0,29,9,27458,False,GGK0u0FhfvyzxYWRyew28A
3753,2011,3,279,Miami,25.76080423328799,-80.29909697919139,bLTz5YM6xldVrjAY-PBa2Q,30,0,30,7,33518,False,oxzUt-5fe1BZZSKrFI3bJQ
3276,2009,6,346,Miami,25.75722082027898,-80.27206064272214,sj_oWejR_onZ80zptvRzwg,31,0,31,3,36891,False,09FTLMK7SYa3879Exbd_VA
2018,2013,6,14,Miami,25.74671762287258,-80.28303347374872,EYLZqqWSi1FNiU1an-EK3Q,32,0,32,5,32,True,EYLZqqWSi1FNiU1an-EK3Q
6130,2018,5,157,Miami,25.77972985988983,-80.29769862747452,JcFBxXXLozMNuv5PecMA7A,33,0,33,7,38281,False,RY72np9hnLur6jB-Xdm5ug
3781,2009,6,89,Miami,25.76085314619439,-80.2732297315236,6cdPq7ff7maiboKRXQS53Q,34,0,34,2,34,True,6cdPq7ff7maiboKRXQS53Q
