place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
1208,2011,3,287,Miami,25.73987876027585,-80.22086752869407,zQTkACKrV9t2i1sOla42dg,2,0,2,7,2,True,zQTkACKrV9t2i1sOla42dg
5842,2015,4,244,Miami,25.77683067441757,-80.2164263322404,LgdmgjNRX20vzKIFvQZDmA,5,0,5,4,5,True,LgdmgjNRX20vzKIFvQZDmA
6074,2018,5,316,Miami,25.77887173274218,-80.2300038805138,RBOURXHFWRq2nIFob_cHww,17,0,17,1,17,True,RBOURXHFWRq2nIFob_cHww
2277,2019,2,306,Miami,25.74888784146889,-80.27199677411747,HRzo71MhvLO9YePY4AZshw,22,0,22,6,22,True,HRzo71MhvLO9YePY4AZshw
2541,2009,6,50,Miami,25.75091338767607,-80.26600888358709,6BIdBxQ1jpik8uGPRCU4nA,26,0,26,7,26,True,6BIdBxQ1jpik8uGPRCU4nA
2018,2013,6,14,Miami,25.74671762287258,-80.28303347374872,EYLZqqWSi1FNiU1an-EK3Q,32,0,32,5,32,True,EYLZqqWSi1FNiU1an-EK3Q
3781,2009,6,89,Miami,25.76085314619439,-80.2732297315236,6cdPq7ff7maiboKRXQS53Q,34,0,34,2,34,True,6cdPq7ff7maiboKRXQS53Q
1216,2015,10,336,Miami,25.73946869600224,-80.21275830700797,CWKHRmv3A-8zId9i8DeX9A,35,0,35,7,35,True,CWKHRmv3A-8zId9i8DeX9A
5662,2007,12,157,Miami,25.77586309080041,-80.27186615657601,Qm-xw2lJAVHRkuCNz0T4kA,38,0,38,4,38,True,Qm-xw2lJAVHRkuCNz0T4kA
6419,2016,6,118,Miami,25.78183966082113,-80.25990273491573,Ran99GaTgEw_xdQC3SIfIw,40,0,40,7,40,True,Ran99GaTgEw_xdQC3SIfIw
7826,2007,12,303,Miami,25.79285990587208,-80.22819728346542,iCSvnK2tEaz5WhTBhkfIzg,53,0,53,4,53,True,iCSvnK2tEaz5WhTBhkfIzg
146,2014,2,109,Miami,25.73172832145352,-80.28301643683035,sVrujAanKv7ZB9yNMv6GlQ,54,0,54,4,54,True,sVrujAanKv7ZB9yNMv6GlQ
7857,2008,12,321,Miami,25.79282940885138,-80.19879159663633,ag3oAxBbywih122oDbmC7A,62,0,62,1,62,True,ag3oAxBbywih122oDbmC7A
3354,2009,5,283,Miami,25.75693132857873,-80.20309085157018,WGRun2wS1lPCgEiGZEVRDQ,63,0,63,6,63,True,WGRun2wS1lPCgEiGZEVRDQ
6292,2007,12,271,Miami,25.78081150633754,-80.26198059917662,Bwv7pqCAk-ozkBImsLgZhQ,65,0,65,5,65,True,Bwv7pqCAk-ozkBImsLgZhQ
6801,2011,3,96,Miami,25.78482291964783,-80.25295236534697,d0mTSW4kSIewbzT4MsYFCw,67,0,67,1,67,True,d0mTSW4kSIewbzT4MsYFCw
639,2008,1,196,Miami,25.73581955901653,-80.2898607492594,lFt72FOSKYH0pQiLZRbjug,71,0,71,5,71,True,lFt72FOSKYH0pQiLZRbjug
6348,2011,4,44,Miami,25.78052881621014,-80.20595585483674,ED-L7RW8rj3EE8kJ6JWj-Q,74,0,74,2,74,True,ED-L7RW8rj3EE8kJ6JWj-Q
5770,2018,5,82,Miami,25.77704968040223,-80.27901741508789,m-S4Egy62FWpV1ehs6OoaA,81,0,81,2,81,True,m-S4Egy62FWpV1ehs6OoaA
1636,2019,2,68,Miami,25.74375054607616,-80.29302915974417,JsVf0ADl8znE3K-T80gXMA,82,0,82,4,82,True,JsVf0ADl8znE3K-T80gXMA
1768,2014,2,354,Miami,25.74479602512938,-80.28594016856289,XI65yfOrsz_jzozgvqC3Og,92,0,92,4,92,True,XI65yfOrsz_jzozgvqC3Og
4204,2013,5,122,Miami,25.76399279144028,-80.22506418726431,_u-cqnpcP4EX2euTcXVzvQ,93,0,93,2,93,True,_u-cqnpcP4EX2euTcXVzvQ
2324,2014,3,236,Miami,25.74884517387608,-80.22596230926519,1prYoAXp4NzD6oJWKKsIqw,97,0,97,2,97,True,1prYoAXp4NzD6oJWKKsIqw
3669,2009,6,16,Miami,25.75985755921993,-80.25707348774347,2R6oTDaT4Dd5uOgSCIbVXA,105,0,105,1,105,True,2R6oTDaT4Dd5uOgSCIbVXA
4103,2009,6,304,Miami,25.76285082492833,-80.19898917557289,6dccmPNAp2AeJruiayNcPg,108,0,108,6,108,True,6dccmPNAp2AeJruiayNcPg
6542,2016,7,86,Miami,25.78248582456295,-80.26199326235496,cJGTh87Oibouh6TTcFr8qg,111,0,111,2,111,True,cJGTh87Oibouh6TTcFr8qg
