place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
4781,2019,6,166,Minneapolis,44.99052390697258,-93.25456768161754,Smf_9jeWcDi4K2mpMubkcg,0,0,0,4,0,True,Smf_9jeWcDi4K2mpMubkcg
4685,2019,6,86,Minneapolis,44.98918174249314,-93.25287870473568,q4czdRgq3RodNjUPa0Blwg,3,0,3,5,3,True,q4czdRgq3RodNjUPa0Blwg
1009,2014,10,239,Minneapolis,44.94926848995898,-93.2906671787434,-cppijHLON4FUDHKpoZn0Q,5,0,5,3,5,True,-cppijHLON4FUDHKpoZn0Q
4248,2015,10,249,Minneapolis,44.98439048856546,-93.23901337921652,vU61Q_N73VAZF6agc4VZaw,6,0,6,6,6,True,vU61Q_N73VAZF6agc4VZaw
2102,2011,9,185,Minneapolis,44.96130763855236,-93.29057651164482,sYJ6Fz_2ZbhNhrxmzwmIEA,7,0,7,4,7,True,sYJ6Fz_2ZbhNhrxmzwmIEA
358,2014,8,39,Minneapolis,44.94131655991396,-93.21403669409534,xI0zfoq2ZwBGIF_Z78zDfw,8,0,8,2,8,True,xI0zfoq2ZwBGIF_Z78zDfw
3693,2019,7,66,Minneapolis,44.97824816180038,-93.24498090962118,HI70EehYBqVdLNiGFlbeMw,17,0,17,5,17,True,HI70EehYBqVdLNiGFlbeMw
3173,2009,7,274,Minneapolis,44.97243228921205,-93.22036775651767,U0eIpI9swEZ-CXo6XMKGmA,18,0,18,4,18,True,U0eIpI9swEZ-CXo6XMKGmA
4715,2014,9,306,Minneapolis,44.98933625870402,-93.22697212790958,cMaXsrvlKfcDJfFT5qadwA,20,0,20,4,20,True,cMaXsrvlKfcDJfFT5qadwA
2951,2017,11,225,Minneapolis,44.97042306003033,-93.25998674165125,PjEHQAJr5grs-SC2M66aAA,26,0,26,11,26,True,PjEHQAJr5grs-SC2M66aAA
799,2007,7,223,Minneapolis,44.9462533372855,-93.2284358928011,_2P63tmuPguunUfq2afUIQ,28,0,28,3,28,True,_2P63tmuPguunUfq2afUIQ
935,2014,10,236,Minneapolis,44.94830617024216,-93.2740816192468,eR0ihsTt5Yrpjdb57eTtkg,29,0,29,4,29,True,eR0ihsTt5Yrpjdb57eTtkg
813,2014,8,315,Minneapolis,44.94627846401627,-93.21402079571922,ItrL4IA3zHPmP1rP4JG6UQ,30,0,30,2,30,True,ItrL4IA3zHPmP1rP4JG6UQ
4345,2014,9,40,Minneapolis,44.98536461983505,-93.22809522097272,cZHK6OEuwCzkMRiIo7jhjQ,32,0,32,3,32,True,cZHK6OEuwCzkMRiIo7jhjQ
197,2011,6,112,Minneapolis,44.94029607330728,-93.28433181750025,Hhg_iNn6tLc5EXL8By9BBA,34,0,34,5,34,True,Hhg_iNn6tLc5EXL8By9BBA
4506,2011,6,305,Minneapolis,44.98729907911574,-93.24898398674064,IfuAUiyZYxGzUnGi6fvDNw,37,0,37,6,37,True,IfuAUiyZYxGzUnGi6fvDNw
1943,2011,9,62,Minneapolis,44.95909212094909,-93.26708484008176,DJwusfrIF-18mmWa0WwsCg,41,0,41,2,41,True,DJwusfrIF-18mmWa0WwsCg
4405,2009,6,162,Minneapolis,44.98621806261103,-93.26326460472347,yhAMo2IDABHdWvkNv4Ndww,42,0,42,3,42,True,yhAMo2IDABHdWvkNv4Ndww
3,2019,5,267,Minneapolis,44.93837285025481,-93.29586539811945,UwyLFeir44Hmc79Ql05Nbw,44,0,44,4,44,True,UwyLFeir44Hmc79Ql05Nbw
626,2019,6,196,Minneapolis,44.94429435541548,-93.21786172057864,Sp1KoDQ9mqdg-c7sd4yvzA,45,0,45,1,45,True,Sp1KoDQ9mqdg-c7sd4yvzA
224,2007,7,40,Minneapolis,44.93958086638358,-93.25720150112204,UV_Ztm8FWd2HsxzbVYX8sA,49,0,49,3,49,True,UV_Ztm8FWd2HsxzbVYX8sA
1183,2016,11,24,Minneapolis,44.95125302664166,-93.29829844875565,1HPMfr7R7aP9tnypg90bzw,54,0,54,2,54,True,1HPMfr7R7aP9tnypg90bzw
1504,2011,7,348,Minneapolis,44.95427980605125,-93.25121995081398,mSEO8eVf1kfYIcDFKMhgCw,58,0,58,3,58,True,mSEO8eVf1kfYIcDFKMhgCw
