place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
182,2019,4,392,OSL,59.90199302467877,10.78855501058088,FYLW2ccGebVvma5dXaAqyw,0,0,0,4,0,True,FYLW2ccGebVvma5dXaAqyw
984,2009,6,201,OSL,59.91705762468704,10.73523588584788,EHaeMiAau2wBdfwNnfEFzA,1,0,1,2,1,True,EHaeMiAau2wBdfwNnfEFzA
2099,2009,6,474,OSL,59.92816775075238,10.70877092203483,tCocOG0v4o3gnikiJiIyoQ,2,0,2,4,4661,False,z3gOIgI4RD1aO4ggkeLfEQ
3034,2018,12,580,OSL,59.93683732900742,10.78272369748873,XQpnKqsBX_MSULTejPSXng,3,0,3,7,2581,False,8e-fm1KWhyCJQO8aw02DJg
1907,2017,5,412,OSL,59.92619090302811,10.71304387763877,kBxIk2262NgFBURvL3mzbw,4,0,4,5,4,True,kBxIk2262NgFBURvL3mzbw
1145,2014,5,600,OSL,59.91925468407075,10.69954197240964,whdhBaaNtCmgU0sJb7CNfg,5,0,5,7,7989,False,12RkWNirm2M4GDJW2YWvug
1363,2017,5,494,OSL,59.92111348933181,10.70923062002881,10A640gPrgkHz13qVvpyJw,6,0,6,4,7396,False,U3TdSqFjSLhklPwipKRi-g
2676,2009,7,197,OSL,59.93408983560316,10.69951717031855,ChPikkge9IcBPVa7gUr_MQ,7,0,7,7,1165,False,D40URiuSUVhmIWgwQVg5Mg
1840,2012,10,148,OSL,59.92496276499963,10.75032118528423,5s6s8Q_q-3qDxbSHhxvhdQ,8,0,8,8,6693,False,wRyEFu0t8otK1hX611U2LA
864,2019,6,437,OSL,59.91602599429865,10.65138846929693,K9miWZXbV_Dl7UhddDbqxw,9,0,9,11,1543,False,NSjZiYoP1blUmxJ3HOz-kw
4081,2017,5,134,OSL,59.94893275752663,10.69277452850357,P0fMVKk1vsXbmyXoUj6HNw,10,0,10,3,8241,False,ZAv0p7aBx04Ko99bXtc7iw
4111,2019,9,590,OSL,59.94898430120059,10.75012861400021,iLrtie_FSvA9o900dcrtjQ,11,0,11,6,5088,False,E7wDbPRUx7IaPccNadkWGg
4148,2019,10,504,OSL,59.95012095373684,10.65665196029634,yDn95KAr0WekzVqnCsQlVQ,12,0,12,2,12,True,yDn95KAr0WekzVqnCsQlVQ
1236,2014,6,36,OSL,59.92001459779114,10.69139560518315,3nFL_wGuGlEjaVuQvxCu3g,13,0,13,1,13,True,3nFL_wGuGlEjaVuQvxCu3g
4324,2018,12,384,OSL,59.95098244177372,10.77627994809907,Sg8WEZS3NFacJ2khs9mydw,14,0,14,11,7867,False,51kFA_IksWKO_ZAZFMV9Gw
1848,2014,5,674,OSL,59.92490845449921,10.76325977395176,ryOGJYDcooTx0h95eonZhQ,15,0,15,5,1908,False,zL6BsPA_a3oSXyi02I-Z1w
2832,2018,12,214,OSL,59.93491288228479,10.76526997819626,pfOtn8eUbxImZF3VtsG0SA,16,0,16,2,16,True,pfOtn8eUbxImZF3VtsG0SA
3921,2009,6,503,OSL,59.94692002019747,10.7348347808725,uaN-62WCzubRqzG6_T8Zjw,17,0,17,3,2487,False,LQr7NJ7hSBQVmQ3Uqd_0og
2711,2019,9,311,OSL,59.9341461995668,10.75054228287346,0_0xQJO1OevFh05xtKovWQ,18,0,18,5,7969,False,f1fDeP90hf4z_Ri4F1o98g
1276,2014,8,474,OSL,59.92029901184718,10.73472634585273,dS7tLOCYbyFFSO9tIkSn-g,19,0,19,4,19,True,dS7tLOCYbyFFSO9tIkSn-g
1274,2009,6,440,OSL,59.92003898540866,10.73234088100674,mecoWSiVRrhXCGVQg9nKIA,20,0,20,1,20,True,mecoWSiVRrhXCGVQg9nKIA
4215,2019,10,298,OSL,59.95011331811655,10.76088990202026,6UagpLx9jb6auWI5EHveaw,21,0,21,11,1973,False,8afq9PbQsqxJ9IjWYlKGTg
4065,2009,5,635,OSL,59.9490522646897,10.66608806557433,7eE6GrQTCrZpdw5JeCrU4A,22,0,22,7,6410,False,CtAIGcQdnfa6BDapUx_jKQ
805,2018,12,242,OSL,59.91512886768951,10.70606958414802,FFDYF74D13taVnm2qOrsOQ,23,0,23,1,23,True,FFDYF74D13taVnm2qOrsOQ
2778,2019,9,604,OSL,59.9348660713806,10.69535873280546,KoW6vISUD0WbnoOdLqmo-A,24,0,24,9,7096,False,IFowYR_twWY84oCI7umIUQ
2104,2018,12,571,OSL,59.9281505989102,10.71617699557958,aS1lfIVWCRs-VAFVObfpMQ,25,0,25,3,7155,False,L0HIiJm7kF7FoLWrKdAC0A
4616,2009,5,227,OSL,59.95408293178943,10.79235419121245,ewGNkky9F9UMQBn39KqNDA,26,0,26,5,26,True,ewGNkky9F9UMQBn39KqNDA
823,2009,6,100,OSL,59.91518821096121,10.72843925102379,R_DIBCXNNJVHg7sKUXUaBA,27,0,27,6,1246,False,LfondmuRJZ7TmEvN5sbwzg
421,2009,7,173,OSL,59.9090492296142,10.74435045649767,4wXUgE4oZWCfuiMLjK_NyA,28,0,28,4,28,True,4wXUgE4oZWCfuiMLjK_NyA
1910,2018,12,161,OSL,59.92630917259905,10.71800943599489,hWj-0V-AduzMKesQ4TIuxQ,29,0,29,2,29,True,hWj-0V-AduzMKesQ4TIuxQ
486,2017,5,454,OSL,59.91013100908756,10.75688291493151,OQzFVLgJ9PMMh1uMccxbgw,30,0,30,2,30,True,OQzFVLgJ9PMMh1uMccxbgw
1502,2009,7,431,OSL,59.92207241746853,10.73735425258875,7AKqpzNaVN7krt8TTfXHAg,31,0,31,2,31,True,7AKqpzNaVN7krt8TTfXHAg
3621,2019,9,330,OSL,59.94418467877771,10.70305570712737,V9OUvP8rmu1TKe7VCtS3BA,32,0,32,11,4044,False,ReJObIV1-nN4aB1th6bucg
3719,2019,9,365,OSL,59.94498392415274,10.71145783484056,j0Yz0hU5xR1SVrO-wXPBYQ,33,0,33,5,1199,False,_PL1XYhrW7qccVAqiO3FAA
2433,2017,5,517,OSL,59.93106253929734,10.77842757504822,nH5G35j1DWJr03hejvVf2w,34,0,34,8,832,False,1XStH1EWgp-O3-y40KD3UA
4574,2019,6,388,OSL,59.95389926135454,10.74032222158456,GsgBq_LMKIDJya0uE92SuA,35,0,35,4,1291,False,ILTNofsaIqPM3XyJjpMfmQ
849,2014,8,470,OSL,59.91500061088779,10.76829055621191,RS0-Olv_O-PAMrWsWLGpvQ,36,0,36,5,5260,False,k0MwtcQda26Nk9sQY1mbJg
4573,2019,6,199,OSL,59.95410459764371,10.73950883918465,MZa2m9Q3JxxuuilSXvBxrQ,37,0,37,4,8708,False,1CxKzkupMsS1xpZ8p0dt3w
791,2018,12,398,OSL,59.91529584905415,10.65142645254075,y1g7GNufDvNh0E0xfCvKLA,38,0,38,9,4640,False,DaE8JdJYR7VmGhjf2K1Z2w
512,2009,4,305,OSL,59.91002348408826,10.79341623440066,IZFdWYpMhNvqaQW_5L_BJg,39,0,39,8,39,True,IZFdWYpMhNvqaQW_5L_BJg
3933,2017,5,466,OSL,59.94703217642846,10.74936943581773,VtK9Uwiiw4KfDuSC3R2BHQ,40,0,40,2,40,True,VtK9Uwiiw4KfDuSC3R2BHQ
4873,2009,5,504,OSL,59.95800832919684,10.69472650834024,PiE8Xrp_B74ZUcfdmIKJyA,41,0,41,1,41,True,PiE8Xrp_B74ZUcfdmIKJyA
1178,2019,9,360,OSL,59.91898397693183,10.74233143349621,0CzSkm40myvTBorwuylvPQ,42,0,42,3,42,True,0CzSkm40myvTBorwuylvPQ
950,2019,9,611,OSL,59.91700280824466,10.68686987289447,Tzws_2W6HKivBjB4A0pGkw,43,0,43,7,1606,False,phR6Cdm-e7JzZlY_sgVn-g
2168,2018,12,223,OSL,59.92876259401485,10.65043745876582,thoCyDpiJy_tqh0QLWurcA,44,0,44,5,9723,False,je63Pg4iua3MejkokIDowg
1456,2018,12,550,OSL,59.9220018268111,10.68336798389048,BLkOou5IfvfCnYK7KhOpGg,45,0,45,8,1396,False,yZpYpz2Qo8qAhoektC1bgg
3123,2019,8,495,OSL,59.93831256182369,10.77184478579826,XVfy1mS-Gv8Hr-CRnmJqXA,46,0,46,4,1747,False,dGmUw4nts2fgI3WGsO0iyg
1147,2009,7,374,OSL,59.91900291680224,10.70137062588809,g2wh-3p-s6DCQUt7-OTv1Q,47,0,47,2,47,True,g2wh-3p-s6DCQUt7-OTv1Q
833,2017,5,478,OSL,59.91522042678044,10.74263252785458,pI2oIqElwpwCrRWUblvAmg,48,0,48,5,5033,False,E-SQggQuR4qk4-A4cSE3xw
2385,2018,12,225,OSL,59.9311725146104,10.71373129947782,AwTznn8FSATtwErIiPvPTw,49,0,49,6,5887,False,AXgfbjTlZDHjFyRnQLAVvw
2771,2009,6,208,OSL,59.93520956608618,10.68714371140088,GwZkGjp_U_1vUUq9VwFv0w,50,0,50,2,50,True,GwZkGjp_U_1vUUq9VwFv0w
4696,2019,6,100,OSL,59.95597015128824,10.64315188891157,zI5m2oWofOzdHFPv7DJetQ,51,0,51,2,51,True,zI5m2oWofOzdHFPv7DJetQ
3212,2017,5,170,OSL,59.93893214954259,10.76298433843027,qix8onXt7jfoMfgsYw-UOQ,52,0,52,4,52,True,qix8onXt7jfoMfgsYw-UOQ
2942,2009,6,37,OSL,59.93604205529323,10.78435028256334,lB9pfwjwDMJzUJwj5kq9QA,53,0,53,2,53,True,lB9pfwjwDMJzUJwj5kq9QA
3288,2014,5,359,OSL,59.93998449629711,10.73245375233519,QGPBx6gRYpVgkcVJtzPKUw,54,0,54,3,6299,False,2eTmNQITMqM8Mik0vKlYVQ
2329,2009,6,270,OSL,59.93009321827638,10.7672894590044,0eZK5RpRvOT3uihiGZdlQw,55,0,55,6,7192,False,wqkY9ErQ0KPscg6fwCI6NQ
2047,2017,5,221,OSL,59.92699323456617,10.7611280113505,41xZo2JyYwOY8vIHAagegw,56,0,56,5,56,True,41xZo2JyYwOY8vIHAagegw
3120,2017,5,311,OSL,59.93807966489494,10.7679855557211,J3OcRWnVnI6syoVY4Xnp6Q,57,0,57,6,1299,False,cCuF9IVjlk1wkEw41QJOwg
2522,2009,6,465,OSL,59.93195158267195,10.75994892789178,STEnlDc-HCW1dG7M1gMLzw,58,0,58,4,4394,False,tPMCvQkyeAR_TQvl_vo0uA
769,2019,9,565,OSL,59.91404187581151,10.76546039988413,O7RgWZl_ZS6fNIy4kjR_EQ,59,0,59,4,2609,False,oN1e2o2ai-c3ePdrx3tbBg
1003,2016,5,699,OSL,59.91707991176091,10.76232655011619,QS-HKsLbQnmA64lUkXqzBQ,60,0,60,5,6174,False,EoNPN--6mr6nN6IMs7hvJQ
4125,2014,5,533,OSL,59.94902853432115,10.76740353151184,WwtpYeRdUQ2QslBYjb54xg,61,0,61,6,6098,False,OgxmJQEoO5Kj5Wag2kBF3Q
3993,2019,10,427,OSL,59.94795228226685,10.70362206563732,xkXXxOzHMYpF3ifnIxmngw,62,0,62,2,62,True,xkXXxOzHMYpF3ifnIxmngw
1717,2019,9,450,OSL,59.92404282349209,10.72838904383845,Dg_sHDWaK3ErE1fM4nXz3w,63,0,63,4,63,True,Dg_sHDWaK3ErE1fM4nXz3w
3246,2018,12,240,OSL,59.94002532134166,10.68191087604777,UxRtIhw_9_j1R-VCOy2Pbg,64,0,64,6,84,False,xFYBdNV73TbZbQFnb1N21w
4395,2016,5,113,OSL,59.95203383963019,10.75070763938852,CGDbza4UiZ0Gq4TZ4DDE1A,65,0,65,3,65,True,CGDbza4UiZ0Gq4TZ4DDE1A
