place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
182,2019,4,392,OSL,59.90199302467877,10.78855501058088,FYLW2ccGebVvma5dXaAqyw,0,0,0,4,0,True,FYLW2ccGebVvma5dXaAqyw
984,2009,6,201,OSL,59.91705762468704,10.73523588584788,EHaeMiAau2wBdfwNnfEFzA,1,0,1,2,1,True,EHaeMiAau2wBdfwNnfEFzA
1907,2017,5,412,OSL,59.92619090302811,10.71304387763877,kBxIk2262NgFBURvL3mzbw,4,0,4,5,4,True,kBxIk2262NgFBURvL3mzbw
4148,2019,10,504,OSL,59.95012095373684,10.65665196029634,yDn95KAr0WekzVqnCsQlVQ,12,0,12,2,12,True,yDn95KAr0WekzVqnCsQlVQ
1236,2014,6,36,OSL,59.92001459779114,10.69139560518315,3nFL_wGuGlEjaVuQvxCu3g,13,0,13,1,13,True,3nFL_wGuGlEjaVuQvxCu3g
2832,2018,12,214,OSL,59.93491288228479,10.76526997819626,pfOtn8eUbxImZF3VtsG0SA,16,0,16,2,16,True,pfOtn8eUbxImZF3VtsG0SA
1276,2014,8,474,OSL,59.92029901184718,10.73472634585273,dS7tLOCYbyFFSO9tIkSn-g,19,0,19,4,19,True,dS7tLOCYbyFFSO9tIkSn-g
1274,2009,6,440,OSL,59.92003898540866,10.73234088100674,mecoWSiVRrhXCGVQg9nKIA,20,0,20,1,20,True,mecoWSiVRrhXCGVQg9nKIA
805,2018,12,242,OSL,59.91512886768951,10.70606958414802,FFDYF74D13taVnm2qOrsOQ,23,0,23,1,23,True,FFDYF74D13taVnm2qOrsOQ
4616,2009,5,227,OSL,59.95408293178943,10.79235419121245,ewGNkky9F9UMQBn39KqNDA,26,0,26,5,26,True,ewGNkky9F9UMQBn39KqNDA
421,2009,7,173,OSL,59.9090492296142,10.74435045649767,4wXUgE4oZWCfuiMLjK_NyA,28,0,28,4,28,True,4wXUgE4oZWCfuiMLjK_NyA
1910,2018,12,161,OSL,59.92630917259905,10.71800943599489,hWj-0V-AduzMKesQ4TIuxQ,29,0,29,2,29,True,hWj-0V-AduzMKesQ4TIuxQ
486,2017,5,454,OSL,59.91013100908756,10.75688291493151,OQzFVLgJ9PMMh1uMccxbgw,30,0,30,2,30,True,OQzFVLgJ9PMMh1uMccxbgw
1502,2009,7,431,OSL,59.92207241746853,10.73735425258875,7AKqpzNaVN7krt8TTfXHAg,31,0,31,2,31,True,7AKqpzNaVN7krt8TTfXHAg
512,2009,4,305,OSL,59.91002348408826,10.79341623440066,IZFdWYpMhNvqaQW_5L_BJg,39,0,39,8,39,True,IZFdWYpMhNvqaQW_5L_BJg
3933,2017,5,466,OSL,59.94703217642846,10.74936943581773,VtK9Uwiiw4KfDuSC3R2BHQ,40,0,40,2,40,True,VtK9Uwiiw4KfDuSC3R2BHQ
4873,2009,5,504,OSL,59.95800832919684,10.69472650834024,PiE8Xrp_B74ZUcfdmIKJyA,41,0,41,1,41,True,PiE8Xrp_B74ZUcfdmIKJyA
1178,2019,9,360,OSL,59.91898397693183,10.74233143349621,0CzSkm40myvTBorwuylvPQ,42,0,42,3,42,True,0CzSkm40myvTBorwuylvPQ
1147,2009,7,374,OSL,59.91900291680224,10.70137062588809,g2wh-3p-s6DCQUt7-OTv1Q,47,0,47,2,47,True,g2wh-3p-s6DCQUt7-OTv1Q
2771,2009,6,208,OSL,59.93520956608618,10.68714371140088,GwZkGjp_U_1vUUq9VwFv0w,50,0,50,2,50,True,GwZkGjp_U_1vUUq9VwFv0w
4696,2019,6,100,OSL,59.95597015128824,10.64315188891157,zI5m2oWofOzdHFPv7DJetQ,51,0,51,2,51,True,zI5m2oWofOzdHFPv7DJetQ
3212,2017,5,170,OSL,59.93893214954259,10.76298433843027,qix8onXt7jfoMfgsYw-UOQ,52,0,52,4,52,True,qix8onXt7jfoMfgsYw-UOQ
2942,2009,6,37,OSL,59.93604205529323,10.78435028256334,lB9pfwjwDMJzUJwj5kq9QA,53,0,53,2,53,True,lB9pfwjwDMJzUJwj5kq9QA
2047,2017,5,221,OSL,59.92699323456617,10.7611280113505,41xZo2JyYwOY8vIHAagegw,56,0,56,5,56,True,41xZo2JyYwOY8vIHAagegw
3993,2019,10,427,OSL,59.94795228226685,10.70362206563732,xkXXxOzHMYpF3ifnIxmngw,62,0,62,2,62,True,xkXXxOzHMYpF3ifnIxmngw
1717,2019,9,450,OSL,59.92404282349209,10.72838904383845,Dg_sHDWaK3ErE1fM4nXz3w,63,0,63,4,63,True,Dg_sHDWaK3ErE1fM4nXz3w
4395,2016,5,113,OSL,59.95203383963019,10.75070763938852,CGDbza4UiZ0Gq4TZ4DDE1A,65,0,65,3,65,True,CGDbza4UiZ0Gq4TZ4DDE1A
2750,2017,5,152,OSL,59.93496612750055,10.65144861403086,vkFBLQ9EE17vkGWatffAsw,66,0,66,1,66,True,vkFBLQ9EE17vkGWatffAsw
3355,2017,5,509,OSL,59.94106468092804,10.7053125293212,4T9VLv__xV3rJoWYHaEZaA,72,0,72,2,72,True,4T9VLv__xV3rJoWYHaEZaA
4439,2019,10,259,OSL,59.95293016703872,10.6592030704548,ZXhIQvUICMEvHBhAws9kmw,74,0,74,2,75,True,ZXhIQvUICMEvHBhAws9kmw
254,2010,8,538,OSL,59.90398015766672,10.78369908296421,NG0S0BrgRSzMLCE7xVHkHw,76,0,76,11,77,True,NG0S0BrgRSzMLCE7xVHkHw
3305,2019,10,148,OSL,59.94009204619764,10.76023492741603,Pem6YuOISHv4I3ag-aUN8w,77,0,77,2,78,True,Pem6YuOISHv4I3ag-aUN8w
1284,2018,12,437,OSL,59.91998404896006,10.7514591491365,LF4PKSMCnRZQRiecD6koCg,80,0,80,1,82,True,LF4PKSMCnRZQRiecD6koCg
382,2018,12,281,OSL,59.90797938574248,10.76280942402486,rzNQOeoKHhahdKMbzed8yA,81,0,81,2,83,True,rzNQOeoKHhahdKMbzed8yA
3246,2009,5,245,OSL,59.94005110010181,10.68190655528641,xFYBdNV73TbZbQFnb1N21w,64,0,64,6,84,True,xFYBdNV73TbZbQFnb1N21w
2725,2018,12,208,OSL,59.93391575562819,10.76812498485825,M54qUxc-YLfxI1WWE27AcA,83,0,83,3,86,True,M54qUxc-YLfxI1WWE27AcA
2062,2014,6,603,OSL,59.92684412088182,10.77989192615029,1KOg2Se2ZsZOsh0KWbaG-g,88,0,88,2,91,True,1KOg2Se2ZsZOsh0KWbaG-g
4095,2019,10,377,OSL,59.94879086703143,10.72357794034016,tE9oq5QKg8WmSYuUw7SDKA,91,0,91,7,95,True,tE9oq5QKg8WmSYuUw7SDKA
764,2019,9,574,OSL,59.91413968435937,10.76042925113012,XfD-vtC_0RvIEsBfZmPzPg,93,0,93,3,97,True,XfD-vtC_0RvIEsBfZmPzPg
1563,2014,5,320,OSL,59.92328981324351,10.67676617120927,2wzTG_V-mQ84bnl-0hsHXg,95,0,95,2,99,True,2wzTG_V-mQ84bnl-0hsHXg
153,2017,5,277,OSL,59.90195125197555,10.68277442119789,MeUj-4f9z6iXcrYAO6frQQ,96,0,96,1,100,True,MeUj-4f9z6iXcrYAO6frQQ
790,2019,8,175,OSL,59.91531382169601,10.65062004241531,L3umnuR2zU4o8jDsY6ZLFQ,97,0,97,9,101,True,L3umnuR2zU4o8jDsY6ZLFQ
1526,2018,12,274,OSL,59.92200337964488,10.77141668861718,WVNvBzv7nIuJd3uoMnR7Nw,98,0,98,2,102,True,WVNvBzv7nIuJd3uoMnR7Nw
4417,2019,10,323,OSL,59.95207572906833,10.7787041218325,BdriPWEGXkUbQzygdswfLA,101,0,101,2,105,True,BdriPWEGXkUbQzygdswfLA
3353,2019,10,339,OSL,59.94104115607304,10.70380241285419,d1ynVgTm76LwXuyO6y0nIw,105,0,105,1,109,True,d1ynVgTm76LwXuyO6y0nIw
3169,2019,9,241,OSL,59.93902832448483,10.70455733516644,bF4KhqrlkUB21oe2dqchgw,106,0,106,2,110,True,bF4KhqrlkUB21oe2dqchgw
3003,2014,5,222,OSL,59.93695401675922,10.73115131321481,8mRHWqgHWxuon7qUmkb9pw,120,0,120,8,124,True,8mRHWqgHWxuon7qUmkb9pw
654,2018,12,394,OSL,59.91303377939417,10.68870985098166,AOPnTSjHlEta6XPWmxeBgQ,121,0,121,1,125,True,AOPnTSjHlEta6XPWmxeBgQ
2434,2014,5,374,OSL,59.93095649408361,10.77970720537633,yvlApESv50fR5S_Mlf1tcw,124,0,124,4,128,True,yvlApESv50fR5S_Mlf1tcw
2702,2012,10,54,OSL,59.93415245586024,10.73480450118718,GEvGqdgjsi_rOPhhtMi2ag,125,0,125,7,129,True,GEvGqdgjsi_rOPhhtMi2ag
534,2018,12,366,OSL,59.91089494969788,10.74540889928277,Tc-_Pd4nOkAXZimB64UFDg,133,0,135,1,139,True,Tc-_Pd4nOkAXZimB64UFDg
3228,2018,12,652,OSL,59.93907767632522,10.78846206392181,WE_08gPButdJNMu12TtNfA,134,0,136,10,140,True,WE_08gPButdJNMu12TtNfA
4198,2009,6,240,OSL,59.95025373357278,10.73987402222623,Oax_gIdPVMfUkhkTdLz--Q,135,0,137,3,141,True,Oax_gIdPVMfUkhkTdLz--Q
3145,2018,12,413,OSL,59.93905708422354,10.66990769345263,d2OfNLKWNGGhb_Bg5YKb4A,137,0,139,3,143,True,d2OfNLKWNGGhb_Bg5YKb4A
2560,2009,5,400,OSL,59.93303324100054,10.66555211905409,5ra-dYJq-f8GA12Fhd-uAQ,140,0,142,1,146,True,5ra-dYJq-f8GA12Fhd-uAQ
1325,2018,12,606,OSL,59.92099803093726,10.66039906008688,gFZ6O9Zcx9Rm9nWpRrs6gA,145,0,147,5,151,True,gFZ6O9Zcx9Rm9nWpRrs6gA
2507,2019,9,298,OSL,59.93206361641516,10.74023500770287,J3Fe2oPyFRGOlxorIB6x_g,148,0,150,4,154,True,J3Fe2oPyFRGOlxorIB6x_g
1116,2009,5,318,OSL,59.9189217208793,10.65216054243895,nOGCIYAKOyWM6yHAA7kVhw,150,0,152,4,156,True,nOGCIYAKOyWM6yHAA7kVhw
2526,2018,12,67,OSL,59.93218006414001,10.76350395149699,TON5-GQSTkQhE-G5GAmcdQ,152,0,154,2,158,True,TON5-GQSTkQhE-G5GAmcdQ
1724,2017,5,294,OSL,59.92400955425357,10.73854602642955,rqIKIBe55bZ5tq1zZG0AtA,153,0,155,2,159,True,rqIKIBe55bZ5tq1zZG0AtA
741,2018,12,679,OSL,59.91399355783084,10.71945549670238,FlxoimByAr-VsBiKSbUlxg,154,0,156,1,160,True,FlxoimByAr-VsBiKSbUlxg
517,2019,6,356,OSL,59.91101048040976,10.67913228292264,qq6dkFd3Duyde3J7HJSF2w,156,0,158,1,162,True,qq6dkFd3Duyde3J7HJSF2w
1342,2009,7,203,OSL,59.92140251214808,10.68066632375321,G1UtC6CjJv2Qy074KY3Nbw,158,0,160,2,164,True,G1UtC6CjJv2Qy074KY3Nbw
1296,2009,6,619,OSL,59.91997709389454,10.7664125760793,2WRrayPPAhiY0t2GovtXRw,160,0,162,6,167,True,2WRrayPPAhiY0t2GovtXRw
3221,2014,5,319,OSL,59.93901703900292,10.77735801290055,mcOKw7ZawYpI8Gd676vLxw,161,0,163,2,168,True,mcOKw7ZawYpI8Gd676vLxw
3973,2010,9,407,OSL,59.94797640798971,10.65473944083948,4cC4hCnw3edNKka17mJnlw,162,0,164,3,169,True,4cC4hCnw3edNKka17mJnlw
