place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
1857,2014,3,426,Osaka,34.67521489211692,135.5010154556365,zX2XMZYF2QsGOz37PFU7Ww,0,0,0,11,119,False,5gT0S0nWXcisIzySWrVtaA
2140,2015,3,321,Osaka,34.68032197549969,135.4851407488926,FxMH2YqC6Dlk9j_dWcyrgA,1,0,1,8,18970,False,h1vrzlsuLaFWcVB-VtfV0A
181,2016,4,463,Osaka,34.64732247220066,135.4760428865888,Ps6yHoYBlpeGxnXaPxdaoA,2,0,2,2,2,True,Ps6yHoYBlpeGxnXaPxdaoA
713,2018,10,300,Osaka,34.65639215659289,135.4767180671225,XD8eY-Oniv8ce5v26L73dw,3,0,3,7,3,True,XD8eY-Oniv8ce5v26L73dw
1041,2019,7,273,Osaka,34.66142140804784,135.5051865079492,CXr8MauwhuwcBa0rfZzx6A,4,0,4,9,5227,False,IFtGoLGXrD6oeKFi3ebCIA
814,2013,9,595,Osaka,34.65740231588572,135.5140257612348,rlQBN0o7Mwg2jKuDT6nMQw,5,0,5,3,12858,False,FZKSfCHFMcJsBdSj0mLYZQ
2637,2015,3,306,Osaka,34.68815175645054,135.5140582056696,r5IlmAE2XR0ADqkgHBATLA,6,0,6,7,6,True,r5IlmAE2XR0ADqkgHBATLA
1177,2016,4,476,Osaka,34.6642573049832,135.4712013740802,EXIWrhTCuNkLqn0yMZraHA,7,0,7,3,3396,False,oNX5GyaupoqMJKGYtLNGsg
1495,2017,8,362,Osaka,34.66931034894733,135.4900573646836,2H_lzl3IvMPPzHW2zX8Tag,8,0,8,1,8,True,2H_lzl3IvMPPzHW2zX8Tag
1636,2013,10,636,Osaka,34.67131026845545,135.5202828359344,O2nljLuzH1-M9TpeuhoHJA,9,0,9,6,21631,False,Uhoa7f2aQcqP1-7Pe5tzFQ
771,2018,10,263,Osaka,34.65738710681616,135.4771267885141,vYnRPppG2xh67eBufefiTQ,10,0,10,1,10,True,vYnRPppG2xh67eBufefiTQ
1544,2019,9,465,Osaka,34.67021573705262,135.4824779081867,94miTEyxO0MbMaERZEcmVw,11,0,11,6,11,True,94miTEyxO0MbMaERZEcmVw
1742,2015,4,101,Osaka,34.67351614054984,135.4990747501507,7NN47XNjpbgltOFLj0JmVg,12,0,12,10,15146,False,y3Yo07wOWE-usjjZlF9hrg
841,2019,10,509,Osaka,34.65834480572143,135.4827176786519,I1S3p2kI94-p4oOla6SvzQ,13,0,13,1,13,True,I1S3p2kI94-p4oOla6SvzQ
2287,2013,9,356,Osaka,34.68227411692676,135.5161025954104,dGnjNoPwV5J_EY3qdBd_vQ,14,0,14,6,884,False,m3-iNmk1VtkJSV1aTq55Mw
2006,2019,7,487,Osaka,34.67840643602508,135.4728530718235,8YvQ2P2TRd9dvj66eB6Wfg,15,0,15,2,15,True,8YvQ2P2TRd9dvj66eB6Wfg
2609,2018,10,545,Osaka,34.68847816160761,135.4802577863196,xhsc_3T0HtdhnxF_8Gyi4Q,16,0,16,10,16855,False,DG2TtPdmo_jEvx-U5pHjQg
1072,2013,9,379,Osaka,34.6623016365368,135.4792572087913,mT2LpZ6dcUq4u5IVQ9c33g,17,0,17,8,17,True,mT2LpZ6dcUq4u5IVQ9c33g
1837,2009,11,630,Osaka,34.67534405723617,135.4831126065887,6jD4HOwY48jThUYklHsVSQ,18,0,18,3,695,False,g3olJPSp5VyE85hRb_zk1Q
2220,2009,12,454,Osaka,34.68164142359115,135.504123878832,mCUp9X-bfuTtrRSyQ71o6Q,19,0,19,9,10066,False,N7uE0Dvp08RBmrpjUEYEGQ
496,2018,9,191,Osaka,34.65230049285712,135.4951029031554,e1sSQ3C6ISBHFZHjfRSlrA,20,0,20,8,18177,False,cot51aXDJaI5q02oy-p6mg
1822,2016,4,475,Osaka,34.67434115494318,135.5226881112148,S0R714shjcKQs1ChwYSFqg,21,0,21,4,18205,False,Q2PDC915Q7qLr411js2hVQ
384,2014,4,396,Osaka,34.65032258823934,135.5010906195332,DPy-C5KlcAVIzg8JQfbiDA,22,0,22,6,10273,False,uYpMhtb7Z7E_LgEjtjTs5Q
3243,2019,9,368,Osaka,34.69942366507844,135.4729509194207,4Lrl2FFlWKKhyaL_RlWcMg,23,0,23,6,21518,False,hx0t_MaUDK2A-uji943HMw
944,2019,9,526,Osaka,34.66038746940205,135.4761390184683,okZYQSX1wxbSAHriDqHoNg,24,0,24,6,10443,False,LfzZKTyNlbYiW0BAihwF7A
1613,2013,9,642,Osaka,34.67128051187361,135.49421348485,2B8o_IkkxRxyQDolHvLhhQ,25,0,25,3,25,True,2B8o_IkkxRxyQDolHvLhhQ
