place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
181,2016,4,463,Osaka,34.64732247220066,135.4760428865888,Ps6yHoYBlpeGxnXaPxdaoA,2,0,2,2,2,True,Ps6yHoYBlpeGxnXaPxdaoA
713,2018,10,300,Osaka,34.65639215659289,135.4767180671225,XD8eY-Oniv8ce5v26L73dw,3,0,3,7,3,True,XD8eY-Oniv8ce5v26L73dw
2637,2015,3,306,Osaka,34.68815175645054,135.5140582056696,r5IlmAE2XR0ADqkgHBATLA,6,0,6,7,6,True,r5IlmAE2XR0ADqkgHBATLA
1495,2017,8,362,Osaka,34.66931034894733,135.4900573646836,2H_lzl3IvMPPzHW2zX8Tag,8,0,8,1,8,True,2H_lzl3IvMPPzHW2zX8Tag
771,2018,10,263,Osaka,34.65738710681616,135.4771267885141,vYnRPppG2xh67eBufefiTQ,10,0,10,1,10,True,vYnRPppG2xh67eBufefiTQ
1544,2019,9,465,Osaka,34.67021573705262,135.4824779081867,94miTEyxO0MbMaERZEcmVw,11,0,11,6,11,True,94miTEyxO0MbMaERZEcmVw
841,2019,10,509,Osaka,34.65834480572143,135.4827176786519,I1S3p2kI94-p4oOla6SvzQ,13,0,13,1,13,True,I1S3p2kI94-p4oOla6SvzQ
2006,2019,7,487,Osaka,34.67840643602508,135.4728530718235,8YvQ2P2TRd9dvj66eB6Wfg,15,0,15,2,15,True,8YvQ2P2TRd9dvj66eB6Wfg
1072,2013,9,379,Osaka,34.6623016365368,135.4792572087913,mT2LpZ6dcUq4u5IVQ9c33g,17,0,17,8,17,True,mT2LpZ6dcUq4u5IVQ9c33g
1613,2013,9,642,Osaka,34.67128051187361,135.49421348485,2B8o_IkkxRxyQDolHvLhhQ,25,0,25,3,25,True,2B8o_IkkxRxyQDolHvLhhQ
1128,2019,9,362,Osaka,34.66327421781739,135.4768431236349,Kro19c3NMgPFIgkDmdjRTg,39,0,39,4,39,True,Kro19c3NMgPFIgkDmdjRTg
2079,2013,9,492,Osaka,34.67921853170543,135.482068715591,-Izaso0nRcUmpMJwqm5BFg,49,0,49,3,50,True,-Izaso0nRcUmpMJwqm5BFg
3282,2016,11,475,Osaka,34.69932921427862,135.5052958200152,nw0LAJoiapWzFyQhF7cU2Q,53,0,53,1,54,True,nw0LAJoiapWzFyQhF7cU2Q
560,2013,10,490,Osaka,34.65336506421792,135.4973893097018,DvnlokDkcpy8GjE2TvQ9RA,30,1,67,2,68,True,DvnlokDkcpy8GjE2TvQ9RA
