place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
569,2019,3,285,PRG,50.05225986809502,14.33499284450845,oKGbeVrHvr3BMIXKUqVe8Q,0,0,0,2,0,True,oKGbeVrHvr3BMIXKUqVe8Q
231,2014,6,532,PRG,50.04268359952042,14.43377774541882,eQs-eZy63XBtDjxIRDqLEQ,1,0,1,2,1,True,eQs-eZy63XBtDjxIRDqLEQ
1973,2017,6,408,PRG,50.08108531591635,14.4193449193602,ewqhgCclSitFVYQeifYsJg,2,0,2,4,15023,False,I4OqPz3sztpYvBmGOIlVGg
1800,2011,8,381,PRG,50.07818263026571,14.34899807793546,gbcU6ZaULO4fI6t9wPEXZQ,3,0,3,1,3,True,gbcU6ZaULO4fI6t9wPEXZQ
2154,2012,4,456,PRG,50.08424632602657,14.5089405920709,lVkFWU4qLx3Fdg588orF5Q,4,0,4,2,4,True,lVkFWU4qLx3Fdg588orF5Q
1972,2011,8,186,PRG,50.08127641548761,14.41810931653984,1BUIUXDjeQ1-00YsVS0nyA,5,0,5,5,5834,False,qzMQ58cNe5mv53MBW55Yeg
1707,2019,9,399,PRG,50.07603380740133,14.33140410249622,i3XvDX7MWY30W9TOYFle_w,6,0,6,9,3535,False,fNpyl_clawMT0FdgDX8yhg
1270,2011,9,578,PRG,50.06790242797181,14.33948321745512,NcFTQXNRh9yh9QmTaU5e5A,7,0,7,10,9035,False,r67v14p6xLQaY_cdxNGHjQ
2816,2017,6,362,PRG,50.09841152265334,14.46442905234184,XZ_S8LF2631XtZ7uisVAeA,8,0,8,6,17068,False,NupmUWkOTe_lF9E4y11tIQ
3362,2019,7,252,PRG,50.11311397997751,14.47514059853119,Cqh2asUnTR2jSJVv3C4utQ,9,0,9,7,11598,False,YwNYs0JsLfJ9OjGeRlBNCg
588,2014,7,379,PRG,50.05234500763272,14.40798903360338,3URazG7K0aBeIa3HgORs2g,10,0,10,10,5443,False,A1ZsFfkazfSscSUFQHJsoA
1480,2012,3,366,PRG,50.07168401863712,14.41930404153556,LIC5rXDRe7ey6n6t8270Zw,11,0,11,5,2989,False,DGXhJUYSIbHixoHrkn69Iw
1780,2019,7,608,PRG,50.07590132526657,14.50106746340334,V4swj-BdzuRkhuY7mQBWCg,12,0,12,5,12,True,V4swj-BdzuRkhuY7mQBWCg
3074,2009,5,492,PRG,50.10514067111613,14.3872328942637,eO1JKOTI5brE0AcGnO5Bgg,13,0,13,7,12000,False,e90WNOGtx04qLzaa9_-8wQ
616,2018,8,307,PRG,50.05236648064466,14.47542399349422,EB1D9qbqiybOFELVv70Q_A,14,0,14,10,3006,False,53_YtC_YeHQfDMel4f0ujQ
1640,2019,9,394,PRG,50.07485727372342,14.38104064501566,a4qhSz8rDPavqF7hPVdX4w,15,0,15,3,10817,False,hhhrQQHcFvGPo2-GKQSm3Q
2140,2019,7,238,PRG,50.08430920536064,14.47529479254356,RDJAkcISbpN3Sf8cQYBfyA,16,0,16,1,16,True,RDJAkcISbpN3Sf8cQYBfyA
1111,2011,10,454,PRG,50.06332557602033,14.4594274280511,6ei-h3YczrnPGgvswKAEMQ,17,0,17,8,3118,False,NBNSS6u1-j3Cv8nmjzrOMQ
705,2019,4,418,PRG,50.05561035962052,14.33610919143333,m9aem1t45ze0VWhqhwmmWQ,18,0,18,11,2570,False,5dKVN--0O8Sp5fv4t2we6g
3275,2011,7,634,PRG,50.11009832026354,14.49587682465293,ACOBmAk7_unI7E0--DYxPw,19,0,19,1,19,True,ACOBmAk7_unI7E0--DYxPw
2264,2011,7,379,PRG,50.08751517516246,14.37935055193162,RBcLm4sv5NC_KbO2GeAvqw,20,0,20,8,2715,False,uuwBO9E8ejQ7eNXKPOTpqw
3534,2009,5,450,PRG,50.11956186833172,14.45783515726978,EWnO7YZ2RdR3ri00A5hwrg,21,0,21,1,21,True,EWnO7YZ2RdR3ri00A5hwrg
1615,2011,7,430,PRG,50.07278124758906,14.49455336100096,eIW1Q4dSqEc6fpV-L5jZmg,22,0,22,4,9477,False,S6ZDVbWCcUnDntZckUfLHQ
370,2012,4,353,PRG,50.0459038945784,14.45291154900155,R-KjdHUE_zOpKn6k_Br58g,23,0,23,3,23,True,R-KjdHUE_zOpKn6k_Br58g
2663,2012,4,321,PRG,50.0950783752044,14.44807226910239,q2rNjk-Nq6GKEfUOXlqKlQ,24,0,24,2,24,True,q2rNjk-Nq6GKEfUOXlqKlQ
