place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
569,2019,3,285,PRG,50.05225986809502,14.33499284450845,oKGbeVrHvr3BMIXKUqVe8Q,0,0,0,2,0,True,oKGbeVrHvr3BMIXKUqVe8Q
231,2014,6,532,PRG,50.04268359952042,14.43377774541882,eQs-eZy63XBtDjxIRDqLEQ,1,0,1,2,1,True,eQs-eZy63XBtDjxIRDqLEQ
1800,2011,8,381,PRG,50.07818263026571,14.34899807793546,gbcU6ZaULO4fI6t9wPEXZQ,3,0,3,1,3,True,gbcU6ZaULO4fI6t9wPEXZQ
2154,2012,4,456,PRG,50.08424632602657,14.5089405920709,lVkFWU4qLx3Fdg588orF5Q,4,0,4,2,4,True,lVkFWU4qLx3Fdg588orF5Q
1780,2019,7,608,PRG,50.07590132526657,14.50106746340334,V4swj-BdzuRkhuY7mQBWCg,12,0,12,5,12,True,V4swj-BdzuRkhuY7mQBWCg
2140,2019,7,238,PRG,50.08430920536064,14.47529479254356,RDJAkcISbpN3Sf8cQYBfyA,16,0,16,1,16,True,RDJAkcISbpN3Sf8cQYBfyA
3275,2011,7,634,PRG,50.11009832026354,14.49587682465293,ACOBmAk7_unI7E0--DYxPw,19,0,19,1,19,True,ACOBmAk7_unI7E0--DYxPw
3534,2009,5,450,PRG,50.11956186833172,14.45783515726978,EWnO7YZ2RdR3ri00A5hwrg,21,0,21,1,21,True,EWnO7YZ2RdR3ri00A5hwrg
370,2012,4,353,PRG,50.0459038945784,14.45291154900155,R-KjdHUE_zOpKn6k_Br58g,23,0,23,3,23,True,R-KjdHUE_zOpKn6k_Br58g
2663,2012,4,321,PRG,50.0950783752044,14.44807226910239,q2rNjk-Nq6GKEfUOXlqKlQ,24,0,24,2,24,True,q2rNjk-Nq6GKEfUOXlqKlQ
910,2017,5,477,PRG,50.05866411685663,14.44163453960914,9EgLCfu_P7opg36Pp8T6aw,26,0,26,6,26,True,9EgLCfu_P7opg36Pp8T6aw
2373,2014,4,240,PRG,50.08908212405446,14.42409827867977,U2813IuNaNOGclokpKUUeg,30,0,30,1,30,True,U2813IuNaNOGclokpKUUeg
3320,2017,7,354,PRG,50.11150664643479,14.46578093326477,MeuSZGXSaT0zVqlNZDaaDQ,32,0,32,3,32,True,MeuSZGXSaT0zVqlNZDaaDQ
1370,2011,6,521,PRG,50.06986530737449,14.36649446637106,jGqssEFbfhTLXWjxynKlZQ,38,0,38,11,38,True,jGqssEFbfhTLXWjxynKlZQ
3343,2012,3,671,PRG,50.1130111506981,14.35880119569945,UZffiE7sd69XHwDg2lOTxw,41,0,41,4,41,True,UZffiE7sd69XHwDg2lOTxw
221,2019,4,380,PRG,50.04272370981015,14.41658765341547,QGTdWUcsbGDhyHpvwgg6lg,42,0,42,1,42,True,QGTdWUcsbGDhyHpvwgg6lg
1970,2014,4,287,PRG,50.08137185277177,14.41459340931766,mnUOzUCaIde2HM_tgmaJpA,45,0,45,1,45,True,mnUOzUCaIde2HM_tgmaJpA
626,2019,8,499,PRG,50.05250655804019,14.51696686270541,Sc1iLAwWrBAJyXcWT7clxw,47,0,47,1,47,True,Sc1iLAwWrBAJyXcWT7clxw
3291,2019,6,244,PRG,50.11171063602562,14.34713169958691,Ra4_zRiC2QUUBDr7rZK6Ww,50,0,50,1,50,True,Ra4_zRiC2QUUBDr7rZK6Ww
3419,2009,5,428,PRG,50.11620929403722,14.38244504785209,Pcw16UfBny11-mGwx6Lutw,56,0,56,3,56,True,Pcw16UfBny11-mGwx6Lutw
163,2014,6,430,PRG,50.04109953627251,14.41925537619527,28Yxzoyt3YuAw8fMNfpYHA,57,0,57,2,57,True,28Yxzoyt3YuAw8fMNfpYHA
744,2012,4,580,PRG,50.05508015236649,14.42581690236493,sB1-atBL7o3AvF9zhW9vQQ,58,0,58,2,58,True,sB1-atBL7o3AvF9zhW9vQQ
183,2012,4,153,PRG,50.04116328264813,14.45634730510857,TiAz_Hj2ESyHe-UST9ra1Q,59,0,59,1,59,True,TiAz_Hj2ESyHe-UST9ra1Q
2027,2014,5,417,PRG,50.08267017996234,14.38260067267041,KCkWWAY_GtBhnVzGT6CkNw,61,0,61,3,61,True,KCkWWAY_GtBhnVzGT6CkNw
2811,2017,6,367,PRG,50.0987220824709,14.44312624215349,iCMrblTHiGI2pL9WlzPwFg,63,0,63,1,64,True,iCMrblTHiGI2pL9WlzPwFg
