place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
939,2010,9,327,PRS,48.81720818716015,2.365477861934455,XLkMBELHWQ-Bz8TdiKIT5g,0,0,0,11,0,True,XLkMBELHWQ-Bz8TdiKIT5g
4547,2012,5,137,PRS,48.895466326223,2.319321429127132,Ha6QbA36giSFW67bpyzq2w,1,0,1,9,1,True,Ha6QbA36giSFW67bpyzq2w
4498,2012,7,522,PRS,48.89332775730941,2.437486545161637,bbKDevEI_L-sV0i0qWuT6w,3,0,3,2,3,True,bbKDevEI_L-sV0i0qWuT6w
1161,2008,6,313,PRS,48.82141459981787,2.459724308353958,LrfvHB6Qm4-a_gJHxf5lHg,4,0,4,1,4,True,LrfvHB6Qm4-a_gJHxf5lHg
1232,2020,3,227,PRS,48.82337379173546,2.401488672554985,3LOwX5JKa3WBhCn2d1tq3Q,17,0,17,3,17,True,3LOwX5JKa3WBhCn2d1tq3Q
1565,2014,8,215,PRS,48.83364507749636,2.295652276705647,NzaTgRgjnDSGustwf_ILCA,18,0,18,12,18,True,NzaTgRgjnDSGustwf_ILCA
3929,2014,9,175,PRS,48.88128789831688,2.435046260799459,OrHTVuJiJoOwArVSJgcLHQ,21,0,21,1,21,True,OrHTVuJiJoOwArVSJgcLHQ
2282,2018,5,168,PRS,48.84946277193881,2.28359712934158,ILORyLh4wOE8_OHJpEl_-Q,26,0,26,1,26,True,ILORyLh4wOE8_OHJpEl_-Q
2056,2016,4,353,PRS,48.84538752966266,2.223352948535571,qD5y_dcTAv0kw6oPIrrt0A,30,0,30,5,30,True,qD5y_dcTAv0kw6oPIrrt0A
901,2019,7,203,PRS,48.81736979508721,2.261443473001973,vJD18zORwcomuwkgb0dfeQ,32,0,32,6,32,True,vJD18zORwcomuwkgb0dfeQ
1212,2015,5,397,PRS,48.82333006193706,2.345413469786202,U5Du6fWjRXCrC3GhGZxrZw,37,0,37,7,37,True,U5Du6fWjRXCrC3GhGZxrZw
3688,2016,5,637,PRS,48.87743697324274,2.365184253567066,FzTHYMoKbmhf9DcpyEMl3w,39,0,39,10,39,True,FzTHYMoKbmhf9DcpyEMl3w
3499,2016,4,498,PRS,48.87339274611749,2.413300753550385,wWNVCce1grPhS-oyDoMjlQ,40,0,40,1,40,True,wWNVCce1grPhS-oyDoMjlQ
432,2015,5,127,PRS,48.80769698048125,2.251594889546147,Ou-Yvy0nMlWK6v5Ua2H_cQ,42,0,42,5,42,True,Ou-Yvy0nMlWK6v5Ua2H_cQ
4601,2018,5,439,PRS,48.89747805383773,2.223548423637617,wtkLQIU28h_Yb6dqpT7V5w,43,0,43,9,43,True,wtkLQIU28h_Yb6dqpT7V5w
562,2015,7,320,PRS,48.80954768346878,2.399656301338434,YYsA6MYjbYVuqJg2pHbtQA,47,0,47,4,47,True,YYsA6MYjbYVuqJg2pHbtQA
2737,2019,9,201,PRS,48.8573601887233,2.4375302374294,BkIUiYAK8Ed49DTBMImZVQ,54,0,54,1,54,True,BkIUiYAK8Ed49DTBMImZVQ
