place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
4521,2019,3,308,Phoenix,33.46936596228634,-112.1133248555086,z1MLLNkEF9aTrseAuNmt1w,0,0,0,11,25000,False,6ltuD3Xscbvm5priTEn2XQ
912,2008,4,78,Phoenix,33.43129215898507,-112.0751052468812,Vy0VlZt_2_cz4pTK4I6fHA,1,0,1,4,31378,False,Xpy3FHqZdorX52TyXVfD2g
5060,2011,4,144,Phoenix,33.47427813365728,-112.0542441704227,dMYufuhgc7Go9Qm6GesqLA,2,0,2,6,9252,False,wWls6oU98FkPAV3CdlqEVg
5787,2019,3,24,Phoenix,33.48231966633747,-112.0950140658525,V3LWPsI6c1yGBlSnN3vTvw,3,0,3,6,22466,False,qVM90rh0xt6th4GY5gjiUA
5054,2018,5,204,Phoenix,33.47433458453836,-112.0595889353016,yVWlQrsXExWzQDM_pP-siA,4,0,4,7,23741,False,JEMayxz_U6cvy9jrID2lbg
3042,2009,3,63,Phoenix,33.45330920710099,-112.0559499143076,Zhw5xW994yTmdl7ZF4Ls5A,5,0,5,11,7340,False,NbFQTnVzeCp7wDDSSCwYIg
2673,2011,4,104,Phoenix,33.44931156096627,-112.0412109134715,XmR1pKBMT8FrUesIN8Wiug,6,0,6,5,6,True,XmR1pKBMT8FrUesIN8Wiug
751,2015,4,15,Phoenix,33.42845188678879,-112.0386032604689,nyGWfRrQe7Yyk9SDi1XDnQ,7,0,7,7,7701,False,bIt-9OCc1KqREsey4-FJrQ
1627,2018,7,147,Phoenix,33.43830352319434,-112.0345508145239,du8k1fegg7GaA-BgsvpgaQ,8,0,8,11,23303,False,vlFSmxKTheK-vRCHWuSTng
1912,2013,5,239,Phoenix,33.44186179532687,-112.0335325917126,AniYjFYtEHDHe18Us9q_UQ,9,0,9,16,11448,False,CgJBTEyxM8O1YPeD6vsvag
2294,2019,5,122,Phoenix,33.44528091894364,-112.0371659530715,CUn2pm02_ydttFrtrSN1dw,10,0,10,22,21579,False,1TOJaZjOVP-54Fx5Wh9JWQ
4556,2008,4,25,Phoenix,33.46927505217239,-112.0782364175324,HFLYLMrl1il4Uf3bdRFUew,11,0,11,14,31123,False,gbVuGunwq2BAZ0Uaua5r8g
4687,2011,3,342,Phoenix,33.47030647934909,-112.0430986116299,YpjHzQ6PfuyxNuqsvqKDsQ,12,0,12,4,13159,False,76ogMWKG8NuifA_rDa1owQ
2505,2020,2,298,Phoenix,33.44826959576834,-112.1131740098219,gldfVl8V0a8MD_s-_8fLmA,13,0,13,3,13,True,gldfVl8V0a8MD_s-_8fLmA
4532,2019,2,231,Phoenix,33.46928222816288,-112.1020743655523,RJAs2L5oEr4Uf2H-E9o2JA,14,0,14,5,8376,False,geIs6jh-hRClhak0Ua5pHA
1774,2009,3,355,Phoenix,33.44012200709776,-112.081030266102,pdit5L0H-v2QThyf0uGelQ,15,0,15,6,5497,False,pl3r9t2dLvDcS1bzF0YZiQ
3223,2011,4,195,Phoenix,33.45551224835339,-112.0670108355256,EXqoM7Yr9Ai8BMG14Xt4kQ,16,0,16,6,7945,False,hxlo_chkevCUNBuVdUCFnA
4570,2009,3,33,Phoenix,33.46935759235357,-112.0640208314784,iSQifL0zAdsfvALferIafA,17,0,17,8,26649,False,3jJlBtEJ0x8n4nSZb_AVyA
2074,2018,5,53,Phoenix,33.44321873307818,-112.0691287806836,qm7EK-2_uyYPA4K9H_Ny5w,18,0,18,7,13729,False,4VguNVaklJ00rvsbsJzUbw
3827,2012,3,144,Phoenix,33.46128857133316,-112.0391297128326,IUmcurzJZcYLqQAMgYTh8g,19,0,19,16,29041,False,BYH_zxUuelj9K6OF1FqY-Q
3262,2014,5,71,Phoenix,33.45618110444563,-112.0280888638897,dPXMoCJzmz0AKbwinw6nxA,20,0,20,16,3900,False,89BlcF310bpKUdCC4nMF3Q
1907,2009,3,15,Phoenix,33.4410747342791,-112.041993189861,HFuVbX5uTAfeEAMLyLreWg,21,0,21,8,15128,False,Xdq8KekF9UTuu_6set34Gw
5700,2015,4,321,Phoenix,33.48130809980512,-112.0860637626282,2KgCDQi1AilpXbnm4VuLzg,22,0,22,4,34848,False,vsoqjFWj3XG3WwS1o7NKJg
4514,2011,4,159,Phoenix,33.46958653232348,-112.1200821448389,zHHSoPSMBTnfCgZKDP7ndg,23,0,23,6,296,False,_FZJ4vid-n3Q6393aNizMQ
5243,2011,3,154,Phoenix,33.47627968848992,-112.0628913919192,nOnLtxIGK5n_-y-miERk5w,24,0,24,5,11515,False,DczKM1v8oKt3IltfyjPwaQ
5913,2020,12,213,Phoenix,33.48332264012704,-112.0651788317466,5RWDTCQPekTzzoAWUV1xig,25,0,25,13,25480,False,gOJYLfYhY3PQ6X21PEAETw
2384,2018,5,232,Phoenix,33.44617176478725,-112.0420447093763,U1-hf5KU4Uumc7JQrGLdZg,26,0,26,5,26,True,U1-hf5KU4Uumc7JQrGLdZg
571,2016,5,152,Phoenix,33.42726238530379,-112.0340781359385,7Tn5zZwRMRE8cuzxhJRb2w,27,0,27,14,13986,False,hJPsFkWOTo04UjiX-70K2g
6,2018,5,48,Phoenix,33.42243080783565,-112.1159599575745,3ciguuSEJtLgbCKK27bDcw,28,0,28,6,26044,False,eXDVA7BkhoMjQE-xn4g-PQ
4444,2011,4,333,Phoenix,33.46834788700247,-112.0913684526495,cB7ln97osSrUHU0uOnD-4g,29,0,29,6,17099,False,u7q6w_s63TW_SwmipxfcFw
3881,2017,7,8,Phoenix,33.46272231446014,-112.0810590480231,5520oE3aW54jaIez7QUNVA,30,0,30,3,30,True,5520oE3aW54jaIez7QUNVA
4762,2011,4,354,Phoenix,33.47135109953763,-112.0639972990896,NTRuHofqKPtgmvyY0o8sRQ,31,0,31,7,20354,False,eSE_lhBMIzHR-tGeY_R0Kg
4724,2019,1,290,Phoenix,33.47098690478209,-112.1020792923876,HYrJfs7J8g4-rnURpqZCyg,32,0,32,1,32,True,HYrJfs7J8g4-rnURpqZCyg
4147,2019,4,217,Phoenix,33.46585897678156,-112.1070686277254,puK79w1o2_WxXWKKj_-hXA,33,0,33,11,19202,False,ZkwzdcyUEyKAoi5TSFPdWg
3877,2019,4,5,Phoenix,33.46229545782843,-112.0826195221643,ieDOmqM2Yodc5QlN_juixg,34,0,34,19,12354,False,i8gJueYJnpiyZxc2yvkXow
2503,2011,4,185,Phoenix,33.44819121078852,-112.1150114796297,Lf751yngGVB-9PHeVlL4TA,35,0,35,7,35,True,Lf751yngGVB-9PHeVlL4TA
4848,2019,1,163,Phoenix,33.47232857279895,-112.0739202815609,PzfB4KtKcrB1F2zyAsHfoQ,36,0,36,14,36,True,PzfB4KtKcrB1F2zyAsHfoQ
1352,2011,4,63,Phoenix,33.43674719805985,-112.1139954467544,TcAYTRPVhNiJS0j-K-YXAg,37,0,37,24,16311,False,t8whu5W_oM3VRy4I8FVY5w
1234,2014,5,346,Phoenix,33.43428202326068,-112.0432824823919,uaD5nskitG3GkHPJGMJ-8A,38,0,38,12,5539,False,x9Gu1oZiJAcQldU9jWCcYg
2688,2020,2,233,Phoenix,33.45019718735154,-112.122550717593,GgwGjDfN9V4SanHIdnip-Q,39,0,39,4,39,True,GgwGjDfN9V4SanHIdnip-Q
4585,2014,3,307,Phoenix,33.46939740312624,-112.0490961553928,3IMqEJ6ONuW0DEDos47nIw,40,0,40,6,1439,False,lFUx8r-TGHfY1OvotnmK3A
1528,2016,9,319,Phoenix,33.43715057334809,-112.0309904024561,A5gasYgyjv9dywrLu2S_dQ,41,0,41,7,5206,False,r6kQlwwxjA4NN7JsYrn2uw
5577,2020,2,339,Phoenix,33.48027020399577,-112.1129918835467,7e1LPAvPuN8kUm86oBMJRQ,42,0,42,20,3643,False,3NeWYKh99-6qaZzNIHejUg
1198,2009,3,244,Phoenix,33.43414369773961,-112.0760624384593,ZbXTNROugpExOjjzQb5GGg,43,0,43,3,2927,False,0enIZ8cDpWaHFEyLI4OqYg
989,2011,3,184,Phoenix,33.43220045053009,-112.0900870240247,3lX-daau1ZcP7P4FY9lXeQ,44,0,44,1,44,True,3lX-daau1ZcP7P4FY9lXeQ
1768,2016,8,249,Phoenix,33.44008251787471,-112.0780691323756,rvAkinjN4f2DJoJhMQBGQw,45,0,45,4,45,True,rvAkinjN4f2DJoJhMQBGQw
3129,2017,6,289,Phoenix,33.45423482766076,-112.0652966842535,o-L_tyVIOZu9wEfMc_4xjA,46,0,46,7,536,False,IvtSjmWpccym3HtNlheC_Q
1756,2014,4,309,Phoenix,33.44041441251019,-112.0940209726797,9WpDGgNjAuyamVt-j8teIQ,47,0,47,5,10604,False,w1nK-JafG-NWp6I0Rxkzyw
4691,2019,3,49,Phoenix,33.47022030592278,-112.0389986749424,DzHM3nul4uMehhrbU1P1NA,48,0,48,12,12231,False,7FHmgCDuTweF-tHaQmrtag
2504,2014,4,183,Phoenix,33.44822862523702,-112.1140294947351,snYmv9DJ6gZYHA_Epw56kw,49,0,49,7,17251,False,td2ZVqshdFdv1N30UjBrGg
3750,2008,8,130,Phoenix,33.46155422194614,-112.1160232155267,72MOgIUJFMiA6jAjelP0_w,50,0,50,11,31716,False,W0rGrnGpnqTMf_IthOrtlg
2080,2020,12,247,Phoenix,33.44500518357815,-112.0590701015495,p1M8_yxvZmcp3H9gXpE4Jg,51,0,51,10,14014,False,-hUlpKOh9GHyAwuPKTHG6g
5497,2016,9,196,Phoenix,33.4804734449097,-112.0969927896712,qiORORZ86PrD71tVSaWTXA,52,0,52,14,10086,False,hpUO1QSGPVWaI0BLz_gcwQ
2060,2020,12,60,Phoenix,33.4432581889797,-112.0824211086033,TR6L-op5uQm8yWuwKHw2yw,53,0,53,11,25828,False,ap8hw6Q9dqesMF-aOgoVIw
511,2020,2,85,Phoenix,33.42725343003431,-112.0901152871548,Nc6WAu9BcQBJPYfnMys1Mg,54,0,54,6,54,True,Nc6WAu9BcQBJPYfnMys1Mg
4578,2016,8,229,Phoenix,33.46937778814513,-112.0560641377379,-6Z0pfcjwVJUAImkyaVtHw,55,0,55,6,4232,False,jRRtdvdNO2q8hBtC8wbuOA
670,2016,7,276,Phoenix,33.42690600267895,-112.0278447191525,TN8UIHE-wj5kowU1rnAdwA,56,0,56,1,56,True,TN8UIHE-wj5kowU1rnAdwA
1080,2008,4,113,Phoenix,33.43330557903914,-112.1008265095091,kGQAKmD2YUg0L_8vEYWSYA,57,0,57,7,34516,False,XPy_uE1nhD3qvfgLq2CqKg
1457,2018,5,30,Phoenix,33.43765518829672,-112.1010599168663,BkzRwZwZx8weG6WX7aCWsQ,58,0,58,2,58,True,BkzRwZwZx8weG6WX7aCWsQ
