place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
2673,2011,4,104,Phoenix,33.44931156096627,-112.0412109134715,XmR1pKBMT8FrUesIN8Wiug,6,0,6,5,6,True,XmR1pKBMT8FrUesIN8Wiug
2505,2020,2,298,Phoenix,33.44826959576834,-112.1131740098219,gldfVl8V0a8MD_s-_8fLmA,13,0,13,3,13,True,gldfVl8V0a8MD_s-_8fLmA
2384,2018,5,232,Phoenix,33.44617176478725,-112.0420447093763,U1-hf5KU4Uumc7JQrGLdZg,26,0,26,5,26,True,U1-hf5KU4Uumc7JQrGLdZg
3881,2017,7,8,Phoenix,33.46272231446014,-112.0810590480231,5520oE3aW54jaIez7QUNVA,30,0,30,3,30,True,5520oE3aW54jaIez7QUNVA
4724,2019,1,290,Phoenix,33.47098690478209,-112.1020792923876,HYrJfs7J8g4-rnURpqZCyg,32,0,32,1,32,True,HYrJfs7J8g4-rnURpqZCyg
2503,2011,4,185,Phoenix,33.44819121078852,-112.1150114796297,Lf751yngGVB-9PHeVlL4TA,35,0,35,7,35,True,Lf751yngGVB-9PHeVlL4TA
4848,2019,1,163,Phoenix,33.47232857279895,-112.0739202815609,PzfB4KtKcrB1F2zyAsHfoQ,36,0,36,14,36,True,PzfB4KtKcrB1F2zyAsHfoQ
2688,2020,2,233,Phoenix,33.45019718735154,-112.122550717593,GgwGjDfN9V4SanHIdnip-Q,39,0,39,4,39,True,GgwGjDfN9V4SanHIdnip-Q
989,2011,3,184,Phoenix,33.43220045053009,-112.0900870240247,3lX-daau1ZcP7P4FY9lXeQ,44,0,44,1,44,True,3lX-daau1ZcP7P4FY9lXeQ
1768,2016,8,249,Phoenix,33.44008251787471,-112.0780691323756,rvAkinjN4f2DJoJhMQBGQw,45,0,45,4,45,True,rvAkinjN4f2DJoJhMQBGQw
511,2020,2,85,Phoenix,33.42725343003431,-112.0901152871548,Nc6WAu9BcQBJPYfnMys1Mg,54,0,54,6,54,True,Nc6WAu9BcQBJPYfnMys1Mg
670,2016,7,276,Phoenix,33.42690600267895,-112.0278447191525,TN8UIHE-wj5kowU1rnAdwA,56,0,56,1,56,True,TN8UIHE-wj5kowU1rnAdwA
1457,2018,5,30,Phoenix,33.43765518829672,-112.1010599168663,BkzRwZwZx8weG6WX7aCWsQ,58,0,58,2,58,True,BkzRwZwZx8weG6WX7aCWsQ
741,2019,4,308,Phoenix,33.4295888319445,-112.0540969211452,V6R4yeeKZCw7MBWAXsLDSg,62,0,62,4,62,True,V6R4yeeKZCw7MBWAXsLDSg
1878,2018,5,53,Phoenix,33.44094342963596,-112.065984397731,Vt3ggSkBmiiBJufvkzlOFg,63,0,63,1,63,True,Vt3ggSkBmiiBJufvkzlOFg
3570,2009,3,313,Phoenix,33.45924465724197,-112.1060086581357,wD0ozNGbJ9d5lgqhEOIZwQ,65,0,65,2,65,True,wD0ozNGbJ9d5lgqhEOIZwQ
4678,2009,3,10,Phoenix,33.47029089115957,-112.05206100601,ewwpupTtSvni2-G4AojAYg,67,0,67,5,67,True,ewwpupTtSvni2-G4AojAYg
4163,2015,4,225,Phoenix,33.46527012424152,-112.0870710037881,7vndcl56-eKCt-fUQWSo2g,71,0,71,3,71,True,7vndcl56-eKCt-fUQWSo2g
4472,2017,8,100,Phoenix,33.46826019340651,-112.0639773982852,wNrHbUlpLxVc_ZvtyqalBA,72,0,72,3,72,True,wNrHbUlpLxVc_ZvtyqalBA
1936,2017,6,197,Phoenix,33.44221972220572,-112.1000032218898,c_aiHchST-X9OGPj1tFkIQ,76,0,76,8,76,True,c_aiHchST-X9OGPj1tFkIQ
1111,2017,7,9,Phoenix,33.43318421815879,-112.0700821946595,fRl-yMGODmZ0vjMdwuEG6Q,78,0,78,4,78,True,fRl-yMGODmZ0vjMdwuEG6Q
2637,2016,10,358,Phoenix,33.4492896679766,-112.0770915846954,V4BQx75WZxB_zn3JAdEFkA,82,0,82,9,82,True,V4BQx75WZxB_zn3JAdEFkA
1374,2009,3,172,Phoenix,33.43629220400305,-112.0956769683004,Sho_BpqoaBmAw-RmhrpDlQ,92,0,92,7,92,True,Sho_BpqoaBmAw-RmhrpDlQ
4423,2016,8,177,Phoenix,33.4683070818773,-112.1134230361241,YttYVMHw9-I9hJH1e4Mr7Q,94,0,94,2,94,True,YttYVMHw9-I9hJH1e4Mr7Q
4390,2009,3,234,Phoenix,33.4672371335901,-112.0498452341481,5KixROgHyvu5fT5ZUs4Ojg,100,0,100,2,100,True,5KixROgHyvu5fT5ZUs4Ojg
3362,2020,2,179,Phoenix,33.45724794484279,-112.1202044998511,6VP_ZJjh9rWEiTiXWM1Vcg,103,0,103,1,103,True,6VP_ZJjh9rWEiTiXWM1Vcg
5848,2020,2,142,Phoenix,33.48212779446516,-112.0340330061733,vj8osRf4CcBOXq9w7K2IUg,110,0,110,9,110,True,vj8osRf4CcBOXq9w7K2IUg
5844,2011,4,182,Phoenix,33.48251900204681,-112.0378235895541,n3lx2PhDhRlanhMzd-V60A,112,0,112,7,112,True,n3lx2PhDhRlanhMzd-V60A
3846,2016,4,153,Phoenix,33.46237866013971,-112.1190638892883,eEvnC9dH4Pp7eULTc6UnhA,116,0,116,6,117,True,eEvnC9dH4Pp7eULTc6UnhA
5852,2017,12,125,Phoenix,33.48224618631867,-112.0302885471967,zKpHdKhD7I8ZW-pi7OZ4PA,117,0,117,13,118,True,zKpHdKhD7I8ZW-pi7OZ4PA
5958,2020,2,277,Phoenix,33.48428857241802,-112.1164379157886,RMfnpElKIrTrNFmmyhPPvg,118,0,118,1,119,True,RMfnpElKIrTrNFmmyhPPvg
1065,2011,3,2,Phoenix,33.43331254558814,-112.1129399961223,pirLnIaM1ZA6pcqQNWeNkg,123,0,123,2,124,True,pirLnIaM1ZA6pcqQNWeNkg
4570,2014,5,82,Phoenix,33.46939087297123,-112.0640511177683,SD9DuCg2m32dK9fZNZka7w,17,1,124,1,125,True,SD9DuCg2m32dK9fZNZka7w
5833,2020,12,357,Phoenix,33.48246361768665,-112.0490873627983,l0QT1nMpV8sR9Z4ijvI9aw,129,0,130,7,132,True,l0QT1nMpV8sR9Z4ijvI9aw
