place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
194,2018,6,165,Rome,41.87420887196399,12.50923719702138,3oL5NesxwK3OMHxtpdZsIQ,0,0,0,14,5684,False,FwZl8pLzIx_thb6mbr_OOQ
520,2019,5,19,Rome,41.87917903415174,12.48045239623288,hQmh8SWF_sdBMURftBzQnQ,1,0,1,7,7180,False,9jshFnPu5G5bJ3SafMBbIA
1816,2017,8,125,Rome,41.8972087142713,12.49807910350503,YAYOHBMj6muYOo6grDlvpA,2,0,2,12,21641,False,zpb1IF5ICMGwNBIbzD8PQw
1300,2020,9,34,Rome,41.89056905270682,12.47951023821149,Q_NvuainP-Z6IEINNw2cBA,3,0,3,13,8028,False,untQKU8f8ds6eyQjNi-QBQ
226,2018,6,126,Rome,41.87534064458907,12.47039122338387,7Pv-Z5CIgLmh9k2-16_BBw,4,0,4,7,11029,False,PI__P4K7V34sPbvg3PFWeQ
2448,2012,11,229,Rome,41.90609030579601,12.49155090052666,pzApAweGN83M7fOOTF-n6w,5,0,5,11,6182,False,PKah-xTBw8y7LknMFlkJ7w
1278,2014,5,104,Rome,41.8903843185375,12.45835586488311,baMbQoHb2vXG3ENWvK872Q,6,0,6,9,10504,False,u1LZ_8QYkmB8oDAup9PhXQ
426,2011,11,283,Rome,41.87861623110243,12.45795103074817,Z2F1WdrEuPX0g15m4ye_3Q,7,0,7,11,21705,False,ARZWEgRzvMVOB4p8NXZtvQ
1025,2016,7,199,Rome,41.8857504783436,12.48767957100667,3GVDmrlXRyTfKDVzbDVy9Q,8,0,8,15,20266,False,Zcl_PAjjfWPrTaVrPU85vQ
2551,2017,8,275,Rome,41.90710987881279,12.52375079916571,YLMQGs_iaUd-El-SgWz8Pw,9,0,9,5,11576,False,AL--ISdZ3FwAKOSB9zrO5Q
989,2018,6,162,Rome,41.88558385990554,12.52287481025093,kicM-QDv8ij6Iiwp88ooow,10,0,10,9,19482,False,4OHtNIb5MFVLcoFJdwlRGw
703,2019,5,231,Rome,41.88134339933092,12.52131018735703,WDWRJxrJSMu_1ZnGasDysA,11,0,11,10,8554,False,b5kuM3osXvbihpDYzuEZPg
898,2015,7,303,Rome,41.88439664328205,12.50304497362569,OgWzS3wzpr_lkk1WqfOW0A,12,0,12,11,1939,False,wBuc48OwDSajSVlW6BejBA
2473,2016,6,235,Rome,41.9065056311602,12.51639702095576,igqgC_uEI-B0JEJ1Ov-28w,13,0,13,4,13,True,igqgC_uEI-B0JEJ1Ov-28w
2014,2018,10,248,Rome,41.90053720400458,12.48368203299212,DBXHNmGY3vWqWB4sND-aDA,14,0,14,11,506,False,2aLr7-P2EZu-eWg1yPHEGQ
1277,2016,6,81,Rome,41.88945927735348,12.52718407561303,WyDneG5-IawiV9CFHlgUpA,15,0,15,12,19598,False,M8UuoXRZMMX-07MClB2K-g
2714,2015,8,1,Rome,41.91043459113258,12.47332704850861,8urftd-UvTh2DTOtrL0S1g,16,0,16,11,1529,False,RZipWAAJlwHohHDjQBzuPg
335,2019,7,170,Rome,41.87648387900347,12.50807444275193,XYl4DEBEUcqtYVm0mMvPVw,17,0,17,14,12693,False,X7ZjviGs_3s3dFFRWpW2wQ
568,2012,8,217,Rome,41.88036540736312,12.45760520816654,LGaBkfj0QXvDFHC2pGBa2w,18,0,18,11,18608,False,aSLvzc0blFhUot3Omwmd6Q
1770,2011,11,266,Rome,41.89716202517606,12.52313736599716,dzGHUKZZiY157lm7i25zkw,19,0,19,12,17854,False,FG6l63ffUvfCHHTiUWJ1Sw
816,2015,7,316,Rome,41.88326824804228,12.49210715212841,k08brh8ylOKTCGM8asC8cg,20,0,20,9,13539,False,Fz1BAQ8thb4RXvSY3czu0Q
968,2015,5,12,Rome,41.88535810812591,12.5024733324571,G9FK08Dh7hKTKx76kqk3Dw,21,0,21,11,21541,False,_8a8mlrJcFG-IlhmycZpJQ
103,2015,7,84,Rome,41.87335717374212,12.48970969411295,2Ry8zT6lmO-nM46vroPy3g,22,0,22,7,5197,False,-GirJn19SKIlA5jc11aQxg
2249,2014,5,354,Rome,41.90352001714497,12.50519037279322,B0u3f4O_GEcjXK0RvIw3MA,23,0,23,8,21567,False,MeJT3B0yxMcRASXJvMh7HA
1808,2008,6,310,Rome,41.89739509504847,12.49035596444189,8La2FlfH3wFWYJ5SROPUjA,24,0,24,12,6093,False,r-iJ1wJyyrQZZ9gUBqlRtw
1502,2015,6,201,Rome,41.89342146695633,12.46830155789293,iFlyJG4sPgdO4eA5A2OtAg,25,0,25,14,17800,False,XOduXKE0SFWBYKJJltWC9Q
1419,2018,7,63,Rome,41.89136821801922,12.52736498694247,c-IFRjlUoLLsEE2s9Xj2uw,26,0,26,17,3586,False,cQyAK9P9vMCUdhkHXy2XZw
1408,2011,11,224,Rome,41.8915024250888,12.51638346340923,zPRhw9SYTUs_0sJ6jhi0-g,27,0,27,11,4714,False,vFlkBjXc-5tl9q0Qb3QhQA
269,2014,5,248,Rome,41.87512646389904,12.51346045696154,4q3-N5LzCDdsPfVM0a_WFA,28,0,28,9,5181,False,2jp9hJunFfhIhcMeqonyPw
578,2015,7,257,Rome,41.88045517311857,12.46711298909813,MvmcppljddMqVJZtOLG4xg,29,0,29,10,19699,False,ibbymkT8pUhOx9Eu0jVyjw
560,2020,10,250,Rome,41.87953117631048,12.52022499509454,Rahe3-XnO3II7ugQpIYzYA,30,0,30,11,13784,False,Wlm0Y1jwrCrxZ-t44YTxOw
955,2019,5,255,Rome,41.8853813170557,12.48930808163771,iGKAur63X9_Di9vwFlBTcg,31,0,31,11,7458,False,oHb4PhO7wh_ZiRv-Bl9w3A
1512,2017,7,234,Rome,41.89339067253036,12.47862212831673,M47RzjGVmThmRxOcfxeiVg,32,0,32,1,32,True,M47RzjGVmThmRxOcfxeiVg
927,2015,10,47,Rome,41.88514991780085,12.4613595798648,5_ZkkLXcGtrN-UC9KHC-ow,33,0,33,5,33,True,5_ZkkLXcGtrN-UC9KHC-ow
1744,2014,5,271,Rome,41.89638201013929,12.49751219260615,qSQGBRTR_tMUYTfHOM6owA,34,0,34,9,21536,False,nIPJw2txNvLvio89O2FWBA
583,2008,5,323,Rome,41.88039445041692,12.47245845329107,SrMAdHcujJKz9dSGzoXMlw,35,0,35,13,15111,False,I4AUE5Yn2Fm1cbiDRqwuPA
2630,2016,7,186,Rome,41.90949158128656,12.46042016564475,OnBEEIyPRESBM88_ipFzMA,36,0,36,11,11497,False,0NnxMnBBb0y76Lcs8OptQA
2778,2020,9,249,Rome,41.91142673503238,12.46632633674165,x-H2Fo9yiwxswcPbJePgHw,37,0,37,14,8981,False,6c96jTgybl4AvsS_JAw9xA
1327,2015,8,54,Rome,41.8904056796235,12.50636705226994,gxEvo4mNCpKyIiJmdhIrXA,38,0,38,7,11944,False,zg05ma0RumvoWtwp2CYawQ
1541,2017,7,305,Rome,41.89357415453005,12.50707199310587,aIfxOEjXMGbYubIwyh3KNQ,39,0,39,9,2498,False,LmgzG7v1J_B60zJcCVg5_w
1224,2017,6,183,Rome,41.88945421638832,12.47432702152721,AuUU2ifZTyziIunWpdeXYg,40,0,40,2,40,True,AuUU2ifZTyziIunWpdeXYg
1422,2016,7,27,Rome,41.8929083952557,12.45963892041456,0VYSVhx5Y5JoBzzNZIXk4A,41,0,41,9,8397,False,M8RGPvjXugc8PBe47CNnbw
766,2019,5,179,Rome,41.88237095729956,12.51332020072428,-d-j_pxZnMxhmvtdxS3uQQ,42,0,42,15,3808,False,igv_9Sjo-eoiS0TvqKz1-Q
242,2015,7,172,Rome,41.87529610653808,12.48624442208908,-fO1K_RVaTNzLQXKPm7xIw,43,0,43,4,19678,False,dqL0QKi4b0d42Yn6BTLCoQ
716,2016,7,218,Rome,41.88238680098608,12.46336491354626,UoukCRejMc-1LW21-NC59A,44,0,44,7,10138,False,wS4l3JBQW6jpVhr6WSHuzQ
2810,2019,5,190,Rome,41.91131061399209,12.49857305077744,54y_NIwOiTrxy3aVw0K-PQ,45,0,45,9,7883,False,lT8g4f1hB_YZHQ247tcbEg
