place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
2473,2016,6,235,Rome,41.9065056311602,12.51639702095576,igqgC_uEI-B0JEJ1Ov-28w,13,0,13,4,13,True,igqgC_uEI-B0JEJ1Ov-28w
1512,2017,7,234,Rome,41.89339067253036,12.47862212831673,M47RzjGVmThmRxOcfxeiVg,32,0,32,1,32,True,M47RzjGVmThmRxOcfxeiVg
927,2015,10,47,Rome,41.88514991780085,12.4613595798648,5_ZkkLXcGtrN-UC9KHC-ow,33,0,33,5,33,True,5_ZkkLXcGtrN-UC9KHC-ow
1224,2017,6,183,Rome,41.88945421638832,12.47432702152721,AuUU2ifZTyziIunWpdeXYg,40,0,40,2,40,True,AuUU2ifZTyziIunWpdeXYg
2474,2020,8,263,Rome,41.90633855664334,12.51739553830453,QGB6ACRp71ixFok2HMn-qg,58,0,58,5,61,True,QGB6ACRp71ixFok2HMn-qg
1522,2020,8,291,Rome,41.89343745994684,12.4882475394867,4-7TUN0iDN0RybjUe5s8mw,64,0,64,2,67,True,4-7TUN0iDN0RybjUe5s8mw
620,2014,5,190,Rome,41.88032667019911,12.50972739586492,aG4RCCxpilWQXhNHHc8HOQ,67,0,67,11,70,True,aG4RCCxpilWQXhNHHc8HOQ
2160,2017,7,265,Rome,41.90243625068798,12.48728890262724,fnXQzg4GtlI12a4mZPNPzA,68,0,68,9,71,True,fnXQzg4GtlI12a4mZPNPzA
950,2014,6,309,Rome,41.88540215351221,12.48434801820278,5jW3IkD8RkOfvm6iaUd1MQ,69,0,69,5,72,True,5jW3IkD8RkOfvm6iaUd1MQ
376,2012,8,56,Rome,41.87789072272435,12.4770707947696,I1PFWuBIuILt6Fdi7XK-lw,72,0,72,9,75,True,I1PFWuBIuILt6Fdi7XK-lw
1055,2014,10,70,Rome,41.88611403587156,12.51825785338965,3uV0S0-H7NjpTS-5rLN6Lg,75,0,75,5,78,True,3uV0S0-H7NjpTS-5rLN6Lg
428,2020,8,212,Rome,41.8784097553928,12.45917723022525,O30guEgBV91aVCjfSt3cIQ,76,0,76,1,79,True,O30guEgBV91aVCjfSt3cIQ
1601,2020,8,217,Rome,41.89469037999372,12.49612660884833,EDnfK2sdMkwfGNH6ayMV9w,80,0,80,8,83,True,EDnfK2sdMkwfGNH6ayMV9w
1248,2015,8,171,Rome,41.88940077847195,12.49827174194579,mGyrDRIlKayTbYlE28uEYQ,87,0,87,8,90,True,mGyrDRIlKayTbYlE28uEYQ
230,2017,6,75,Rome,41.87536584154483,12.47427976255547,dI1HXwpiOURr9amaa98Svw,89,0,89,5,92,True,dI1HXwpiOURr9amaa98Svw
2580,2015,10,94,Rome,41.90862955115094,12.48145744021108,fBtSLhWkqf5RxljOLm7orA,95,0,95,9,98,True,fBtSLhWkqf5RxljOLm7orA
1203,2015,5,224,Rome,41.88825920001393,12.5242502350167,2UuonLoYGVFB94eSflqj1g,99,0,99,1,103,True,2UuonLoYGVFB94eSflqj1g
614,2014,6,35,Rome,41.88061513840276,12.50237233337663,Qlypor0_H19izQ2z92zZ_g,100,0,100,1,104,True,Qlypor0_H19izQ2z92zZ_g
551,2014,5,42,Rome,41.87941127634229,12.5112175542964,cQzObcxemZizAkb2B8nITw,109,0,109,2,113,True,cQzObcxemZizAkb2B8nITw
2346,2018,8,358,Rome,41.90539363907326,12.46014730155008,alX2fU8f4hlfEdAatZS2Pg,121,0,121,10,125,True,alX2fU8f4hlfEdAatZS2Pg
27,2018,9,100,Rome,41.87172277605147,12.48416258050585,kcnSy6IPgW7T5bnjNTpHLw,104,0,104,9,129,True,kcnSy6IPgW7T5bnjNTpHLw
1043,2019,4,20,Rome,41.88688608113544,12.50664260672876,AJaDxs3rfGDm35C_2IZvuQ,135,0,136,3,141,True,AJaDxs3rfGDm35C_2IZvuQ
