place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
1916,2011,8,288,TRT,43.70873231349134,-79.30109337456328,bA74bnzMYHJJpvAOGTCDKw,1,0,1,4,1,True,bA74bnzMYHJJpvAOGTCDKw
693,2016,11,396,TRT,43.66090007109113,-79.51895175748915,fIvE4QF6j8DjByiQj8ZdaA,2,0,2,3,2,True,fIvE4QF6j8DjByiQj8ZdaA
2018,2017,10,472,TRT,43.71502677871833,-79.59594323128418,g6jiSiU9ddGu6MjvQuPGQA,3,0,3,1,3,True,g6jiSiU9ddGu6MjvQuPGQA
841,2019,10,378,TRT,43.66713968292205,-79.57938172717922,QMD-0h4-KlpqPW3vCxoLHQ,7,0,7,2,7,True,QMD-0h4-KlpqPW3vCxoLHQ
232,2009,7,314,TRT,43.6383790492318,-79.47731082460847,03vMn6RFQdffRGwiGSnFJw,10,0,10,4,10,True,03vMn6RFQdffRGwiGSnFJw
2143,2015,8,457,TRT,43.71801850215542,-79.41651881373943,br344_DFzxxRBtiAIzji6g,11,0,11,5,11,True,br344_DFzxxRBtiAIzji6g
1401,2014,6,456,TRT,43.68957304830231,-79.493630328132,6D8pkg-zvRn0YQ-mWlHgmA,14,0,14,2,14,True,6D8pkg-zvRn0YQ-mWlHgmA
898,2012,5,458,TRT,43.66683864737448,-79.3236320618889,OrtmByQextWe7xTJ8qMrPg,17,0,17,1,17,True,OrtmByQextWe7xTJ8qMrPg
1739,2019,9,377,TRT,43.70222330815815,-79.38458485669432,odOGoWc1XYUbkSbW2GlDig,18,0,18,3,18,True,odOGoWc1XYUbkSbW2GlDig
295,2011,8,308,TRT,43.64178338110678,-79.49986262758047,tk1bgHU4GKBUyRXWUbAEWA,20,0,20,2,20,True,tk1bgHU4GKBUyRXWUbAEWA
1152,2015,4,249,TRT,43.67992922372894,-79.50975996556772,j5YiFuR1cPPsJlAiFNOiQQ,22,0,22,6,22,True,j5YiFuR1cPPsJlAiFNOiQQ
2012,2014,6,72,TRT,43.71487880221286,-79.64087055514153,3qGdVAykb5pdaJtY8D56_g,24,0,24,1,24,True,3qGdVAykb5pdaJtY8D56_g
945,2019,9,312,TRT,43.66994843634004,-79.44204091261832,O5AEGRGIisjoprcbBdSz4Q,25,0,25,6,25,True,O5AEGRGIisjoprcbBdSz4Q
702,2019,5,328,TRT,43.66059424212255,-79.48091165351411,FhnNjyrOx7iA_uPpI3B56A,30,0,30,1,30,True,FhnNjyrOx7iA_uPpI3B56A
1115,2009,4,404,TRT,43.67665631158236,-79.35886877662003,at1M0fF7JjcV1-6N8kzDIw,34,0,34,10,34,True,at1M0fF7JjcV1-6N8kzDIw
566,2016,5,162,TRT,43.65429505117239,-79.4231269645442,ygAw-faTE8aQhdaoeekNcQ,38,0,38,1,38,True,ygAw-faTE8aQhdaoeekNcQ
2133,2011,8,156,TRT,43.7183350428099,-79.47408966044141,0p2VMbXGj2zdtqVBCj7WjQ,40,0,40,8,40,True,0p2VMbXGj2zdtqVBCj7WjQ
1539,2019,5,190,TRT,43.69572410083413,-79.5897199427351,ZrHnVkXqDoNVujVNnWf1Kg,47,0,47,10,47,True,ZrHnVkXqDoNVujVNnWf1Kg
2379,2018,7,230,TRT,43.72785345067667,-79.3592681879685,2ZTzA8v3L98sGmOcMfS2PA,49,0,49,2,49,True,2ZTzA8v3L98sGmOcMfS2PA
1586,2014,7,489,TRT,43.69584446495239,-79.34909149335734,pkqd7GCCthD4I4kmWPFAag,50,0,50,1,50,True,pkqd7GCCthD4I4kmWPFAag
2259,2018,7,291,TRT,43.72429322800436,-79.57636945218793,pbjaMeCPq9y2NtH33Z_Arw,60,0,60,2,60,True,pbjaMeCPq9y2NtH33Z_Arw
2188,2018,7,537,TRT,43.72166187235382,-79.56706495286501,E7corjbqm_xPiAsuvTx43Q,61,0,61,1,61,True,E7corjbqm_xPiAsuvTx43Q
157,2014,6,205,TRT,43.63501009989863,-79.57045433074141,-0ps8ixxnF7Zu4UIlDeM6g,63,0,63,1,63,True,-0ps8ixxnF7Zu4UIlDeM6g
725,2014,4,330,TRT,43.66074106313927,-79.3970928272004,vobQ5J0r-b5WtWA9jLkGMQ,65,0,65,1,65,True,vobQ5J0r-b5WtWA9jLkGMQ
623,2015,7,505,TRT,43.65780062977466,-79.50629507873776,rSlcbcGS-hkEVL0KUoDmzQ,69,0,69,4,70,True,rSlcbcGS-hkEVL0KUoDmzQ
1372,2019,6,633,TRT,43.68620379104718,-79.29804466255449,vtoVq-pIgYTwiKFiZZpFnw,70,0,70,3,71,True,vtoVq-pIgYTwiKFiZZpFnw
1073,2014,7,111,TRT,43.6766512158158,-79.53838594732889,0k56u2HELyeBn2mz80lrbQ,77,0,77,2,78,True,0k56u2HELyeBn2mz80lrbQ
2078,2015,5,79,TRT,43.71511174241171,-79.3301366296699,LiZPS7-SoXizo2ay67nizQ,78,0,78,8,79,True,LiZPS7-SoXizo2ay67nizQ
547,2019,5,558,TRT,43.65414883534897,-79.49352851468613,uRSYOJLg6IKNhj8PoqICAQ,80,0,80,1,81,True,uRSYOJLg6IKNhj8PoqICAQ
934,2019,5,524,TRT,43.67017555385146,-79.48028914988245,NO6b97yXgMr83gP-ROAaow,81,0,81,1,82,True,NO6b97yXgMr83gP-ROAaow
1065,2011,8,211,TRT,43.67656480085231,-79.57053416239616,ii3ArEwgX71GATjGwBGXDA,35,1,82,5,83,True,ii3ArEwgX71GATjGwBGXDA
519,2019,6,348,TRT,43.65072869397123,-79.32679907507267,pkQ2fR_h_8xGqofg1S4vKQ,83,0,84,2,85,True,pkQ2fR_h_8xGqofg1S4vKQ
2267,2018,7,593,TRT,43.72454089782927,-79.53166326168663,qa9k9NN1p9BgU799x6p53w,101,0,102,4,103,True,qa9k9NN1p9BgU799x6p53w
136,2016,6,22,TRT,43.63189595375477,-79.48362043451087,YsHP5XvoJaPy0y6FZWygwg,102,0,103,3,104,True,YsHP5XvoJaPy0y6FZWygwg
2041,2015,8,259,TRT,43.714688509834,-79.49321753110898,q7SYas_igNWzXiPniiGB2g,108,0,109,1,110,True,q7SYas_igNWzXiPniiGB2g
