place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
885,2016,10,344,WashingtonDC,38.90264072140267,-77.04261865715202,scxI96EuPQgbQHwpowqu9w,0,0,0,4,7727,False,TdIHFwIzALCD5vQG6dEkaQ
1867,2018,10,115,WashingtonDC,38.91990872964759,-77.04943050062093,yzdbBED6VKBXtj_YOobdwQ,1,0,1,1,1,True,yzdbBED6VKBXtj_YOobdwQ
1080,2018,10,539,WashingtonDC,38.90566938082567,-77.02362177470222,-6jykOEGK8_GoLfpQf3OXA,2,0,2,3,8714,False,xtBrxFlZ9gypXQKPM3M9Qg
1963,2009,7,382,WashingtonDC,38.92076269222978,-77.00261626576862,4117Ky0tbrhRTq3VLE1_hg,3,0,3,6,3,True,4117Ky0tbrhRTq3VLE1_hg
812,2011,6,447,WashingtonDC,38.90177510890833,-77.05475563474157,USII9ABfcrHkZLTCdczfYg,4,0,4,8,10787,False,J8G5jLFqD6lGCqidiRGKpw
458,2017,10,465,WashingtonDC,38.8948605172234,-77.00256648199046,qPhYUzZ52OZ-Y7uFHtbAJQ,5,0,5,9,6739,False,q60xyzJCm8UkyamCj0VTAA
89,2014,6,80,WashingtonDC,38.88883314638671,-77.02458262906187,qz7qddn_MmGSQVYx6-XqJQ,6,0,6,10,6966,False,17SLaDK9YDplX82Lv-KD4w
1650,2009,7,166,WashingtonDC,38.91556936669058,-77.02651089029607,vITJzCwv3aOlnUgByu6o3A,7,0,7,10,10104,False,rfLQToO82I-8w7WC3kYjiQ
1033,2019,7,367,WashingtonDC,38.90468792123487,-77.01251806762191,8j36LleQv6QGzYW-5BdjcQ,8,0,8,1,8,True,8j36LleQv6QGzYW-5BdjcQ
406,2018,10,412,WashingtonDC,38.8941325953398,-76.99958986179941,Ll4Heu3HuEGhAz6u9G-SyQ,9,0,9,2,9,True,Ll4Heu3HuEGhAz6u9G-SyQ
1096,2018,7,128,WashingtonDC,38.90561463339495,-77.00166820579702,koqLbdmnLoGyhuFuuXyC2A,10,0,10,10,9784,False,mJpH0DG3oefGTeKPXrGrjg
898,2014,6,441,WashingtonDC,38.90263084292544,-77.0305303940666,_0EB89LoZCXHBHWSD5dTtg,11,0,11,4,11,True,_0EB89LoZCXHBHWSD5dTtg
1743,2007,9,178,WashingtonDC,38.91736156683797,-77.04842170692633,v2dwLoa9zWJQgoTo5BTBGw,12,0,12,6,10164,False,xvefaPF67zILr4NIVy-4iw
1061,2018,10,305,WashingtonDC,38.90578235620275,-77.03855111092419,MkQE4zn_ALf4zvHuWcIKvw,13,0,13,7,13,True,MkQE4zn_ALf4zvHuWcIKvw
