place_id,year,month,northdeg,city_id,lat,lon,panoid,spatial_cluster_id,heading_cluster_id,cluster_id,cluster_size,cluster_center_index,is_cluster_center,cluster_center_panoid
1867,2018,10,115,WashingtonDC,38.91990872964759,-77.04943050062093,yzdbBED6VKBXtj_YOobdwQ,1,0,1,1,1,True,yzdbBED6VKBXtj_YOobdwQ
1963,2009,7,382,WashingtonDC,38.92076269222978,-77.00261626576862,4117Ky0tbrhRTq3VLE1_hg,3,0,3,6,3,True,4117Ky0tbrhRTq3VLE1_hg
1033,2019,7,367,WashingtonDC,38.90468792123487,-77.01251806762191,8j36LleQv6QGzYW-5BdjcQ,8,0,8,1,8,True,8j36LleQv6QGzYW-5BdjcQ
406,2018,10,412,WashingtonDC,38.8941325953398,-76.99958986179941,Ll4Heu3HuEGhAz6u9G-SyQ,9,0,9,2,9,True,Ll4Heu3HuEGhAz6u9G-SyQ
898,2014,6,441,WashingtonDC,38.90263084292544,-77.0305303940666,_0EB89LoZCXHBHWSD5dTtg,11,0,11,4,11,True,_0EB89LoZCXHBHWSD5dTtg
1061,2018,10,305,WashingtonDC,38.90578235620275,-77.03855111092419,MkQE4zn_ALf4zvHuWcIKvw,13,0,13,7,13,True,MkQE4zn_ALf4zvHuWcIKvw
731,2011,6,447,WashingtonDC,38.89985661441759,-77.01955198221404,gNQvWZf_vro1MkiSfg10xA,21,0,21,8,21,True,gNQvWZf_vro1MkiSfg10xA
1526,2011,8,297,WashingtonDC,38.91408762576972,-77.03753708619533,ExQkx3AECONBuoq9dDkj7Q,27,0,27,2,27,True,ExQkx3AECONBuoq9dDkj7Q
818,2018,10,256,WashingtonDC,38.90191910340364,-77.04851657153961,EKYvAhpw66GzbKLDu5f9zw,31,0,31,10,32,True,EKYvAhpw66GzbKLDu5f9zw
1698,2012,5,357,WashingtonDC,38.91684088870655,-77.04155105747333,JH4oduLpil_mHIGvnXwuwA,45,0,45,3,46,True,JH4oduLpil_mHIGvnXwuwA
1223,2018,10,690,WashingtonDC,38.90879570209907,-77.04663898049272,-FUrwxt4II1zENSHtWgmjA,51,0,51,9,52,True,-FUrwxt4II1zENSHtWgmjA
1448,2019,9,357,WashingtonDC,38.91287636236189,-77.05347063270668,hDW_z3m1VpSg-t6OTjQo_g,54,0,54,12,55,True,hDW_z3m1VpSg-t6OTjQo_g
