query_image_path,utm_east,utm_north,reference_1_path,reference_1_distance,reference_1_utm_east,reference_1_utm_north,reference_2_path,reference_2_distance,reference_2_utm_east,reference_2_utm_north,reference_3_path,reference_3_distance,reference_3_utm_east,reference_3_utm_north
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543263.69@4179336.01@10@S@037.76031@-122.50882@51321055860@@@@@@20210718@@.jpg,543263.69,4179336.01,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543261.78@4179331.67@10@S@037.76028@-122.50885@qNq81yNPIyql0DIKvXQdqg@@144@@@@201311@@.jpg,4.741698007927792,543261.78,4179331.67,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543255.61@4179331.64@10@S@037.76028@-122.50892@mmVsxrH2uhS8dxxkze08eQ@@141@@@@201311@@.jpg,9.186038318896216,543255.61,4179331.64,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543255.61@4179331.64@10@S@037.76028@-122.50892@mmVsxrH2uhS8dxxkze08eQ@@111@@@@201311@@.jpg,9.186038318896216,543255.61,4179331.64
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543320.55@4181002.47@10@S@037.77533@-122.50808@50580993611@@@@@@20201108@@.jpg,543320.55,4181002.47,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543325.24@4180999.61@10@S@037.77531@-122.50803@B6zeJ7IILHQlZx4CAmrkRQ@@235@@@@201312@@.jpg,5.49324130194493,543325.24,4180999.61,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0551400.03@4176938.55@10@S@037.73829@-122.41663@O-3TyqIK82KCNMNpesPOAA@@142@@@@201311@@.jpg,9043.972735297408,551400.03,4176938.55,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543325.24@4180999.61@10@S@037.77531@-122.50803@B6zeJ7IILHQlZx4CAmrkRQ@@205@@@@201312@@.jpg,5.49324130194493,543325.24,4180999.61
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543446.06@4177273.94@10@S@037.74172@-122.50688@51061116137@@@@@@20210322@@.jpg,543446.06,4177273.94,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543447.04@4177271.17@10@S@037.74170@-122.50687@dgbW4h0wVlSqr_MbusmRpQ@@100@@@@201311@@.jpg,2.938247777173784,543447.04,4177271.17,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543442.67@4177265.60@10@S@037.74165@-122.50692@4szGb5lBg8XYrrrsy-Wwxg@@91@@@@201311@@.jpg,9.00264960984316,543442.67,4177265.6,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543436.49@4177267.79@10@S@037.74167@-122.50699@h8OT6DH2GELD_MlzQFYAUw@@82@@@@201312@@.jpg,11.375737338744344,543436.49,4177267.79
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543555.78@4177236.46@10@S@037.74138@-122.50563@4358161701@@@@@@20100215@@.jpg,543555.78,4177236.46,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0549774.09@4177857.25@10@S@037.74666@-122.43502@K94UDOHVYvr9XvfQKwzsgg@@237@@@@201311@@.jpg,6249.22070983249,549774.09,4177857.25,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543551.28@4177220.68@10@S@037.74124@-122.50569@5_Is9EIyFHPOEVXuo7-8rg@@56@@@@201311@@.jpg,16.409095038835435,543551.28,4177220.68,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0549935.27@4176847.45@10@S@037.73755@-122.43326@TEMI6OjnM3EKlt7WEHpKpg@@47@@@@201311@@.jpg,6391.339565396263,549935.27,4176847.45
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543558.87@4177168.35@10@S@037.74076@-122.50560@4358856756@@@@@@20100215@@.jpg,543558.87,4177168.35,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0548092.09@4177273.65@10@S@037.74149@-122.45415@TfogxTN6m8ZbSs-Tilweng@@260@@@@201311@@.jpg,4534.44281675265,548092.09,4177273.65,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0548093.83@4177278.10@10@S@037.74153@-122.45413@2pEuxRfNpbgYF5--K7hbIA@@229@@@@201311@@.jpg,4536.287828621511,548093.83,4177278.1,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0548953.15@4179458.93@10@S@037.76114@-122.44423@-qWFqpwdnr9dgYt7CxJ6JQ@@91@@@@201312@@.jpg,5860.461880671236,548953.15,4179458.93
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543624.70@4179064.09@10@S@037.75785@-122.50474@50784171087@@@@@@20201231@@.jpg,543624.7,4179064.09,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543627.89@4179059.55@10@S@037.75781@-122.50471@ZfwXk6BcKmtzpubglcr3Yg@@236@@@@201311@@.jpg,5.548666506533302,543627.89,4179059.55,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543627.89@4179059.55@10@S@037.75781@-122.50471@ZfwXk6BcKmtzpubglcr3Yg@@206@@@@201311@@.jpg,5.548666506533302,543627.89,4179059.55,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0548994.93@4176430.18@10@S@037.73384@-122.44396@7Z7_9Z5IP-_3cZ9YAFDsFw@@116@@@@201311@@.jpg,5981.375438893581,548994.93,4176430.18
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543634.65@4177332.52@10@S@037.74224@-122.50473@50735611016@@@@@@20201219@@.jpg,543634.65,4177332.52,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543638.81@4177329.88@10@S@037.74222@-122.50469@5l0YW5PyojytS805iVW2sA@@236@@@@201311@@.jpg,4.926986908949488,543638.81,4177329.88,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543638.86@4177321.00@10@S@037.74214@-122.50469@oWsTYxMg8b0ANj8defTY5g@@266@@@@201311@@.jpg,12.265174275162806,543638.86,4177321.0,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543638.81@4177329.88@10@S@037.74222@-122.50469@5l0YW5PyojytS805iVW2sA@@206@@@@201311@@.jpg,4.926986908949488,543638.81,4177329.88
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543640.10@4177285.72@10@S@037.74182@-122.50467@33611353444@@@@@@20170504@@.jpg,543640.1,4177285.72,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543639.92@4177285.50@10@S@037.74182@-122.50468@EeGYAS6jdgezb9o88FNQDA@@265@@@@201311@@.jpg,0.2842534081883324,543639.92,4177285.5,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0549763.35@4179635.76@10@S@037.76269@-122.43502@W34TbwjEYbbbGhx0HtWeRg@@115@@@@201311@@.jpg,6558.725376481164,549763.35,4179635.76,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0549508.09@4180338.78@10@S@037.76904@-122.43787@1z1_PcYhg2jd9vDgQhGGtw@@26@@@@201312@@.jpg,6614.717076617668,549508.09,4180338.78
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543669.19@4178331.15@10@S@037.75124@-122.50428@50041668258@@@@@@20200625@@.jpg,543669.19,4178331.15,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544405.15@4176384.22@10@S@037.73366@-122.49605@lm8hNic9VPRMv-_vCtk1DA@@345@@@@201312@@.jpg,2081.3874090372883,544405.15,4176384.22,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544394.59@4176380.84@10@S@037.73363@-122.49617@3expf6nn_W1s2hh8hyVPzQ@@342@@@@201312@@.jpg,2080.8446016222,544394.59,4176380.84,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0544407.73@4176394.22@10@S@037.73375@-122.49602@MsZY_yFBo-CsgT-oI6utiQ@@355@@@@201312@@.jpg,2072.9542099378127,544407.73,4176394.22
/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/queries_v1/@0543669.59@4176657.45@10@S@037.73615@-122.50438@39344422441@@@@@@20171228@@.jpg,543669.59,4176657.45,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543680.24@4176661.06@10@S@037.73619@-122.50426@Q18BW4bWgpozkUKESFBnOw@@356@@@@201311@@.jpg,11.24520342188413,543680.24,4176661.06,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543676.72@4176658.82@10@S@037.73617@-122.50430@5WaguNwQG1EQgs3XMHVU1g@@358@@@@201311@@.jpg,7.260426984626779,543676.72,4176658.82,/mnt/c/Users/danba/Documents/VPR datasets/SF-XL/small/test/database/@0543679.31@4176668.82@10@S@037.73626@-122.50427@KjOCvA10Z5IhPFbyVRTs9Q@@27@@@@201311@@.jpg,14.958452459852664,543679.31,4176668.82
