query_image_path,utm_east,utm_north,reference_1_path,reference_1_distance,reference_1_utm_east,reference_1_utm_north,reference_2_path,reference_2_distance,reference_2_utm_east,reference_2_utm_north,reference_3_path,reference_3_distance,reference_3_utm_east,reference_3_utm_north,reference_4_path,reference_4_distance,reference_4_utm_east,reference_4_utm_north,reference_5_path,reference_5_distance,reference_5_utm_east,reference_5_utm_north
/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/queries_v1/@0543263.69@4179336.01@10@S@037.76031@-122.50882@51321055860@@@@@@20210718@@.jpg,543263.69,4179336.01,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543261.78@4179331.67@10@S@037.76028@-122.50885@qNq81yNPIyql0DIKvXQdqg@@114@@@@201311@@.jpg,4.741698007927792,543261.78,4179331.67,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543261.78@4179331.67@10@S@037.76028@-122.50885@qNq81yNPIyql0DIKvXQdqg@@144@@@@201311@@.jpg,4.741698007927792,543261.78,4179331.67,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543267.06@4179331.70@10@S@037.76028@-122.50879@3IO4d5YgD3_U1vPeTaEi9A@@147@@@@201311@@.jpg,5.4711059208555755,543267.06,4179331.7,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543267.06@4179331.70@10@S@037.76028@-122.50879@3IO4d5YgD3_U1vPeTaEi9A@@177@@@@201311@@.jpg,5.4711059208555755,543267.06,4179331.7,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543255.61@4179331.64@10@S@037.76028@-122.50892@mmVsxrH2uhS8dxxkze08eQ@@111@@@@201311@@.jpg,9.186038318896216,543255.61,4179331.64
/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/queries_v1/@0543320.55@4181002.47@10@S@037.77533@-122.50808@50580993611@@@@@@20201108@@.jpg,543320.55,4181002.47,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543325.24@4180999.61@10@S@037.77531@-122.50803@B6zeJ7IILHQlZx4CAmrkRQ@@235@@@@201312@@.jpg,5.49324130194493,543325.24,4180999.61,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543325.24@4180999.61@10@S@037.77531@-122.50803@B6zeJ7IILHQlZx4CAmrkRQ@@205@@@@201312@@.jpg,5.49324130194493,543325.24,4180999.61,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543320.87@4180991.82@10@S@037.77524@-122.50808@tIgHPHoBMZArXLq256abCA@@236@@@@201311@@.jpg,10.65480642751909,543320.87,4180991.82,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543326.15@4180992.96@10@S@037.77525@-122.50802@WzPJRAJQySF4KSnwemCTFQ@@235@@@@201312@@.jpg,11.03630825975538,543326.15,4180992.96,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543327.03@4180992.96@10@S@037.77525@-122.50801@qexq9zP3EEOSWxEcfD3kNQ@@235@@@@201311@@.jpg,11.507845150346967,543327.03,4180992.96
/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/queries_v1/@0543446.06@4177273.94@10@S@037.74172@-122.50688@51061116137@@@@@@20210322@@.jpg,543446.06,4177273.94,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543447.04@4177271.17@10@S@037.74170@-122.50687@dgbW4h0wVlSqr_MbusmRpQ@@130@@@@201311@@.jpg,2.938247777173784,543447.04,4177271.17,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543447.04@4177271.17@10@S@037.74170@-122.50687@dgbW4h0wVlSqr_MbusmRpQ@@100@@@@201311@@.jpg,2.938247777173784,543447.04,4177271.17,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543452.32@4177272.31@10@S@037.74171@-122.50681@4-nqFbWCDtMF3x_Hx5JOjw@@113@@@@201311@@.jpg,6.468732487767194,543452.32,4177272.31,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543452.32@4177272.31@10@S@037.74171@-122.50681@4-nqFbWCDtMF3x_Hx5JOjw@@143@@@@201311@@.jpg,6.468732487767194,543452.32,4177272.31,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543452.32@4177272.31@10@S@037.74171@-122.50681@4-nqFbWCDtMF3x_Hx5JOjw@@83@@@@201311@@.jpg,6.468732487767194,543452.32,4177272.31
/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/queries_v1/@0543555.78@4177236.46@10@S@037.74138@-122.50563@4358161701@@@@@@20100215@@.jpg,543555.78,4177236.46,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543550.34@4177231.77@10@S@037.74134@-122.50570@O43JUhnAz4Q1RzR2tpxbBg@@85@@@@201311@@.jpg,7.182597023370759,543550.34,4177231.77,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543551.28@4177220.68@10@S@037.74124@-122.50569@5_Is9EIyFHPOEVXuo7-8rg@@56@@@@201311@@.jpg,16.409095038835435,543551.28,4177220.68,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543571.23@4177280.70@10@S@037.74178@-122.50546@bmHOkvF4noKFBYssEDSYJg@@236@@@@201311@@.jpg,46.86021873634755,543571.23,4177280.7,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543576.51@4177280.73@10@S@037.74178@-122.50540@tw90qjjZ-dnzMrtzypRl3A@@236@@@@201311@@.jpg,48.88318524810834,543576.51,4177280.73,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543642.62@4177275.53@10@S@037.74173@-122.50465@eDUqp1mFwetYlR0eYI76QQ@@263@@@@201311@@.jpg,95.22421173200249,543642.62,4177275.53
/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/queries_v1/@0543558.87@4177168.35@10@S@037.74076@-122.50560@4358856756@@@@@@20100215@@.jpg,543558.87,4177168.35,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543551.28@4177220.68@10@S@037.74124@-122.50569@5_Is9EIyFHPOEVXuo7-8rg@@56@@@@201311@@.jpg,52.877566131652685,543551.28,4177220.68,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543550.34@4177231.77@10@S@037.74134@-122.50570@O43JUhnAz4Q1RzR2tpxbBg@@85@@@@201311@@.jpg,63.99107203345656,543550.34,4177231.77,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543648.41@4177180.14@10@S@037.74087@-122.50459@ZqKrh7z6hP79b_HiYy4i4g@@86@@@@201311@@.jpg,90.3128767120589,543648.41,4177180.14,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543649.35@4177170.16@10@S@037.74078@-122.50458@vtddWc2XKbMPRbkB9naHPA@@56@@@@201311@@.jpg,90.49810219002845,543649.35,4177170.16,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543650.28@4177160.18@10@S@037.74069@-122.50457@d25UUWQpKPlrVmB8loa1_A@@236@@@@201311@@.jpg,91.77438095680483,543650.28,4177160.18
/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/queries_v1/@0543624.70@4179064.09@10@S@037.75785@-122.50474@50784171087@@@@@@20201231@@.jpg,543624.7,4179064.09,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543627.89@4179059.55@10@S@037.75781@-122.50471@ZfwXk6BcKmtzpubglcr3Yg@@236@@@@201311@@.jpg,5.548666506533302,543627.89,4179059.55,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543627.89@4179059.55@10@S@037.75781@-122.50471@ZfwXk6BcKmtzpubglcr3Yg@@206@@@@201311@@.jpg,5.548666506533302,543627.89,4179059.55,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543626.96@4179069.53@10@S@037.75790@-122.50472@NovF9s2DSwA2Tg4CUKSnug@@207@@@@201311@@.jpg,5.890772445056262,543626.96,4179069.53,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543627.94@4179049.57@10@S@037.75772@-122.50471@Xw-hbzWd25E-j9QIKRGEoA@@266@@@@201311@@.jpg,14.877096490931306,543627.94,4179049.57,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543629.82@4179028.50@10@S@037.75753@-122.50469@7bMGbyhoSO1Jg0tVwZAyhg@@55@@@@201311@@.jpg,35.95639720535618,543629.82,4179028.5
/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/queries_v1/@0543634.65@4177332.52@10@S@037.74224@-122.50473@50735611016@@@@@@20201219@@.jpg,543634.65,4177332.52,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543638.81@4177329.88@10@S@037.74222@-122.50469@5l0YW5PyojytS805iVW2sA@@206@@@@201311@@.jpg,4.926986908949488,543638.81,4177329.88,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543638.81@4177329.88@10@S@037.74222@-122.50469@5l0YW5PyojytS805iVW2sA@@236@@@@201311@@.jpg,4.926986908949488,543638.81,4177329.88,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543638.86@4177321.00@10@S@037.74214@-122.50469@oWsTYxMg8b0ANj8defTY5g@@236@@@@201311@@.jpg,12.265174275162806,543638.86,4177321.0,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543638.86@4177321.00@10@S@037.74214@-122.50469@oWsTYxMg8b0ANj8defTY5g@@266@@@@201311@@.jpg,12.265174275162806,543638.86,4177321.0,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543640.78@4177289.94@10@S@037.74186@-122.50467@3GxnZAM0XgetH2W7ye4bNA@@265@@@@201311@@.jpg,43.018987668312256,543640.78,4177289.94
/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/queries_v1/@0543640.10@4177285.72@10@S@037.74182@-122.50467@33611353444@@@@@@20170504@@.jpg,543640.1,4177285.72,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543639.92@4177285.50@10@S@037.74182@-122.50468@EeGYAS6jdgezb9o88FNQDA@@295@@@@201311@@.jpg,0.2842534081883324,543639.92,4177285.5,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543639.92@4177285.50@10@S@037.74182@-122.50468@EeGYAS6jdgezb9o88FNQDA@@265@@@@201311@@.jpg,0.2842534081883324,543639.92,4177285.5,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543641.70@4177282.18@10@S@037.74179@-122.50466@xfaAEYcLyx1q-2qX-EtNcw@@293@@@@201311@@.jpg,3.8847908566857554,543641.7,4177282.18,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543641.70@4177282.18@10@S@037.74179@-122.50466@xfaAEYcLyx1q-2qX-EtNcw@@263@@@@201311@@.jpg,3.8847908566857554,543641.7,4177282.18,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543640.78@4177289.94@10@S@037.74186@-122.50467@3GxnZAM0XgetH2W7ye4bNA@@265@@@@201311@@.jpg,4.274435635012973,543640.78,4177289.94
/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/queries_v1/@0543669.19@4178331.15@10@S@037.75124@-122.50428@50041668258@@@@@@20200625@@.jpg,543669.19,4178331.15,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543672.29@4178328.62@10@S@037.75122@-122.50425@L1RyFvpNcIpmK5V2PCFBdw@@206@@@@201311@@.jpg,4.001362267970831,543672.29,4178328.62,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543671.36@4178337.49@10@S@037.75130@-122.50426@tZJI-BkH8RwVYHsDCXF6BA@@176@@@@201311@@.jpg,6.701082002497582,543671.36,4178337.49,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543807.06@4178331.55@10@S@037.75124@-122.50272@g2EZDUqL2GZOzI4bzyBCEg@@236@@@@201311@@.jpg,137.87058025565403,543807.06,4178331.55,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543690.32@4178084.62@10@S@037.74902@-122.50406@-QLw3EgBklP60e3UQqAS4w@@57@@@@201311@@.jpg,247.4338655073294,543690.32,4178084.62,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543592.61@4178068.57@10@S@037.74888@-122.50517@eRZ7DHYdwY2xYmmUOibnrw@@235@@@@201311@@.jpg,273.5192000573867,543592.61,4178068.57
/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/queries_v1/@0543669.59@4176657.45@10@S@037.73615@-122.50438@39344422441@@@@@@20171228@@.jpg,543669.59,4176657.45,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543676.72@4176658.82@10@S@037.73617@-122.50430@5WaguNwQG1EQgs3XMHVU1g@@358@@@@201311@@.jpg,7.260426984626779,543676.72,4176658.82,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543676.72@4176658.82@10@S@037.73617@-122.50430@5WaguNwQG1EQgs3XMHVU1g@@28@@@@201311@@.jpg,7.260426984626779,543676.72,4176658.82,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543676.72@4176658.82@10@S@037.73617@-122.50430@5WaguNwQG1EQgs3XMHVU1g@@328@@@@201311@@.jpg,7.260426984626779,543676.72,4176658.82,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543680.24@4176661.06@10@S@037.73619@-122.50426@Q18BW4bWgpozkUKESFBnOw@@326@@@@201311@@.jpg,11.24520342188413,543680.24,4176661.06,/mnt/c/Users/danba/Documents/VPR datasets/SF_XL/small/test/database/@0543680.24@4176661.06@10@S@037.73619@-122.50426@Q18BW4bWgpozkUKESFBnOw@@356@@@@201311@@.jpg,11.24520342188413,543680.24,4176661.06
